mom;Bx;By;Bz;E_n;E_n_noise_0.05;E_n_noise_0.1;E_n_noise_0.3;E_n_noise_1
1.272456601;4.81096644;3.445072543;2.30753331;8.081715667;7.594891256;11.92371297;6.396026168;8.030313038
2.376802679;4.543092219;3.870291165;3.831369187;16.8565806;17.00661283;13.51037069;25.50557467;15.18699479
3.99057989;3.827309657;1.37270506;1.042834461;16.7509895;17.96228428;17.27373967;20.24743882;27.53539129
4.359080938;4.295611393;2.740529807;2.49022657;24.7217962;26.85527668;24.86598913;22.53134761;22.36975649
3.884054421;1.362720729;1.311058774;2.903706477;13.45890385;14.09205701;11.33413893;12.98513982;22.49155565
1.194976203;4.580616675;1.792386932;2.590312585;6.643081044;7.140608191;8.983386021;6.400299457;13.03807663
3.480740048;4.075813649;4.853174052;3.155316796;24.64245452;22.24835642;20.5895638;22.78799771;20.30302096
3.269783837;2.200784439;3.985258933;1.639939875;15.82222137;17.97800268;16.69608303;14.07849762;19.62225181
3.172716636;4.715257819;4.745027437;4.553974887;25.6750276;25.48090871;24.02410786;26.69774551;25.88966885
2.316648416;2.232117116;2.720981309;3.931163254;12.22350523;11.49988197;14.20176716;13.36883711;10.93932653
4.651733296;2.423771099;2.181759965;3.871706255;23.54753718;23.77712101;24.65885623;16.64945612;4.848768716
2.396176935;4.413122927;3.120638639;1.898625926;13.72714951;10.77179777;15.02088535;16.03774281;8.622804119
3.951351862;1.01807303;1.448363943;2.877809181;13.35066807;13.83733445;15.75832924;3.943598827;12.66772513
4.86470522;3.365735214;2.354090027;1.041184057;20.61279428;19.22419346;24.16533681;25.30563406;11.72372264
3.771023873;1.817516094;1.295468086;4.59029796;19.24790491;18.89672009;18.8422056;16.28323663;18.30337816
1.987820349;2.666334886;2.270178329;4.075668902;10.68148349;10.95794019;12.18831463;13.5473241;5.322578277
3.326578723;1.673010785;4.040853983;4.199569236;20.17011085;18.38020693;20.5979645;17.79594263;17.2787191
4.396020724;4.953689443;4.490261958;4.38088907;35.13894226;36.39737916;35.23971677;36.13496813;43.28447381
3.684992919;2.383183905;3.160779361;1.108513204;15.14836597;14.79746065;17.03792602;15.75835793;15.02737196
2.367469293;1.433151343;3.247391756;2.942376884;10.91530639;8.907688845;6.533317808;3.942353174;0.503838576
4.852539136;3.57490276;3.62014263;3.462599582;29.86380411;29.2920051;30.04421488;25.72838864;33.82297032
4.701685851;1.258630199;2.930751804;2.105754947;17.96982857;18.63793964;19.35567345;23.78891035;21.15974513
4.754301174;2.887516539;3.510531635;4.245503175;29.57079071;29.88177089;28.94181734;29.8948755;31.93906313
3.05267155;3.588573176;3.085811692;4.199450211;19.31534915;18.98630691;20.9781572;16.89831134;27.12137413
4.839479964;2.378595869;3.527152912;3.137121443;25.58069499;27.33771849;24.2118327;24.5604888;23.09746378
2.416252399;1.560628078;2.271343899;4.685689898;13.13478292;13.34720739;14.15588243;12.60971655;-0.406705106
3.404626646;1.8074509;3.333190809;3.355387134;17.23819411;17.93816633;17.6475671;17.5589873;12.68227265
4.703911158;4.242930318;4.996548194;2.07772372;32.34597826;34.83336726;33.53269395;36.0623105;22.6598249
4.136857445;2.00640391;3.886747879;4.879628133;27.1092774;27.23098767;25.19339271;26.7817129;29.84224764
3.205857882;2.640886907;1.07369903;1.030261632;9.717796751;8.389780387;10.44745744;11.3239887;9.519765541
1.988413844;1.762010627;1.095427886;2.539061589;6.519898763;9.897197687;7.155657193;1.159589057;1.773130777
3.84081205;3.480157198;4.039598617;4.709856674;27.32451007;28.63185487;24.76436993;33.24407529;24.94423369
2.749676181;3.399092227;2.892752592;2.173647227;13.65085811;10.93847374;9.83178308;12.3371504;0.848411187
3.063059381;4.290135325;4.106195129;1.828045475;19.03238541;16.17493601;15.47228462;16.69154615;27.50467533
3.656505019;4.062623176;1.435666102;3.656112274;20.6627158;20.61593122;17.42143874;21.27031822;25.61584863
2.529907381;3.216514959;3.494684723;1.849220983;12.8946895;10.79918023;8.085676924;11.94021544;11.41882962
4.424116514;2.0203496;4.753661833;3.338739968;27.20968258;29.04682119;29.76096394;21.30349669;30.16264125
1.354576199;1.486144083;2.646286168;2.312606703;5.168663147;7.328343423;5.336473736;1.191037268;9.906075278
3.458199982;4.186511107;2.953727957;1.254557677;18.24189806;18.83774837;16.46022615;15.58971276;24.20816885
3.696163688;3.459843551;3.580634426;4.687498731;25.27595118;24.18477235;25.13627517;25.04703377;23.02752047
2.290713821;3.863900729;3.168673149;1.280993318;11.81687816;10.65544012;13.31660546;10.16545248;6.691800422
4.245433734;2.239174097;1.079910762;2.130848696;13.9005537;12.57843358;12.62272119;7.691725832;18.00477766
4.184712236;4.913501864;1.861407362;1.206184054;22.5595263;24.79356726;23.62139681;13.88195999;22.01529673
1.12583851;1.365724404;4.407214331;1.391399155;5.425646118;7.657928516;5.480832207;3.651494279;8.400004073
3.037931916;4.780646226;1.191495358;4.34985154;19.96627404;19.83008895;15.67867952;16.80168212;9.964598659
4.574405356;4.179936692;4.556824515;2.50117879;30.51248929;28.87440249;33.29691888;30.28243768;32.86105511
3.96595216;3.112916502;4.482288579;4.957539651;29.24022039;31.09053632;28.11818879;36.77525633;21.76113604
4.380725928;4.253901303;2.907470196;3.019577085;26.16247316;27.67715591;26.14169441;24.06041257;26.51324104
1.767025029;3.270778661;2.96829693;2.130327679;8.665105142;10.90920833;4.652894263;2.540971764;13.36821181
4.208755215;2.915169341;3.105130681;3.78510336;23.98143266;24.65648631;25.68120342;19.52915684;26.57260465
4.529944509;1.715709697;3.856490303;1.209692784;19.89029144;22.6027805;21.08274095;19.3875162;25.95980775
4.359607632;1.039505152;2.30910175;3.16686533;17.67742026;16.90100484;12.56249412;13.23030934;14.81271616
2.266754803;1.755969185;4.657521853;2.879368581;13.03466815;13.95552758;17.81722148;9.907083998;4.210305853
2.962203224;4.422546797;3.989013669;1.799001786;18.42946529;18.99844644;21.58380426;17.42563343;18.5231596
4.127555696;3.110915358;3.192245898;2.543133874;21.18194591;18.57133201;22.81508383;21.42145324;30.96324277
1.025308606;3.994270198;3.453216421;3.122434993;6.289455466;6.978383773;5.851543296;-0.765200374;9.800494432
4.068161503;3.024984662;4.280110067;4.051751276;26.95032271;26.95048819;23.12618426;20.44080551;31.34806455
1.452557641;1.032992853;1.77697065;4.602286667;7.321487288;9.290777695;10.54117008;6.566707662;13.78887489
3.416218675;2.198157813;4.2985565;3.275067105;19.93021808;18.93932694;19.87834092;20.62421423;21.44560514
2.733806194;4.552271216;2.085419482;3.90111588;17.3528556;19.16333718;14.72941546;18.60964177;18.28921011
2.196818781;3.628928908;4.979952417;1.085743215;13.745116;14.15755323;14.88764844;20.21651871;19.81345258
4.584342034;2.231130824;1.014163882;3.963231513;21.36208805;21.23474523;21.01335298;17.6557369;29.11682028
2.591527284;2.854296077;1.24372799;4.904496119;15.05495524;14.00977159;16.79148289;15.79842194;12.51678264
3.976851253;2.35341177;4.844597413;1.494238165;22.22822178;23.86662211;22.57668723;20.16768981;10.23297127
1.874732916;4.946098718;3.822886447;4.948631232;14.94707805;16.73541156;13.94224735;10.25711098;18.79901896
4.948534444;4.571879294;4.820293391;2.705846375;35.49824665;35.91355334;32.0278688;37.43496927;43.06335495
2.085707312;4.819227477;1.793624732;3.221780435;12.65629338;13.36434958;13.5412342;11.90674112;18.39407925
4.480178212;2.253396632;3.676526284;3.457744415;24.7631241;26.0866073;26.83097633;29.36403897;19.89461102
1.833348454;4.174674235;2.224406986;4.301607885;11.72192619;10.82604704;13.85283782;9.058100369;3.268757341
2.74938037;4.543057288;2.114547829;4.419596108;18.370205;17.67644296;19.13180822;19.21298146;21.11827186
4.187099096;2.623190051;1.500144546;4.404087377;22.36379185;21.60329693;21.14787759;19.3067484;18.02005105
4.19813406;3.157036139;4.658429541;1.393480109;24.33818384;26.50001586;19.66309048;21.29798208;22.73042532
2.340106177;1.74037927;2.026173504;3.601874341;10.49343842;12.46943102;6.576197711;9.617756624;6.417628638
3.315920456;4.106484094;3.501591776;3.642408644;21.58954463;22.15622399;20.33754612;22.87497858;21.64746438
3.323370959;3.804928926;3.294465621;3.319735462;20.03737258;19.72562903;20.30463984;14.98102028;18.16033617
1.647619513;2.475125598;2.587987696;4.922781305;10.02989009;10.02989009;10.02989009;10.02989009;10.02989009
2.478813497;2.559226748;2.042444691;2.841440081;10.7464509;10.7464509;10.7464509;10.7464509;10.7464509
1.165770439;1.504668659;1.788996926;1.832940334;3.46298737;3.46298737;3.46298737;3.46298737;3.46298737
1.231287972;3.199661805;2.57435007;1.3323714;5.316017552;5.316017552;5.316017552;5.316017552;5.316017552
3.809243832;3.267301322;1.214084097;3.375733638;18.48360187;18.48360187;18.48360187;18.48360187;18.48360187
4.158025631;3.501458735;4.823401785;1.941965275;26.06543103;26.06543103;26.06543103;26.06543103;26.06543103
1.493124548;4.56189678;1.772386158;2.97475693;8.551502936;8.551502936;8.551502936;8.551502936;8.551502936
2.910587371;2.337274294;2.077105226;2.117900732;10.99212935;10.99212935;10.99212935;10.99212935;10.99212935
3.443261663;1.49195484;4.338095266;3.989703811;20.93399346;20.93399346;20.93399346;20.93399346;20.93399346
3.982272021;1.004391028;3.837567371;4.159102705;22.88814438;22.88814438;22.88814438;22.88814438;22.88814438
4.435896772;2.297713751;4.789179046;3.616629593;28.50585201;28.50585201;28.50585201;28.50585201;28.50585201
3.396634518;3.64585395;4.187871244;3.962619586;23.17014443;23.17014443;23.17014443;23.17014443;23.17014443
4.849746599;2.364642094;1.058151016;3.886521405;22.65214024;22.65214024;22.65214024;22.65214024;22.65214024
3.573643691;2.635013087;2.560749178;1.121416107;13.72870209;13.72870209;13.72870209;13.72870209;13.72870209
2.288670102;2.351108414;3.482050742;1.351410505;10.10097192;10.10097192;10.10097192;10.10097192;10.10097192
4.378712265;2.28853362;2.539770923;2.874909752;19.55913892;19.55913892;19.55913892;19.55913892;19.55913892
1.988592292;3.868790658;3.56330702;1.644462872;10.95874155;10.95874155;10.95874155;10.95874155;10.95874155
1.738505797;4.9859553;4.454296976;1.071695755;11.77175686;11.77175686;11.77175686;11.77175686;11.77175686
3.768896769;2.71143321;3.199314204;4.968911476;24.50581853;24.50581853;24.50581853;24.50581853;24.50581853
3.244451653;3.089486543;3.791928217;2.958260227;18.54593676;18.54593676;18.54593676;18.54593676;18.54593676
3.378129993;4.506149793;2.994693554;3.558432442;21.87610236;21.87610236;21.87610236;21.87610236;21.87610236
3.658955536;4.25677722;1.927872784;1.294213803;17.74191098;17.74191098;17.74191098;17.74191098;17.74191098
3.872218985;4.956252518;3.931728549;4.892078789;30.9669473;30.9669473;30.9669473;30.9669473;30.9669473
1.251241835;3.655489827;2.974069462;1.586560616;6.221688472;6.221688472;6.221688472;6.221688472;6.221688472
1.287368994;2.738395862;2.151414785;2.697596651;5.670918894;5.670918894;5.670918894;5.670918894;5.670918894
4.408085724;4.121766611;2.513669117;4.467890434;28.99620473;28.99620473;28.99620473;28.99620473;28.99620473
4.977802682;3.553889804;4.254430766;3.408978091;32.39453843;32.39453843;32.39453843;32.39453843;32.39453843
2.202627072;3.357913635;1.373246703;4.726494517;13.12387629;13.12387629;13.12387629;13.12387629;13.12387629
2.947547399;4.856201326;4.384832059;3.65620171;22.09230614;22.09230614;22.09230614;22.09230614;22.09230614
2.344523283;2.650974784;2.113461817;4.922475501;14.01333809;14.01333809;14.01333809;14.01333809;14.01333809
1.160734609;2.462811;4.298907533;1.066973809;5.882586176;5.882586176;5.882586176;5.882586176;5.882586176
4.889691492;3.18484964;4.48430709;1.456550341;27.82136328;27.82136328;27.82136328;27.82136328;27.82136328
3.513838783;1.461632582;1.222342107;2.20683972;10.24489305;10.24489305;10.24489305;10.24489305;10.24489305
3.305070112;1.884211128;2.476690021;4.878284221;19.12430834;19.12430834;19.12430834;19.12430834;19.12430834
4.285165924;3.252954925;3.11049681;3.849033814;25.37743403;25.37743403;25.37743403;25.37743403;25.37743403
3.740810957;3.989687073;3.732192359;2.676038432;22.75693819;22.75693819;22.75693819;22.75693819;22.75693819
1.419838307;4.898558745;2.858229417;4.003322361;9.856576746;9.856576746;9.856576746;9.856576746;9.856576746
3.935491317;2.856133758;1.884275411;3.346549058;18.83591452;18.83591452;18.83591452;18.83591452;18.83591452
2.625531584;2.588328485;1.696791188;3.327567814;11.93137355;11.93137355;11.93137355;11.93137355;11.93137355
3.188959435;2.54227754;2.560639465;4.473484872;18.32808943;18.32808943;18.32808943;18.32808943;18.32808943
2.549645638;3.314907478;2.949897428;3.710895493;14.74860405;14.74860405;14.74860405;14.74860405;14.74860405
1.500417394;3.842137604;4.928035319;2.332672936;10.00778587;10.00778587;10.00778587;10.00778587;10.00778587
1.211838417;4.648089449;1.355532631;2.865823288;6.818155248;6.818155248;6.818155248;6.818155248;6.818155248
1.982480809;1.725585851;2.897309837;4.078919887;10.49210775;10.49210775;10.49210775;10.49210775;10.49210775
1.857585518;3.022135055;2.460327196;3.286814606;9.469981257;9.469981257;9.469981257;9.469981257;9.469981257
1.50437297;1.386631355;3.02728479;3.29757772;7.04991269;7.04991269;7.04991269;7.04991269;7.04991269
2.432081255;1.556554155;3.488223546;3.647021793;12.84436713;12.84436713;12.84436713;12.84436713;12.84436713
2.543402925;2.786980724;3.16346271;1.076600126;11.06711325;11.06711325;11.06711325;11.06711325;11.06711325
2.022758313;3.604145187;2.623829523;2.244756958;10.0962345;10.0962345;10.0962345;10.0962345;10.0962345
2.437656844;2.163291967;1.475558348;3.007193405;9.720205724;9.720205724;9.720205724;9.720205724;9.720205724
1.969168746;3.461929355;2.89600055;2.742362331;10.39980735;10.39980735;10.39980735;10.39980735;10.39980735
2.569544096;1.007078443;2.038529779;2.304239795;8.318075697;8.318075697;8.318075697;8.318075697;8.318075697
3.048489643;4.822820538;2.047832227;2.187830895;17.30936038;17.30936038;17.30936038;17.30936038;17.30936038
4.185465267;1.578745748;1.521508935;2.539340601;14.04201969;14.04201969;14.04201969;14.04201969;14.04201969
4.049942139;1.914359687;3.376235021;1.430995924;16.75300324;16.75300324;16.75300324;16.75300324;16.75300324
1.952555232;3.587996203;2.511224994;3.205715066;10.59728137;10.59728137;10.59728137;10.59728137;10.59728137
2.689333431;1.391566224;2.483460284;4.657672801;14.68039786;14.68039786;14.68039786;14.68039786;14.68039786
2.292211235;2.705920578;2.945995276;3.697672744;12.48648866;12.48648866;12.48648866;12.48648866;12.48648866
1.059872222;2.769934047;2.082427991;1.452898965;3.982632077;3.982632077;3.982632077;3.982632077;3.982632077
3.171523904;4.400009794;3.41252662;4.038345746;21.81530371;21.81530371;21.81530371;21.81530371;21.81530371
1.347156163;3.932289956;2.19299796;3.286025135;7.50912453;7.50912453;7.50912453;7.50912453;7.50912453
4.39040373;3.889171672;2.649104912;1.174674876;21.2938085;21.2938085;21.2938085;21.2938085;21.2938085
2.939367328;4.9551132;1.386553884;4.835006446;20.75388293;20.75388293;20.75388293;20.75388293;20.75388293
1.613556345;4.667704284;3.824655329;3.33454138;11.12472128;11.12472128;11.12472128;11.12472128;11.12472128
3.244685992;1.076434581;1.63483986;2.846088887;11.20785874;11.20785874;11.20785874;11.20785874;11.20785874
3.83702142;4.960416644;1.350558596;1.305790621;20.3524351;20.3524351;20.3524351;20.3524351;20.3524351
1.965252734;1.065834909;4.566656668;2.553028159;10.49310805;10.49310805;10.49310805;10.49310805;10.49310805
1.97752932;1.811470021;2.644042962;3.997096229;10.13166166;10.13166166;10.13166166;10.13166166;10.13166166
4.852818499;1.332225541;2.125806418;4.92398813;26.8179312;26.8179312;26.8179312;26.8179312;26.8179312
4.205841806;2.309106495;1.537240761;2.885074174;16.83321387;16.83321387;16.83321387;16.83321387;16.83321387
4.085528451;4.536322868;4.596692935;1.953488374;27.56564144;27.56564144;27.56564144;27.56564144;27.56564144
3.07908179;3.641154803;1.752860202;1.024212596;12.83631443;12.83631443;12.83631443;12.83631443;12.83631443
4.365802168;3.581112283;1.276409865;4.730052845;26.49397657;26.49397657;26.49397657;26.49397657;26.49397657
2.983656127;3.841592567;1.5445167;3.972524732;17.1201341;17.1201341;17.1201341;17.1201341;17.1201341
2.779354218;4.236093195;2.081213721;3.695941603;16.66127705;16.66127705;16.66127705;16.66127705;16.66127705
3.148421417;1.555286634;1.058530224;4.139959947;14.31707075;14.31707075;14.31707075;14.31707075;14.31707075
1.326176263;1.01703106;3.359521449;4.735804008;7.817533608;7.817533608;7.817533608;7.817533608;7.817533608
4.172699579;2.275620085;2.997529505;3.99564628;22.90383324;22.90383324;22.90383324;22.90383324;22.90383324
3.955022695;2.994434318;3.733197181;2.02693105;20.55540912;20.55540912;20.55540912;20.55540912;20.55540912
4.15530379;1.293428087;2.406870145;1.530795632;13.01433941;13.01433941;13.01433941;13.01433941;13.01433941
4.462356387;3.673971461;4.480374445;2.843151407;28.80046828;28.80046828;28.80046828;28.80046828;28.80046828
2.908813422;4.57600941;1.461296596;1.241032846;14.43176417;14.43176417;14.43176417;14.43176417;14.43176417
1.997029309;3.958919436;4.347461706;3.120384398;13.29341654;13.29341654;13.29341654;13.29341654;13.29341654
2.836873708;3.304887262;4.460279793;2.54446589;17.32368057;17.32368057;17.32368057;17.32368057;17.32368057
1.273796534;1.669032406;4.754267557;3.599628157;7.887881755;7.887881755;7.887881755;7.887881755;7.887881755
1.568840925;1.573655905;4.045151693;4.027514063;9.289408326;9.289408326;9.289408326;9.289408326;9.289408326
2.520382927;2.732364561;4.788062883;4.583257873;18.06916204;18.06916204;18.06916204;18.06916204;18.06916204
2.726103808;4.624697262;3.103822315;2.047960315;16.17746332;16.17746332;16.17746332;16.17746332;16.17746332
2.262461397;2.107521183;2.396763675;4.619364022;12.7029996;12.7029996;12.7029996;12.7029996;12.7029996
2.18253207;4.328122093;3.082322862;1.763936564;12.21922254;12.21922254;12.21922254;12.21922254;12.21922254
2.082764571;2.043616561;1.177716502;2.831266969;7.675053135;7.675053135;7.675053135;7.675053135;7.675053135
4.632398564;2.958983838;3.58440732;3.885668805;28.06407192;28.06407192;28.06407192;28.06407192;28.06407192
4.403534664;1.858493577;4.388936388;2.04201687;22.83333314;22.83333314;22.83333314;22.83333314;22.83333314
4.602879458;1.464564227;2.925486902;2.265080647;18.31576619;18.31576619;18.31576619;18.31576619;18.31576619
4.06072772;1.180618114;3.206674808;3.983916539;21.31329469;21.31329469;21.31329469;21.31329469;21.31329469
4.531526212;3.152315509;1.494229777;2.765243914;20.17236244;20.17236244;20.17236244;20.17236244;20.17236244
3.61784223;1.805467225;4.579405947;3.776616174;22.44622577;22.44622577;22.44622577;22.44622577;22.44622577
4.715390497;4.838717496;2.123461984;2.391467848;27.34983246;27.34983246;27.34983246;27.34983246;27.34983246
1.895166594;3.119804577;1.434042213;1.568373195;7.15395948;7.15395948;7.15395948;7.15395948;7.15395948
4.995909178;4.783991397;1.247882946;3.408930248;30.0023339;30.0023339;30.0023339;30.0023339;30.0023339
