I1;I2;delta;Int;Int_noise_0.05;Int_noise_0.1;Int_noise_0.3;Int_noise_1
4.014272817;2.863510631;3.86711666;1.804693277;0.854880929;2.822890124;3.201115178;1.966205124
4.023425827;2.356071084;4.918385862;7.639022378;8.12548449;9.043691109;7.147278082;6.866501448
2.492358406;2.400169103;1.772565607;3.912224241;4.436140554;2.48488219;4.617610315;4.194469605
3.592188817;2.973393646;1.043569253;9.854278044;9.942599901;8.945350586;9.706745335;14.60840276
1.676134646;1.366589181;2.050792718;1.64495687;2.266277395;1.015317783;2.557368969;-4.435019371
1.320148384;1.23957394;3.248134653;0.015775495;0.035844407;-1.222846908;2.753993329;2.480138424
2.46586933;3.820612063;1.805923288;4.856353465;4.177926102;3.584357302;5.927863366;8.275411321
4.187466806;3.663139535;2.994391405;0.102240233;0.262509803;-0.605915966;2.52740592;-0.922141363
4.233257339;1.190666684;1.955455017;3.739021472;4.122329674;3.928223423;3.98306357;0.658161597
1.751210738;3.666964581;3.902491424;1.747711092;0.917623176;2.731756042;1.570608314;-1.421847496
4.678978357;1.905952056;1.67566038;5.959769383;6.006545041;5.351561584;7.501275487;8.99635005
4.423673947;1.322320744;2.814186437;1.16579153;2.673520115;0.051443823;3.170969249;-2.73865126
2.887832216;3.110377335;2.880350925;0.207508919;-0.078745992;0.292919191;-0.069932724;2.804498386
4.357354507;2.266149263;4.287372229;4.032088597;4.707846702;4.657839086;3.996963797;0.23263383
3.483398302;3.763680258;1.150943627;10.1989657;10.19800133;9.211309562;9.422013393;11.10483288
3.719292222;3.55335701;3.501028035;0.466526743;-0.164773547;0.128577266;3.275110491;-5.548133465
2.121235444;3.611265984;2.591391581;1.013962957;0.550674487;-0.043591225;0.746082676;4.733402411
2.595104758;3.792274142;3.331962931;0.226542049;0.149919503;1.42021671;1.059220768;-5.27222605
3.123269416;1.062262191;4.323091037;2.802898439;2.541867755;1.916565687;4.085032118;6.060955679
2.719955138;4.780820712;4.783494117;8.013161603;7.177112215;9.432201004;6.585419973;3.562573488
1.923263812;3.522229693;2.464000489;1.390008285;0.652511128;0.738712798;0.991640561;-4.766789273
4.691730542;3.862925752;1.998375101;5.023995159;5.674816778;5.336510785;3.433157558;2.880259629
2.84515962;2.327238304;3.121110182;0.027075013;1.052662674;-0.47563601;-1.895899395;-0.203877398
3.078305763;2.539352077;2.298132031;1.899807986;2.389915857;2.42168962;0.421393208;2.265341325
1.133907702;3.540580834;3.48551555;0.901822403;0.363835437;1.050103849;-0.691467592;-3.52677799
4.227725174;4.072507318;3.185931337;0.009607475;0.465903361;-0.206493469;-0.342787022;0.591370378
1.00830864;1.426440196;1.226846225;3.243569025;1.896331128;1.995342894;3.496817036;4.296329204
3.291566221;2.445167078;4.900701972;6.798908104;4.462851387;6.885361557;4.862683067;12.56647825
1.331244354;1.89857481;4.808793346;3.535872085;2.71633711;4.365509338;0.282234866;2.387729014
2.055800062;4.536566568;2.171445357;3.140378114;3.510980779;2.46627806;4.939696847;2.758980143
1.036876075;3.735246791;2.521962691;1.567866099;1.362064741;1.518638023;1.93108097;5.126996554
4.375321273;1.487502708;3.763466336;1.715754383;1.707651237;1.852565736;-0.345861472;3.003742556
2.334443142;1.865610098;2.404253196;1.110353184;0.606188685;0.155427911;1.976220114;5.043352382
3.124303266;2.713981442;4.312832207;3.572749258;2.638975784;2.656244986;2.703273381;7.624583426
2.564475958;3.752357535;3.180468472;0.1173836;0.263146539;0.252598812;0.224888972;1.709495067
3.356144332;1.850049967;4.469415869;4.007195767;4.309669928;4.192277569;2.838981412;3.003255652
4.998316132;1.753442731;2.956070661;0.932461961;1.389505282;2.645103947;1.182373675;-3.005479752
4.447190023;4.305865895;3.035259791;0.050571901;-0.592664446;1.614191169;-1.973750659;0.918415607
3.908598139;2.346766433;2.742044562;0.675203226;2.057545291;0.589964559;3.525508721;4.051765797
2.823240701;2.40468551;4.605030407;4.669539295;4.086757724;4.222230995;2.930538867;1.763232351
3.638546146;3.657460312;1.396503663;8.56121408;7.917918704;8.651353604;8.591437662;2.138544597
3.038978257;4.558422258;3.347439394;0.310645131;1.710586081;0.127960629;0.752366809;3.167529342
1.173303158;1.96970196;1.320327444;3.896601375;5.202216559;4.425134944;6.101957383;-0.905611433
1.00768456;2.335128595;1.821502264;2.581692931;2.741180292;3.334991872;1.250371136;4.999246982
2.115384818;2.530670514;1.741210743;3.861281128;3.741529454;3.010494191;4.10968868;4.004944473
1.775339748;2.683848715;2.417337239;1.189340993;1.803257819;1.848499631;2.902230687;3.569097732
3.016198374;1.645448969;2.247411719;1.871765276;1.386489239;3.258587485;-0.017041687;4.53045568
2.728568383;4.640903528;4.501486437;5.87957522;5.890515127;6.720790104;7.019081741;2.165355195
1.909085723;1.940206832;3.763570602;0.720968472;0.868146868;-1.618050289;-0.896681276;4.659294516
4.784014656;2.856074505;2.119532055;3.783919982;3.40168708;3.826504684;3.800215974;-3.329137254
1.88727741;1.61904283;3.565379355;0.319541061;1.755745528;0.212685369;1.436689517;-0.442647163
2.264402386;4.669350707;3.10553888;0.434660576;-0.485433078;0.464886882;0.26026216;5.063419359
1.392767286;3.819226784;4.076467098;2.472410572;2.928267896;0.782954858;1.147879118;-1.871451384
3.027851752;3.21848302;3.757354561;1.149616899;1.567622192;2.352485638;0.171627242;-1.940060629
4.754460597;2.400386027;2.717595484;0.9966315;1.284701942;0.071394557;2.126585087;-4.735016473
4.985491034;1.096952371;4.540215982;5.281143487;3.953598425;6.187325972;7.247592773;8.896725493
4.984105668;4.049741281;1.00234861;13.87090641;12.62788721;13.58777518;14.44172112;11.310453
1.95930453;3.304936495;2.810035685;0.452071663;0.799869782;0.43150319;-0.102919013;-4.087767426
3.081788477;1.841348841;2.852729266;0.356226865;-0.089450057;-0.152130072;0.84818909;-0.466027683
4.625293837;3.264927025;1.051040549;11.75035804;11.88225219;11.62378575;11.35834777;11.81019221
4.163063527;1.576081028;1.758300073;4.784178469;4.591928142;5.90315943;9.317682605;5.024006436
4.482953556;3.363972848;4.990235368;9.977226753;9.684917564;10.72843087;10.77072451;5.35120226
3.931417826;2.611635256;1.280476381;8.37756146;8.53286001;5.996446695;9.2562783;4.873456089
2.84116216;2.303114865;1.803311825;3.965403019;3.81714598;3.756086143;4.60513804;1.539959844
4.033037849;3.054674697;1.938101455;4.566868424;4.193618788;5.224911871;1.834041446;10.92244844
2.404206278;2.224566365;4.058094095;1.813824359;1.917080103;1.052100768;-0.497443965;9.511573592
1.013160462;1.022748696;2.130270469;0.955381516;0.405919567;2.706904407;4.606446601;-0.705155384
4.39194397;2.557560954;1.765136614;5.655019908;5.971007641;6.933243053;3.60364917;2.841117724
4.772874542;1.484352037;2.036714461;3.865728524;3.96580071;2.488077194;3.832211069;-2.370182297
2.439800844;3.660645588;1.985424537;3.692598583;5.590464322;3.822889396;6.731600913;1.693957463
4.51134474;1.221677053;4.085109179;2.977154423;4.318848375;4.379585838;2.270782951;3.345976198
3.331599156;1.331723952;2.171324106;2.282802944;3.069555594;1.804358918;1.404360716;5.155160492
4.285110298;4.872735994;4.064327903;3.641180302;3.727174652;3.31242238;1.832943299;2.418792048
3.56205017;1.458734974;2.783873024;0.750393902;-0.272897554;1.817148847;-0.065416297;5.303771367
3.212242581;2.697391216;1.568398966;5.923747441;4.953216643;5.430961248;8.442599914;9.439601104
4.494304244;3.732589355;4.400418768;5.712624134;5.968472579;4.647080893;2.132462137;6.93671019
4.817159613;3.22414061;4.781260536;8.583711872;8.583711872;8.583711872;8.583711872;8.583711872
3.294443736;2.196181664;4.371169891;3.690395279;3.690395279;3.690395279;3.690395279;3.690395279
3.818663463;1.752368676;4.854531165;6.303954524;6.303954524;6.303954524;6.303954524;6.303954524
2.976483145;3.180471315;1.69498148;5.394734572;5.394734572;5.394734572;5.394734572;5.394734572
4.626631206;4.110754413;4.498556981;6.886493021;6.886493021;6.886493021;6.886493021;6.886493021
3.933918527;4.910741497;1.016455837;13.47185494;13.47185494;13.47185494;13.47185494;13.47185494
1.639250191;4.939363084;2.794268826;1.227446021;1.227446021;1.227446021;1.227446021;1.227446021
3.555015666;1.277530428;3.168695311;0.571886323;0.571886323;0.571886323;0.571886323;0.571886323
3.475353548;2.537789964;1.365406432;7.224518614;7.224518614;7.224518614;7.224518614;7.224518614
1.244725302;4.314565756;2.920220451;1.037548939;1.037548939;1.037548939;1.037548939;1.037548939
2.702077968;4.437856805;3.539939374;0.75646454;0.75646454;0.75646454;0.75646454;0.75646454
4.576193712;4.339391976;2.869815451;0.330273437;0.330273437;0.330273437;0.330273437;0.330273437
1.437124306;4.732191764;2.847989717;1.176858601;1.176858601;1.176858601;1.176858601;1.176858601
2.385849954;1.826438423;1.685474958;3.734556472;3.734556472;3.734556472;3.734556472;3.734556472
2.039446549;4.106880744;4.928706075;7.388668102;7.388668102;7.388668102;7.388668102;7.388668102
3.568150994;4.370491976;4.321793308;4.931566535;4.931566535;4.931566535;4.931566535;4.931566535
2.776470487;4.385967578;3.143895851;0.183198869;0.183198869;0.183198869;0.183198869;0.183198869
3.624443709;4.229376806;2.322569304;2.506106087;2.506106087;2.506106087;2.506106087;2.506106087
4.364678461;3.766861452;4.251219642;4.522832636;4.522832636;4.522832636;4.522832636;4.522832636
3.373380706;4.372747003;4.102204459;3.344547307;3.344547307;3.344547307;3.344547307;3.344547307
2.673997894;3.291463135;4.549621746;5.003953538;5.003953538;5.003953538;5.003953538;5.003953538
2.934643947;1.692839819;3.253373208;0.197555063;0.197555063;0.197555063;0.197555063;0.197555063
1.433911217;1.988300179;4.495544989;2.695652827;2.695652827;2.695652827;2.695652827;2.695652827
3.615107594;1.75230511;2.211653523;2.357793737;2.357793737;2.357793737;2.357793737;2.357793737
4.410328521;3.383630287;4.096245377;3.329140834;3.329140834;3.329140834;3.329140834;3.329140834
1.637163857;1.244819683;4.688948525;2.815063597;2.815063597;2.815063597;2.815063597;2.815063597
1.416766439;1.791839088;3.184912151;0.024987116;0.024987116;0.024987116;0.024987116;0.024987116
2.294461794;1.698490312;3.431129932;0.209067203;0.209067203;0.209067203;0.209067203;0.209067203
3.480592787;4.499669572;1.408972443;9.255503753;9.255503753;9.255503753;9.255503753;9.255503753
3.191440843;3.141017809;2.183014358;2.693411011;2.693411011;2.693411011;2.693411011;2.693411011
4.827951631;4.251743519;2.695936862;0.903344635;0.903344635;0.903344635;0.903344635;0.903344635
2.578516535;2.447333289;2.159482707;2.236102016;2.236102016;2.236102016;2.236102016;2.236102016
4.672551476;2.373070823;1.823278398;5.381945665;5.381945665;5.381945665;5.381945665;5.381945665
2.551508195;4.705078862;4.186979529;3.780896355;3.780896355;3.780896355;3.780896355;3.780896355
2.983262569;4.399342592;4.852912758;8.397425514;8.397425514;8.397425514;8.397425514;8.397425514
1.639422439;3.213242461;1.437062281;5.464724688;5.464724688;5.464724688;5.464724688;5.464724688
3.4373926;4.393731482;3.676225441;1.143222363;1.143222363;1.143222363;1.143222363;1.143222363
3.621214898;1.82662702;4.422361879;3.976834024;3.976834024;3.976834024;3.976834024;3.976834024
3.860226214;3.428182757;3.455843712;0.369115879;0.369115879;0.369115879;0.369115879;0.369115879
4.965569566;1.882604618;2.010348529;4.246046287;4.246046287;4.246046287;4.246046287;4.246046287
3.370335585;2.846457542;4.269969032;3.564678938;3.564678938;3.564678938;3.564678938;3.564678938
1.987995659;2.897234162;1.835261118;3.630578719;3.630578719;3.630578719;3.630578719;3.630578719
4.617173187;4.38180857;4.202744219;4.610175754;4.610175754;4.610175754;4.610175754;4.610175754
2.081330037;1.06341984;4.003637568;1.208069126;1.208069126;1.208069126;1.208069126;1.208069126
2.221450301;1.263033035;1.639956365;3.252976079;3.252976079;3.252976079;3.252976079;3.252976079
3.677971952;1.185806435;3.910867947;1.863120523;1.863120523;1.863120523;1.863120523;1.863120523
3.782892846;3.738676753;3.885225865;1.985685783;1.985685783;1.985685783;1.985685783;1.985685783
2.310084715;4.306967391;3.566923022;0.870575827;0.870575827;0.870575827;0.870575827;0.870575827
2.940706547;2.742691496;1.568456931;5.696685675;5.696685675;5.696685675;5.696685675;5.696685675
4.136772843;2.097690005;4.05503262;2.634555194;2.634555194;2.634555194;2.634555194;2.634555194
3.717506241;4.410932338;2.124378444;3.870590347;3.870590347;3.870590347;3.870590347;3.870590347
1.96576963;1.558896966;3.513772264;0.263258847;0.263258847;0.263258847;0.263258847;0.263258847
4.584594905;1.225493744;3.130977829;1.069726068;1.069726068;1.069726068;1.069726068;1.069726068
1.663215899;2.187529836;2.597089706;0.587551955;0.587551955;0.587551955;0.587551955;0.587551955
4.430844035;4.801398783;3.244270236;0.056023875;0.056023875;0.056023875;0.056023875;0.056023875
3.488416328;4.862597712;1.543341285;8.577137631;8.577137631;8.577137631;8.577137631;8.577137631
1.665569813;3.168802801;3.588297213;0.690506963;0.690506963;0.690506963;0.690506963;0.690506963
3.271065834;4.084659431;2.859279893;0.334532098;0.334532098;0.334532098;0.334532098;0.334532098
4.454168402;2.60072404;4.644424312;6.592608028;6.592608028;6.592608028;6.592608028;6.592608028
2.303326415;1.867164244;4.925665614;5.048390193;5.048390193;5.048390193;5.048390193;5.048390193
3.946230595;4.2504705;2.675937824;0.877768199;0.877768199;0.877768199;0.877768199;0.877768199
4.572896216;2.211587935;4.729561343;6.893700203;6.893700203;6.893700203;6.893700203;6.893700203
3.768326751;3.89193562;4.850371637;8.713757713;8.713757713;8.713757713;8.713757713;8.713757713
3.74624795;2.786305489;4.961818907;8.127618899;8.127618899;8.127618899;8.127618899;8.127618899
2.685508926;3.485571756;3.0346052;0.087069303;0.087069303;0.087069303;0.087069303;0.087069303
4.459239007;3.12115911;4.592780025;6.690078372;6.690078372;6.690078372;6.690078372;6.690078372
1.226865687;3.329086208;2.763717424;0.799158026;0.799158026;0.799158026;0.799158026;0.799158026
3.840550465;2.767309605;4.975086358;8.301046199;8.301046199;8.301046199;8.301046199;8.301046199
1.586096645;2.794415467;4.18170661;2.249452966;2.249452966;2.249452966;2.249452966;2.249452966
4.398114947;4.953668486;3.732985271;1.601970634;1.601970634;1.601970634;1.601970634;1.601970634
4.756479775;1.329314414;4.429981527;4.684353815;4.684353815;4.684353815;4.684353815;4.684353815
1.404885047;3.881393837;1.43207404;5.93207685;5.93207685;5.93207685;5.93207685;5.93207685
1.633202761;2.874018959;4.381048518;3.097629678;3.097629678;3.097629678;3.097629678;3.097629678
1.566952828;4.209070443;1.995445252;3.659859705;3.659859705;3.659859705;3.659859705;3.659859705
3.090990345;2.048513601;4.035483356;1.987121919;1.987121919;1.987121919;1.987121919;1.987121919
4.272967581;3.961058693;4.516491483;6.632448532;6.632448532;6.632448532;6.632448532;6.632448532
4.16817747;3.829054001;1.521915123;8.387638631;8.387638631;8.387638631;8.387638631;8.387638631
3.645281411;2.811496798;3.832450864;1.522207564;1.522207564;1.522207564;1.522207564;1.522207564
3.9182353;4.603930112;2.456348461;1.945148217;1.945148217;1.945148217;1.945148217;1.945148217
3.652774799;2.319809327;4.206551942;3.151623216;3.151623216;3.151623216;3.151623216;3.151623216
2.883701734;3.381843723;4.315650996;3.852129008;3.852129008;3.852129008;3.852129008;3.852129008
3.802426267;3.360530464;2.359938739;2.08873606;2.08873606;2.08873606;2.08873606;2.08873606
1.686125651;2.11273857;3.691845659;0.581225073;0.581225073;0.581225073;0.581225073;0.581225073
3.91798819;3.713316243;3.505738762;0.502963386;0.502963386;0.502963386;0.502963386;0.502963386
3.856410101;3.824859888;4.642904361;7.147973745;7.147973745;7.147973745;7.147973745;7.147973745
4.287892892;3.822933647;4.872155133;9.399034456;9.399034456;9.399034456;9.399034456;9.399034456
3.784729578;2.183388958;2.540743128;1.225797777;1.225797777;1.225797777;1.225797777;1.225797777
1.168777882;4.270104162;1.791324073;4.461526457;4.461526457;4.461526457;4.461526457;4.461526457
4.119993625;1.772108673;4.773503365;6.222165043;6.222165043;6.222165043;6.222165043;6.222165043
2.809057624;4.291807251;3.206220329;0.17103097;0.17103097;0.17103097;0.17103097;0.17103097
1.149902331;2.94668674;1.802703261;3.250450676;3.250450676;3.250450676;3.250450676;3.250450676
2.644014305;4.598756854;1.649259187;6.696132239;6.696132239;6.696132239;6.696132239;6.696132239
4.031248879;3.102260399;4.255328183;4.012211755;4.012211755;4.012211755;4.012211755;4.012211755
3.230129311;1.801781121;4.137414091;2.408047618;2.408047618;2.408047618;2.408047618;2.408047618
1.881127835;4.922955761;1.011187698;10.03501453;10.03501453;10.03501453;10.03501453;10.03501453
4.714408753;3.210423;2.043656546;4.381182921;4.381182921;4.381182921;4.381182921;4.381182921
4.306853322;2.255403144;1.634160968;6.167546179;6.167546179;6.167546179;6.167546179;6.167546179
3.230865005;4.511149374;3.936362785;2.393792362;2.393792362;2.393792362;2.393792362;2.393792362
3.336509166;3.351193248;1.023685066;10.16678616;10.16678616;10.16678616;10.16678616;10.16678616
3.982497043;3.620097247;1.397537083;8.911743806;8.911743806;8.911743806;8.911743806;8.911743806
