T;T_setpoint;a;a_dot;kf;kf_noise_0.05;kf_noise_0.1;kf_noise_0.3;kf_noise_1
350.2159794;350;0.055107827;0.001;54.95410683;60.17349762;56.97436729;76.1718909;67.40976276
350.2359993;350;0.063130791;0.001;54.71727481;59.48586238;54.77771447;50.76716634;27.09988086
350.2139686;350;0.072758373;0.001;54.4830895;53.06629329;72.47522225;36.42235558;96.45909167
350.1890199;350;0.084317845;0.001;54.21986494;57.38705506;66.5575132;54.03560768;74.63481371
350.1829557;350;0.098195473;0.001;53.97416069;59.2780495;68.74238572;53.89114767;85.37086629
350.2019617;350;0.114830407;0.001;53.76646106;76.6456739;68.49455935;57.4996247;-11.7035578
350.140639;350;0.134817384;0.001;53.5164189;36.32293671;37.60406304;74.30212482;40.58568185
350.1586876;350;0.158786543;0.001;53.39384757;55.68981104;72.01934035;23.53643477;81.11914774
350.1617034;350;0.187527837;0.001;53.28639595;57.77772242;66.6229163;62.01567961;96.7894702
350.195743;350;0.222025655;0.001;53.16328265;52.16156609;59.82951883;39.40417333;60.82408012
350.180925;350;0.263366416;0.001;53.01019516;51.05994524;52.31131218;5.73494998;79.40327362
350.164137;350;0.312980614;0.001;52.56399142;42.75897894;52.91296877;29.47955873;27.93803512
350.1653008;350;0.372450801;0.001;51.89486083;53.71013063;61.76347279;68.50103396;5.102646916
350.1609818;350;0.443607445;0.001;51.06625841;49.58707636;58.99713905;55.17827137;83.21032923
350.1558353;350;0.528790319;0.001;50.00015014;41.79829225;64.96031836;42.61344658;33.97859769
350.1590857;350;0.630435541;0.001;48.87620172;46.12852585;43.04853155;24.92922315;61.15765121
375.2664948;375;0;0.001;0;26.34112603;-6.922678365;-49.35690651;32.2567536
375.1620481;375;0.00067306;0.001;1.28409439;-1.328833846;1.924464496;-3.522325266;-2.074278075
375.1616207;375;0.00090485;0.001;2.59231608;1.449511024;13.06296497;-3.289315117;49.37818513
375.1641324;375;0.00119844;0.001;4.73006846;1.573063108;6.306046141;52.71655775;-20.83036119
375.1687545;375;0.00155584;0.001;7.79246663;-7.193757117;9.654052454;35.90303943;18.2710396
375.1738248;375;0.00198284;0.001;11.44607503;-0.822290487;4.36989104;14.52760955;-42.30077832
375.1773402;375;0.00249137;0.001;15.64890411;18.94407289;6.411076629;14.65130443;38.0205187
375.1778484;375;0.00309871;0.001;20.76732583;19.0528069;17.18012986;34.51274277;4.549821002
375.1751252;375;0.00382337;0.001;26.66562318;38.06664163;20.32133611;76.87846922;33.77748146
375.1702647;375;0.00467945;0.001;32.59260278;34.51701718;62.1366275;9.054362166;32.47428881
375.1651935;375;0.00567205;0.001;37.61958248;33.03031926;49.12678995;12.97117325;70.3179576
375.1617873;375;0.00679558;0.001;41.11850747;37.46769851;56.98960936;26.51719069;21.95284286
375.1609026;375;0.00803558;0.001;43.17716611;44.0978089;37.67561705;62.77346654;8.220116009
375.1618712;375;0.00937236;0.001;44.28418782;36.18553072;32.53108313;48.41608713;40.14871218
375.1629699;375;0.0107849;0.001;44.86262692;38.55385865;41.63825823;18.72114662;25.81138374
375.1627229;375;0.01225363;0.001;45.16137937;47.94742182;35.48424624;73.83574977;64.63538694
375.1611178;375;0.01376182;0.001;45.28477217;37.49171792;67.80930879;40.46203603;-23.80511579
375.1597556;375;0.01529614;0.001;45.29798137;36.36665878;58.53096363;47.99799684;33.10569871
375.1607859;375;0.01684665;0.001;45.2504221;43.14352009;31.97225359;71.62210636;31.44580672
375.1654396;375;0.01840654;0.001;45.17628919;49.9838883;51.84112334;74.96674366;102.3866262
375.1731953;375;0.01997165;0.001;45.10628669;45.39964731;44.56879939;38.49507331;38.38898362
375.182066;375;0.0215398;0.001;45.03976964;49.9950652;35.89173901;50.03202546;76.57543436
375.1897524;375;0.02310996;0.001;44.96382473;56.56582656;44.71009674;40.83234876;44.79587201
375.1949594;375;0.0246816;0.001;44.87791246;37.03798066;45.3760445;22.55989646;54.02230568
375.1981375;375;0.02625415;0.001;44.79022557;42.83689848;51.2959733;21.76682527;-10.16260806
375.201217;375;0.02782689;0.001;44.69554429;39.51315139;37.65409186;27.86414667;-26.88473382
375.2064701;375;0.02939908;0.001;44.59056544;40.6486094;47.67433617;67.60448316;79.14630582
375.2176049;375;0.031284205;0.001;44.48642982;41.54644696;36.04848421;60.57297054;149.6239137
375.2359612;375;0.033544259;0.001;44.40119457;39.96798519;55.6125727;34.93592997;7.665000879
375.258767;375;0.036253904;0.001;44.31472409;53.55108071;40.39191697;40.04742032;39.77361697
375.2751016;375;0.03950398;0.001;44.21269246;38.90928327;44.24253254;35.48891791;22.00787677
375.2649627;375;0.043406833;0.001;44.10226266;38.02915249;42.30573794;9.779264065;53.72131659
375.2398098;375;0.048088766;0.001;43.91883344;39.02531699;35.10821266;74.03224595;20.13672388
375.2451804;375;0.053694202;0.001;43.81477485;36.70545728;40.13741554;48.33593241;62.57987212
375.2494765;375;0.060429474;0.001;43.67508265;44.65033807;58.91514855;38.84613603;59.80184549
375.2121203;375;0.068512305;0.001;43.50620471;49.6826583;54.09203349;42.40968314;41.71521445
375.2071445;375;0.078184606;0.001;43.38537282;47.73446529;56.11867995;42.48813926;2.003887924
375.2326479;375;0.089800765;0.001;43.27022973;37.33651452;33.10896892;23.77889661;55.31375818
375.2491801;375;0.103742018;0.001;43.15581034;34.94792847;47.32247262;31.84404355;62.88433345
375.2370811;375;0.120473241;0.001;43.03077109;45.56907622;39.43682556;29.61299621;77.77877303
375.2248347;375;0.140534507;0.001;42.93701482;50.87195336;30.60060645;22.65037314;122.1579866
375.2351147;375;0.1646296;0.001;42.88797247;44.18185673;36.13379384;9.653499143;72.97708942
375.2184782;375;0.19354927;0.001;42.85716029;32.16687248;42.58219066;57.64353895;15.46314874
375.2059397;375;0.228223671;0.001;42.82361958;44.70354436;47.78204555;37.29093227;42.64812886
375.2507305;375;0.269841573;0.001;42.7782221;34.32998357;24.48482317;59.4688417;49.3375487
375.2147535;375;0.319832857;0.001;42.4173088;47.31552515;48.56005404;44.87324676;97.78957981
375.2207426;375;0.379679195;0.001;41.9092541;50.70472485;64.98962994;57.27973276;9.166109492
375.1949062;375;0.451329185;0.001;41.2715828;30.23152125;51.71509544;42.15456859;76.02518729
375.2426983;375;0.537083763;0.001;40.47198282;46.70555686;48.61204703;13.71134507;8.482491028
375.2127307;375;0.6395753;0.001;39.62625271;43.38594003;32.46328339;49.03046215;57.2439651
400.267395;400;0;0.001;0;-11.27628107;-6.931953858;6.374682775;12.14611026
400.2413283;400;0.00094545;0.001;1.73928303;3.222907603;1.871176702;-1.426667873;15.79506181
400.2447358;400;0.00124819;0.001;3.26660849;7.943600417;-11.33829523;-8.198398818;-42.6552303
400.2443177;400;0.00161528;0.001;5.69838806;-1.954892612;10.63117941;4.798912326;-27.79172437
400.2406005;400;0.00205071;0.001;8.91135687;-1.378957042;4.19012887;10.47310393;39.51673602
400.2346991;400;0.0025646;0.001;12.55953388;-3.510037305;13.01260962;27.93408812;-32.73649391
400.2280769;400;0.00317228;0.001;16.76942018;44.31769673;16.8953;10.86544983;0.129992367
400.2222852;400;0.00388999;0.001;21.59742922;22.48190971;21.64075004;33.78862672;37.29482956
400.2185422;400;0.00472967;0.001;26.30896357;19.10349677;6.063698383;35.59282948;83.96571738
400.2171256;400;0.00569522;0.001;30.0423197;20.29243261;18.49793132;32.73618505;16.83264885
400.2169913;400;0.00678166;0.001;32.52223574;31.09303624;50.55863466;17.99739025;36.50999551
400.2161665;400;0.00797679;0.001;33.96680066;18.21530906;29.38329369;17.53501912;47.96857654
400.2128478;400;0.00926402;0.001;34.73815133;28.79415926;34.96557051;10.05003891;37.20603594
400.206355;400;0.01062528;0.001;35.11626081;30.20582197;48.22802508;24.6551473;51.22140704
400.1971953;400;0.01204324;0.001;35.26177152;30.58287643;39.77046644;58.91997987;55.75938787
400.1864085;400;0.01350286;0.001;35.27519753;31.61131511;24.77573882;35.122068;10.13904985
400.1749494;400;0.01499203;0.001;35.22958414;39.46760229;38.76756325;20.6965201;44.65259451
400.1635323;400;0.01650159;0.001;35.17847008;42.93710508;26.39518755;10.42400032;27.3091126
400.1527783;400;0.0180249;0.001;35.12164097;39.62891176;41.97262343;10.34140891;-32.24056804
400.1433936;400;0.01955735;0.001;35.04505108;47.20538763;39.81870889;-12.01823076;23.26809599
400.1362652;400;0.02109583;0.001;34.96949292;26.94186967;44.86019413;47.16522977;96.98086678
400.1323472;400;0.02263826;0.001;34.89377897;32.41654785;42.11829893;54.0912855;74.5602346
400.132209;400;0.02418335;0.001;34.81724633;60.57672545;26.97480091;41.516842;57.43572986
400.1354876;400;0.02573043;0.001;34.75198112;20.17426493;32.43043115;56.1713839;29.25215958
400.1408217;400;0.02727932;0.001;34.69267879;24.80908144;27.93419905;36.6916424;-30.93272227
400.1465349;400;0.02882997;0.001;34.6571067;47.79413773;51.941501;34.79135031;-6.65623123
400.1516183;400;0.03038214;0.001;34.63884815;43.50136476;34.0790337;35.62271189;47.31702272
400.1572647;400;0.032246071;0.001;34.59540495;20.74035717;49.02309749;9.411668133;29.44075969
400.1655336;400;0.034483568;0.001;34.54379435;32.85398082;14.04244556;29.77094722;32.19076345
400.1784613;400;0.037169339;0.001;34.50363896;32.54834493;39.64453242;36.52318262;8.543275627
400.1904705;400;0.040395114;0.001;34.45456261;35.04389269;36.67490581;53.32975454;36.64866818
400.1898009;400;0.044273595;0.001;34.40646838;32.09993526;19.93631202;40.34211165;36.33061866
400.1866172;400;0.048939024;0.001;34.35739193;26.68809772;49.49840698;12.65034055;29.25243793
400.1840075;400;0.054547898;0.001;34.3241301;38.3196056;23.48253142;39.83838713;23.42618821
400.1721579;400;0.061282469;0.001;34.25387425;37.18080629;34.17778981;52.11428798;63.94913724
400.2114611;400;0.069328553;0.001;34.27262986;25.0596311;27.39783145;0.519890399;70.51200115
400.2052448;400;0.079019715;0.001;34.247458;48.56100611;30.50560452;33.13863572;43.48949434
400.2203373;400;0.090640979;0.001;34.21533314;35.19279055;26.91320443;21.68963944;8.817561846
400.2207397;400;0.104558575;0.001;34.24178286;29.38459405;42.91272511;-2.156254119;2.301640549
400.1883866;400;0.121304662;0.001;34.22862853;32.13449996;53.12705786;40.59471765;-26.74415451
400.1829989;400;0.141389094;0.001;34.20901251;27.9659503;42.8452998;29.15008254;55.34781889
400.1867222;400;0.165501998;0.001;34.23416029;30.49828187;9.110733951;47.52709849;41.70595541
400.1906946;400;0.194463926;0.001;34.24361349;27.34843185;47.64549042;39.67660204;45.93427481
400.1755773;400;0.229243127;0.001;34.21458638;39.04259325;21.86693705;21.40514176;73.78684137
400.1975233;400;0.27094751;0.001;34.16326337;22.36113375;17.80582392;25.8209615;0.25229515
400.1917169;400;0.321001503;0.001;33.92311247;41.76982933;28.90824382;-3.326340403;-5.438166153
400.1447119;400;0.381038529;0.001;33.47872472;21.68654953;16.68340249;70.48765992;6.811091811
400.1447741;400;0.453016024;0.001;32.92077821;33.69832921;17.83799213;71.5457696;31.33274356
400.2071571;400;0.53919105;0.001;32.30752212;41.94914292;55.97368355;14.43861514;47.84274769
400.2262141;400;0.64226775;0.001;31.64825382;40.47872488;51.12415903;25.60148872;45.63906698
425.0528717;425;0;0.001;0;6.016660966;-3.666714209;15.10084293;-15.09974219
425.2390504;425;0.00061275;0.001;1.27483774;-12.11921764;3.581102787;-3.352974653;-14.50380805
425.2413653;425;0.00081618;0.001;2.51129325;9.970964833;-12.31162149;7.17894956;-18.98723078
425.2430675;425;0.00108365;0.001;4.26900962;16.02445438;-15.66406177;-26.90684375;-8.933257125
425.2425859;425;0.00142466;0.001;6.57732782;5.391226345;11.37104462;8.376935634;61.13659296
425.2391213;425;0.00185209;0.001;9.32316097;14.89780802;-9.986232689;-20.22772244;32.39690321
425.2329625;425;0.00238228;0.001;12.416511;2.645846999;10.84649558;-14.23150184;65.1886475
425.2253213;425;0.00303231;0.001;16.00676222;23.51426006;27.91734519;36.0160182;2.90382927
425.2177406;425;0.0038152;0.001;19.92815725;32.56275278;12.20935512;27.00612904;44.20594575
425.2112747;425;0.00473591;0.001;23.40866722;13.16817927;20.17672157;11.72532034;19.03615308
425.2059287;425;0.00578972;0.001;25.85239002;17.92632505;34.50783107;17.03056595;-36.28965638
425.2008788;425;0.00696345;0.001;27.29911917;34.88303953;25.78999052;6.501967704;-15.4227609
425.195411;425;0.00823851;0.001;28.070072;25.90458098;32.55700501;69.9581128;76.20822954
425.1897922;425;0.00959435;0.001;28.43751778;34.36472051;22.41111223;41.67964312;-15.61109082
425.1852924;425;0.01101138;0.001;28.58086597;31.96206895;42.02808102;8.077697793;-45.13206549
425.183361;425;0.01247283;0.001;28.61900722;25.76523231;18.25307875;-5.212568431;-0.546110665
425.1846835;425;0.01396554;0.001;28.61990829;34.38878111;21.74660538;11.47667057;75.26551698
425.1888557;425;0.01547982;0.001;28.60513227;29.5493328;19.16732563;51.97810801;18.79563827
425.1948379;425;0.01700884;0.001;28.57547316;37.46328121;41.68851722;20.41306879;57.45084794
425.201751;425;0.01854784;0.001;28.53243678;14.13923013;36.43925068;15.83516263;-23.00462118
425.2093738;425;0.02009353;0.001;28.47862204;29.23659931;35.89557591;40.12720236;17.62376715
425.2179702;425;0.02164368;0.001;28.42706321;45.6571266;51.53709235;24.33353584;3.035292359
425.2276521;425;0.02319688;0.001;28.39128937;43.20278769;37.77747696;-7.616456617;12.23318453
425.2379562;425;0.02475248;0.001;28.36876092;33.88447488;31.4069842;31.1879058;-46.79889186
425.2481236;425;0.02631021;0.001;28.3469562;27.91507648;18.85172073;29.32310757;29.17991648
425.257735;425;0.02786988;0.001;28.32990369;30.91560497;3.469704986;31.4559867;46.36595122
425.2668628;425;0.02943122;0.001;28.31829364;21.40087274;42.03201402;24.20539509;75.32481635
425.2769561;425;0.031306845;0.001;28.29424302;16.76213097;30.68698791;34.97332847;54.06595826
425.2857239;425;0.033560261;0.001;28.265903;20.57111198;10.28985839;17.53009387;81.01724918
425.2850525;425;0.036269092;0.001;28.25511617;20.57495001;23.30299553;39.8218097;37.85923826
425.2617837;425;0.03952659;0.001;28.2134709;31.91673199;19.21504523;55.14095102;27.80521586
425.2162953;425;0.043439748;0.001;28.14240325;29.35624693;32.92469378;-4.608510837;72.78200746
425.1950292;425;0.04812662;0.001;28.11443203;31.17991078;38.44379609;20.0027435;23.36745421
425.2375542;425;0.05373629;0.001;28.17653355;35.10287865;13.10739046;38.8075819;61.44564875
425.2615645;425;0.060481248;0.001;28.18541196;37.66202074;36.49291356;36.36593312;51.28239616
425.2378496;425;0.068589307;0.001;28.17800793;28.75003769;39.43520829;44.95831078;51.24786753
425.2340895;425;0.078296515;0.001;28.20388999;19.17055539;13.17555013;28.54424245;14.29886277
425.2178788;425;0.089969554;0.001;28.18346341;32.82245253;34.46560165;26.65052744;16.08568866
425.2140413;425;0.103972852;0.001;28.17394318;21.08618922;40.10115513;55.53994097;17.124616
425.2531432;425;0.120773011;0.001;28.17996426;23.52768215;3.047101487;56.03518159;46.43771892
425.2283257;425;0.140936872;0.001;28.1618321;42.40077041;28.44708124;58.35747686;18.43309001
425.2065369;425;0.165152355;0.001;28.13266094;26.02495883;36.35821888;22.55663361;123.5877201
425.2353023;425;0.194196672;0.001;28.08961229;21.28889741;29.52792837;31.71971144;3.944478476
425.204792;425;0.229082009;0.001;28.05841124;19.26552808;42.8154206;65.78008955;-4.030522716
425.2166855;425;0.270924922;0.001;27.9525175;17.79914799;26.08227434;35.00718471;-22.68342206
425.251148;425;0.321127134;0.001;27.67789344;18.01722925;11.00980839;14.01686703;21.41109432
425.2224699;425;0.381426245;0.001;27.29004625;31.80240567;11.97486893;43.99768474;26.06029479
425.2190599;425;0.453758602;0.001;26.77320073;26.95944141;23.17231027;22.3597441;4.364800138
425.2073044;425;0.540441542;0.001;26.15301106;19.90976381;40.27357626;17.06426653;-0.107371864
425.1701544;425;0.644067065;0.001;25.56550584;26.36895709;31.86279892;9.10466772;62.29218013
450.1905975;450;0;0.001;0;-2.55667989;2.867699327;-9.879789696;10.00179898
450.1032503;450;0.00058359;0.001;1.04424535;0.275035264;8.048092854;5.890407983;-10.74430384
450.1023666;450;0.00076086;0.001;2.20832256;5.729141256;2.280833233;-0.030112334;-22.49217705
450.104005;450;0.00101153;0.001;3.96314565;-19.97226269;7.586071468;-14.7059641;37.83793171
450.1075914;450;0.00135339;0.001;6.30313733;7.922689826;-2.373455048;-16.82248832;-15.9279598
450.1127953;450;0.00180583;0.001;9.11742971;9.757178168;-11.8314374;-18.64684164;38.13495862
450.119339;450;0.00238792;0.001;12.4681809;6.716172798;33.66070219;-24.2423044;15.01537154
450.1266935;450;0.0031146;0.001;16.36746852;23.62605482;24.6419996;50.54858705;23.73074084
450.1341507;450;0.00399257;0.001;20.15916705;8.157712255;13.47859465;35.04861583;0.750147908
450.1411454;450;0.00501796;0.001;23.04472074;25.53320983;38.25177937;31.28731;15.70135395
450.1473584;450;0.00617714;0.001;24.83378133;29.69590609;0.090928568;3.762584727;28.11601522
450.1525141;450;0.00744993;0.001;25.78196149;24.46532933;25.23601452;17.39607099;54.34182073
450.1562278;450;0.00881371;0.001;26.2402362;27.72722894;34.82694583;55.89060651;34.71734545
450.1581418;450;0.01024671;0.001;26.45207568;23.30677613;11.1511223;8.595230244;58.65275452
450.1582369;450;0.01173;0.001;26.52349073;31.08680798;19.73284652;22.67740138;35.61846496
450.1570833;450;0.01324824;0.001;26.51919865;7.163233117;33.32445934;35.59945589;32.65457191
450.155845;450;0.01478965;0.001;26.48514765;18.16370026;18.76566376;-5.448103104;8.124127261
450.1559381;450;0.01634565;0.001;26.44595515;37.25006855;3.795498637;35.50734407;44.27642896
450.1584505;450;0.01791032;0.001;26.40024652;23.77510359;25.05006315;28.25724236;23.4330876
450.1636432;450;0.01947987;0.001;26.34967513;19.77461926;29.37454132;34.42950581;5.999360486
450.170787;450;0.0210521;0.001;26.31096244;31.63198917;31.2503476;13.93835132;-2.066117383
450.1783669;450;0.0226259;0.001;26.27832535;32.30560853;32.95954364;25.2270223;-13.27163628
450.1845708;450;0.02420079;0.001;26.25129583;20.67714167;12.22247231;-21.07553053;28.14901708
450.1879125;450;0.02577656;0.001;26.2372687;28.29360236;31.89249001;14.59059363;64.66020583
450.1877292;450;0.02735309;0.001;26.21923063;24.56700895;23.9788163;-9.05435052;6.240618369
450.1842945;450;0.02893034;0.001;26.18504637;17.97670235;32.36520473;55.17774049;-8.241200163
450.1785779;450;0.03050833;0.001;26.14759573;23.39708348;25.52906891;-5.015014278;79.81844523
450.1707478;450;0.032402754;0.001;26.11497726;24.887821;-5.382864925;16.24166027;70.98893468
450.1634684;450;0.034675858;0.001;26.09309096;32.99619542;32.99783922;13.52439781;37.22469274
450.1615576;450;0.037400257;0.001;26.04764014;36.21305689;25.99013969;68.12386382;6.402137695
450.1654629;450;0.040663269;0.001;26.01507764;38.3285322;28.81655888;53.18403996;18.1340725
450.1647269;450;0.04457784;0.001;26.00094802;28.70627742;17.59400673;66.04481682;8.558350213
450.1619232;450;0.049280572;0.001;25.92917374;7.861175559;31.32922853;15.86302147;18.31683173
450.1648097;450;0.054922404;0.001;25.9170784;24.37067608;10.16032051;10.3716006;89.47858676
450.1498045;450;0.061691837;0.001;25.84591824;31.5008361;23.23503713;17.32947947;-53.56752439
450.162655;450;0.069808704;0.001;25.79268072;22.23440321;7.730699377;23.17699536;9.531970927
450.1687008;450;0.079553352;0.001;25.75384879;34.35023908;39.54877227;-12.76349463;23.21552533
450.1478236;450;0.091265128;0.001;25.68504113;40.36112326;28.09262929;27.18288095;64.3999524
450.1735939;450;0.105283039;0.001;25.62858528;32.99326215;33.04001303;-15.50603546;17.35507213
450.189058;450;0.122152196;0.001;25.54330156;24.03186822;31.30052146;50.47463568;73.81784476
450.1617171;450;0.1423644;0.001;25.43770636;17.47583278;11.92290778;20.8214129;-3.877226967
450.1644553;450;0.166650709;0.001;25.32621427;18.50809186;32.56355404;53.55330027;35.99535658
450.1910015;450;0.19577798;0.001;25.22566285;17.73630587;10.15839021;35.90971954;45.12952367
450.1943006;450;0.230766571;0.001;25.0281648;34.47058121;30.39187777;4.495990064;13.46059883
450.1586309;450;0.272698944;0.001;24.75252761;17.80267332;8.369869182;52.93619091;-40.40214168
450.1267494;450;0.323053235;0.001;24.36280619;21.8890986;33.26326334;25.79636198;23.72855546
450.148772;450;0.383410269;0.001;23.88668347;25.48978651;27.91871892;39.69162859;72.99446415
450.1876209;450;0.455790851;0.001;23.33807178;19.78967824;2.799135878;10.16499498;-1.993139927
450.1673321;450;0.542614469;0.001;22.70371792;20.02334695;34.39393319;37.14654355;55.6439893
450.1928602;450;0.646573314;0.001;22.07377207;23.69546958;16.94287818;19.79499932;106.1033277
475.1655172;475;0;0.001;0;-4.661070801;-5.431933953;32.08648439;-55.72507486
475.1719205;475;0.00089215;0.001;1.86856528;1.731681387;-10.77179186;-21.56845584;-13.12872912
475.1783133;475;0.00120237;0.001;3.53886931;7.126372223;16.13658819;-5.060583988;-14.0780003
475.1841858;475;0.00160122;0.001;5.92029975;-3.93911654;31.3015613;9.936258037;72.22696888
475.1879247;475;0.00210295;0.001;8.79149659;7.596490046;10.15477598;36.42745239;-17.19337071
475.188308;475;0.00272319;0.001;11.89017636;16.23397442;24.97280148;19.71929905;19.39268311
475.1854248;475;0.0034752;0.001;15.11361271;9.400090113;18.69933955;-19.69633666;21.9095208
475.1808877;475;0.00436559;0.001;18.12056073;14.55255514;11.2730594;19.30742914;-47.05644855
475.1770178;475;0.00539193;0.001;20.41525971;16.97612145;32.31937834;26.03968247;10.62301956
475.1755787;475;0.00654306;0.001;21.86139967;28.18975907;41.4204012;26.96834267;-3.043390304
475.1769806;475;0.00780169;0.001;22.65926432;19.3051263;0.899316058;48.20988206;-29.67588592
475.180421;475;0.00914761;0.001;23.06046841;36.13973278;31.04546686;-14.78834994;-8.429216277
475.184653;475;0.01056073;0.001;23.24638843;15.6106714;19.00148672;18.18154698;47.85033778
475.188744;475;0.01202303;0.001;23.32240107;20.94097776;24.55776133;41.00994825;26.2815587
475.1924289;475;0.01351969;0.001;23.33998304;17.87760912;5.877792474;1.88311301;43.72225797
475.1960084;475;0.01503949;0.001;23.32970933;28.90825443;19.03597832;15.50225744;33.54243787
475.1999139;475;0.0165746;0.001;23.30479428;18.65938907;26.69545091;25.16574441;-21.10819981
475.2042173;475;0.01812001;0.001;23.27666203;21.379008;23.32070316;17.08033418;23.88842931
475.2084866;475;0.01967274;0.001;23.26055276;28.98305062;17.11512566;44.85764416;24.7857272
475.2121258;475;0.02123099;0.001;23.25130679;15.60194069;17.83237222;-9.27640492;40.18266314
475.2147954;475;0.02279355;0.001;23.23379279;28.591885;30.67970472;0.634830343;16.98165154
475.2164117;475;0.02435952;0.001;23.20505786;31.19995656;30.23123123;46.05938129;19.8483415
475.2168103;475;0.02592824;0.001;23.17274436;23.33609369;17.01733308;46.59975419;46.72048467
475.215658;475;0.0274992;0.001;23.1464858;18.81541799;30.9307222;31.72862181;-5.577739696
475.2128813;475;0.02907192;0.001;23.13203635;7.525248178;16.18415114;4.267070091;86.44251376
475.2091684;475;0.03064575;0.001;23.11789888;23.21220304;12.28103505;9.527343132;83.00873636
475.2059293;475;0.03221989;0.001;23.09016575;31.86382753;35.12539073;10.934184;49.98291741
475.2049455;475;0.034108265;0.001;23.0528809;30.17163977;38.95907263;28.50812677;28.00888885
475.2087509;475;0.036372925;0.001;23.02476654;41.82544417;25.57819104;-3.452030675;4.584957404
475.2179177;475;0.039089069;0.001;23.01247756;34.15898912;45.71768561;-31.21398909;25.62371463
475.2265057;475;0.042348604;0.001;22.98776601;17.35570124;20.76049164;7.524815429;23.15176271
475.2250299;475;0.046263309;0.001;22.94836658;14.11000194;39.64737974;2.16928978;69.39090334
475.212042;475;0.050966547;0.001;22.89688947;18.39303636;16.95456275;30.37844536;7.462281887
475.1974359;475;0.056611588;0.001;22.84908405;28.46599745;13.47728686;14.27828206;74.58272699
475.1974002;475;0.063385658;0.001;22.80338214;22.08173329;20.24618628;0.997591073;3.431846888
475.2072476;475;0.07152023;0.001;22.72762981;28.06136909;17.09298173;24.35568137;9.309196126
475.2137459;475;0.081277907;0.001;22.6361637;24.4282064;26.85609321;17.3266625;55.52192154
475.193645;475;0.092988902;0.001;22.55849741;31.13687904;39.20904744;38.81755837;-14.55361966
