lambd;d;n;theta;theta_noise_0.05;theta_noise_0.1;theta_noise_0.3;theta_noise_1
1.318001861;2.861380347;4.633684418;0.099570765;0.101268158;0.084126234;0.100848681;0.346415629
1.76364771;3.772491704;4.813960674;0.097267113;0.104427285;0.128296074;0.020205858;0.215850517
1.271986534;2.984625145;4.30206457;0.099226735;0.110219898;0.091451369;0.070442872;0.010691225
1.952880338;2.780499823;1.276557346;0.58259136;0.549692189;0.578970129;0.546638974;0.595333098
1.898892348;2.029098439;3.186470103;0.298083535;0.260420532;0.314729337;0.399302436;0.209096141
1.836047859;3.696718004;4.012187077;0.124108628;0.128866496;0.164078347;0.052728705;0.322794891
1.580623143;4.800998709;3.935349198;0.08375705;0.077874302;0.097325765;0.064849399;0.136366588
1.095612035;3.490696332;1.781875545;0.177067614;0.165717333;0.221749513;0.158815161;0.138110815
1.062852778;3.883900323;4.001317255;0.068444916;0.107572953;0.027177977;-0.0045733;0.034511642
1.996641878;3.431500517;1.957881328;0.301745144;0.301745144;0.301745144;0.301745144;0.301745144
1.46371941;4.108396582;2.513422964;0.142227996;0.142227996;0.142227996;0.142227996;0.142227996
1.743073327;3.243268986;1.051757738;0.53634237;0.53634237;0.53634237;0.53634237;0.53634237
1.087658341;4.544056063;2.743248227;0.087364765;0.087364765;0.087364765;0.087364765;0.087364765
1.964158281;3.871326117;1.967119099;0.260869389;0.260869389;0.260869389;0.260869389;0.260869389
1.195873628;3.425371183;3.044853174;0.114912565;0.114912565;0.114912565;0.114912565;0.114912565
1.359820032;4.043540929;4.969727111;0.067720327;0.067720327;0.067720327;0.067720327;0.067720327
1.799972091;4.356411819;1.41296148;0.296756087;0.296756087;0.296756087;0.296756087;0.296756087
1.636387606;2.511603107;1.213096736;0.566972749;0.566972749;0.566972749;0.566972749;0.566972749
1.714534979;3.123106259;2.905723107;0.190074374;0.190074374;0.190074374;0.190074374;0.190074374
1.011970583;4.996988764;1.117870596;0.182168245;0.182168245;0.182168245;0.182168245;0.182168245
1.595794172;3.712007289;2.784968865;0.154984312;0.154984312;0.154984312;0.154984312;0.154984312
1.410118114;4.91551125;2.570972597;0.111813611;0.111813611;0.111813611;0.111813611;0.111813611
1.503475677;2.222530912;3.614192262;0.188280923;0.188280923;0.188280923;0.188280923;0.188280923
1.029239283;2.339248499;4.891793045;0.090065659;0.090065659;0.090065659;0.090065659;0.090065659
1.691205945;2.611974401;2.699889781;0.242178244;0.242178244;0.242178244;0.242178244;0.242178244
1.205243925;3.861706582;2.483826703;0.125986465;0.125986465;0.125986465;0.125986465;0.125986465
1.666851619;3.204116626;3.21885586;0.162328996;0.162328996;0.162328996;0.162328996;0.162328996
1.300331065;4.780336017;4.725316245;0.057597653;0.057597653;0.057597653;0.057597653;0.057597653
1.417192494;2.372656694;4.334860193;0.13823015;0.13823015;0.13823015;0.13823015;0.13823015
1.034314149;3.285299976;1.802590055;0.175555144;0.175555144;0.175555144;0.175555144;0.175555144
1.078854844;2.113160318;3.753900864;0.136425572;0.136425572;0.136425572;0.136425572;0.136425572
1.294609687;4.799375858;1.035171196;0.263623425;0.263623425;0.263623425;0.263623425;0.263623425
1.283718713;3.771655628;3.582172934;0.095158354;0.095158354;0.095158354;0.095158354;0.095158354
1.024789989;3.745539193;2.934861314;0.093360685;0.093360685;0.093360685;0.093360685;0.093360685
1.424683411;4.591336583;1.827092699;0.170658845;0.170658845;0.170658845;0.170658845;0.170658845
1.482763994;2.671196319;1.864813719;0.302247999;0.302247999;0.302247999;0.302247999;0.302247999
1.238774197;4.59934591;3.003816432;0.08978553;0.08978553;0.08978553;0.08978553;0.08978553
1.994685788;4.509371136;2.454331258;0.181219538;0.181219538;0.181219538;0.181219538;0.181219538
1.323698178;2.178687764;1.265699463;0.500682611;0.500682611;0.500682611;0.500682611;0.500682611
1.604936828;2.029036193;4.72622822;0.16815199;0.16815199;0.16815199;0.16815199;0.16815199
1.647218034;3.916560192;3.406870801;0.123765595;0.123765595;0.123765595;0.123765595;0.123765595
1.273961749;3.184122276;2.402449474;0.167317217;0.167317217;0.167317217;0.167317217;0.167317217
1.981696969;3.701574319;2.017264294;0.26861057;0.26861057;0.26861057;0.26861057;0.26861057
1.534670421;2.77235787;2.92904176;0.190134149;0.190134149;0.190134149;0.190134149;0.190134149
1.678966607;4.223113435;3.764313608;0.105811829;0.105811829;0.105811829;0.105811829;0.105811829
1.974578765;3.556932426;4.572552869;0.121706227;0.121706227;0.121706227;0.121706227;0.121706227
1.506432029;3.667365899;2.811776314;0.146612678;0.146612678;0.146612678;0.146612678;0.146612678
1.033280353;3.651645705;3.54772202;0.079843854;0.079843854;0.079843854;0.079843854;0.079843854
1.138510969;3.739115896;2.111295981;0.144722566;0.144722566;0.144722566;0.144722566;0.144722566
1.210657132;4.405862195;3.107212062;0.088549694;0.088549694;0.088549694;0.088549694;0.088549694
1.597075035;2.029497756;2.326128602;0.345110644;0.345110644;0.345110644;0.345110644;0.345110644
1.718771699;2.099594041;3.376703281;0.244871861;0.244871861;0.244871861;0.244871861;0.244871861
1.188954443;3.877600264;1.569411319;0.196638156;0.196638156;0.196638156;0.196638156;0.196638156
1.409846527;2.131613756;2.104540838;0.319689914;0.319689914;0.319689914;0.319689914;0.319689914
1.246633604;2.498302995;4.634095448;0.107887613;0.107887613;0.107887613;0.107887613;0.107887613
1.550552596;4.617624536;3.742749069;0.0898383;0.0898383;0.0898383;0.0898383;0.0898383
1.276986159;4.172990229;1.042292329;0.297985856;0.297985856;0.297985856;0.297985856;0.297985856
1.451842186;3.261931524;4.04129172;0.110358624;0.110358624;0.110358624;0.110358624;0.110358624
1.342366706;3.288244703;3.03672572;0.134839867;0.134839867;0.134839867;0.134839867;0.134839867
1.325411235;2.815360774;2.57309719;0.183998256;0.183998256;0.183998256;0.183998256;0.183998256
1.316897398;3.707812903;4.030001249;0.088245538;0.088245538;0.088245538;0.088245538;0.088245538
1.491343709;3.505927441;1.61875554;0.265903119;0.265903119;0.265903119;0.265903119;0.265903119
1.003203404;3.832877959;2.628495677;0.099741769;0.099741769;0.099741769;0.099741769;0.099741769
1.134906533;2.840113706;2.505993858;0.16014088;0.16014088;0.16014088;0.16014088;0.16014088
1.447159813;2.136622614;4.957447788;0.137053771;0.137053771;0.137053771;0.137053771;0.137053771
1.289393061;3.503283129;1.370350699;0.271921578;0.271921578;0.271921578;0.271921578;0.271921578
1.772623587;2.399969747;3.828610009;0.194133732;0.194133732;0.194133732;0.194133732;0.194133732
1.682750529;4.646248555;4.073521199;0.08902688;0.08902688;0.08902688;0.08902688;0.08902688
1.08028312;4.047842154;1.244213039;0.216175828;0.216175828;0.216175828;0.216175828;0.216175828
1.949959218;2.228576631;3.09378378;0.286731434;0.286731434;0.286731434;0.286731434;0.286731434
1.387403287;2.683274017;1.189440468;0.449711068;0.449711068;0.449711068;0.449711068;0.449711068
1.534784171;3.06103127;2.692958751;0.187280063;0.187280063;0.187280063;0.187280063;0.187280063
1.966505479;2.120054249;2.664261199;0.355601181;0.355601181;0.355601181;0.355601181;0.355601181
1.500435847;2.223366571;4.631644343;0.146224421;0.146224421;0.146224421;0.146224421;0.146224421
1.522726832;3.075347499;1.419316077;0.356352268;0.356352268;0.356352268;0.356352268;0.356352268
1.193092478;3.006373654;3.95831771;0.100427064;0.100427064;0.100427064;0.100427064;0.100427064
1.631526369;3.993707652;4.213742608;0.097102974;0.097102974;0.097102974;0.097102974;0.097102974
1.770780375;4.313111452;2.057411034;0.200899236;0.200899236;0.200899236;0.200899236;0.200899236
1.796534439;3.55237112;4.64502022;0.109091615;0.109091615;0.109091615;0.109091615;0.109091615
1.557921067;4.499154119;4.946697113;0.07005749;0.07005749;0.07005749;0.07005749;0.07005749
1.446138646;3.387667378;2.471835057;0.17356913;0.17356913;0.17356913;0.17356913;0.17356913
1.225752446;3.949654877;2.894769914;0.107415026;0.107415026;0.107415026;0.107415026;0.107415026
1.749381297;4.658983995;4.261086426;0.088234124;0.088234124;0.088234124;0.088234124;0.088234124
1.680740133;2.394850941;3.391669262;0.208428753;0.208428753;0.208428753;0.208428753;0.208428753
1.428020052;2.088542449;2.3079063;0.300774336;0.300774336;0.300774336;0.300774336;0.300774336
1.013588091;3.024061246;1.841395378;0.183042408;0.183042408;0.183042408;0.183042408;0.183042408
1.028178312;3.575779813;2.125965713;0.135667078;0.135667078;0.135667078;0.135667078;0.135667078
1.555085212;2.496504174;2.40335609;0.262174508;0.262174508;0.262174508;0.262174508;0.262174508
1.46371586;3.081605565;3.741664925;0.127288225;0.127288225;0.127288225;0.127288225;0.127288225
1.629047966;2.337034369;2.268596809;0.312316442;0.312316442;0.312316442;0.312316442;0.312316442
1.074223025;2.397872492;2.618775563;0.171914071;0.171914071;0.171914071;0.171914071;0.171914071
1.303820866;4.918764541;3.908662501;0.067868332;0.067868332;0.067868332;0.067868332;0.067868332
1.543429366;4.31027248;3.730796716;0.096127912;0.096127912;0.096127912;0.096127912;0.096127912
1.377700011;4.401323887;2.916265262;0.107542906;0.107542906;0.107542906;0.107542906;0.107542906
1.443791662;3.323086401;4.213815694;0.10329038;0.10329038;0.10329038;0.10329038;0.10329038
1.021688681;2.030360726;2.175338488;0.233437193;0.233437193;0.233437193;0.233437193;0.233437193
1.498412381;4.65076149;4.242516029;0.076015495;0.076015495;0.076015495;0.076015495;0.076015495
1.595053005;3.167404264;3.340033398;0.151349195;0.151349195;0.151349195;0.151349195;0.151349195
1.046852801;2.482319495;1.52495927;0.280199605;0.280199605;0.280199605;0.280199605;0.280199605
1.394546135;3.721912843;3.747679656;0.10014526;0.10014526;0.10014526;0.10014526;0.10014526
1.648290615;4.701746081;2.183080015;0.161283311;0.161283311;0.161283311;0.161283311;0.161283311
1.588718227;3.396605984;4.095832736;0.114447945;0.114447945;0.114447945;0.114447945;0.114447945
1.413750147;2.341286196;1.502572877;0.413555089;0.413555089;0.413555089;0.413555089;0.413555089
1.044011954;4.82459512;2.004758713;0.108150728;0.108150728;0.108150728;0.108150728;0.108150728
1.110723733;3.3520495;3.869422008;0.085739662;0.085739662;0.085739662;0.085739662;0.085739662
1.231198566;3.30046639;2.526201844;0.148209438;0.148209438;0.148209438;0.148209438;0.148209438
1.057818624;3.676624223;1.262512314;0.229910689;0.229910689;0.229910689;0.229910689;0.229910689
1.153574494;2.743268965;1.985651739;0.21339054;0.21339054;0.21339054;0.21339054;0.21339054
1.971808009;4.103205781;3.699376556;0.130269222;0.130269222;0.130269222;0.130269222;0.130269222
