omega;T;h;kb;c;L_rad;L_rad_noise_0.05;L_rad_noise_0.1;L_rad_noise_0.3;L_rad_noise_1
3.257038548;2.747025128;3.575521559;3.275987837;4.743776509;0.210091205;-0.221358827;0.420223157;0.432929427;1.475587168
2.074101269;1.15260708;4.68674817;2.700389591;2.940970716;0.022555923;0.286340479;0.252765344;1.287298207;-1.140577983
1.943232678;2.182544381;2.930236448;1.942188919;1.171641687;0.560461365;1.213391445;0.094800946;0.546994179;0.517014028
3.177490357;1.44625656;1.776504156;3.510678423;1.628943818;1.066927514;1.253145461;0.216322336;1.375644268;1.733926591
3.026108994;1.144909588;1.994779217;2.994132678;1.369324702;0.620002597;0.461359394;1.889223583;2.346566277;-0.148414544
1.831780054;1.53386026;2.146215543;3.168928693;3.715388036;0.077755531;0.640550289;-0.645910574;-0.743211887;0.2060736
4.606563922;1.496876972;2.829877005;4.254860641;2.104741402;0.93831411;1.169705412;1.292948346;0.997491886;1.746995114
3.216960246;2.884398305;4.343577737;1.118297362;2.659468652;0.027587366;-0.20321483;0.203248245;-1.295536415;0.419884055
2.292879639;2.006957603;3.898971643;3.10118193;2.58939714;0.221572077;0.03027895;0.615822858;-0.316630938;0.084099952
3.882570893;1.813412061;1.69563842;2.774605909;3.246942345;0.353193861;-0.104346881;0.769546632;0.663217106;-0.694064635
4.27047324;2.204335839;3.947926014;4.443959759;2.64390508;0.970840385;0.925983548;1.594454928;1.043797088;0.859993923
2.146271366;4.920390942;3.000043354;2.157577576;3.596607257;0.27855346;0.345018475;0.363759554;-1.515637462;0.649037031
4.735658385;1.838601574;2.991529366;1.034812261;1.09771081;0.01560433;-0.061111682;-0.833208689;1.460493783;-1.926302229
3.865492031;2.850427491;2.895401536;4.662385873;4.599116478;0.60624355;1.070767885;0.702296674;-0.280420494;1.192053336
1.468174033;3.579596004;3.304702969;2.877814431;1.535868953;0.746728062;0.730792248;0.295904867;1.380901978;0.167702003
3.751205697;2.535369622;1.354246439;3.451039318;4.784452028;0.401985209;0.06782385;1.78057285;0.782378165;-1.295902606
4.866625746;1.166941531;4.011027721;2.201103531;4.801960599;0.001017491;0.384544914;-0.926559741;-0.319917501;-1.66684323
2.519604882;1.373318612;4.185567863;3.035739492;3.659701041;0.043856906;-0.233651539;0.245251058;-2.020558029;0.932139779
4.13471212;2.786563453;2.4212987;3.164789239;4.334368542;0.437087365;0.337238572;0.847446655;0.345124866;0.787822462
4.604165123;1.18129597;1.310427941;4.883073975;3.073338005;0.743170057;0.712548743;1.478179185;0.353366593;1.699812541
3.621336783;2.876633639;2.849827413;2.061257092;4.705035438;0.13179259;0.474771424;-0.158418768;0.473337375;-0.16011352
4.239049177;2.192825032;3.992850348;3.20497304;3.048585619;0.327786193;-0.227866011;-0.569719937;0.778906336;2.015579975
4.98628834;3.10522451;2.279561298;2.37506963;2.574652139;1.176948019;1.287546212;0.615563958;1.849389837;1.164738936
2.189936123;2.487040552;3.792044935;3.03283842;2.702248147;0.275332242;-0.089638114;-0.609453078;1.135397149;-0.664650838
4.820728811;4.773479744;4.377780524;3.452736263;2.931532786;2.225412802;2.198437643;2.114748554;1.375110227;0.942339755
2.496516128;1.075460558;1.776327806;4.556715617;1.388168519;0.987441522;1.068822755;0.408715652;1.56956704;3.084169559
2.407558222;2.465471474;2.040089891;3.794022491;2.070492537;0.974336119;1.280783103;1.130561002;2.111946768;6.181249211
1.641562656;2.492352957;2.859236095;4.510496909;3.586122891;0.192303146;0.241430253;0.997851151;-0.287613244;-0.573503132
4.685214059;3.679654812;4.032624854;3.766575614;1.738946242;4.777501167;5.354224062;4.630537317;5.271741617;6.339260285
3.049333748;1.2153939;3.142833192;2.430695284;3.144394384;0.037067931;-0.302219375;0.193360341;0.924417283;-1.056357926
2.792295935;1.035777743;2.216388841;2.553020209;4.413402569;0.026744855;-0.217114945;-0.22490613;-0.442123182;0.596437657
1.516525589;2.127771003;4.350879413;4.447869236;2.609818807;0.223925258;0.280992439;0.301670843;-0.603171058;1.758775884
1.477263313;1.386106926;3.501953209;1.280438868;1.486129564;0.029688271;-0.016526893;-1.496913134;1.247644611;-0.354257701
4.48680059;2.455250563;1.136891133;4.229135999;2.879503122;1.97812112;2.225961029;2.563317224;3.313195208;2.905561965
1.165414964;1.223514952;3.235868322;3.140531381;1.184535298;0.221702828;0.1269311;-0.664413787;0.183444348;-0.018940711
2.465159579;1.710144045;4.990954358;1.435179196;2.355390036;0.009143511;0.041210484;0.051804407;-0.573907431;-1.014370615
1.387721152;3.417915134;2.498605419;3.484490209;3.697360505;0.146443125;0.642869499;0.37900473;0.668725288;1.011509689
4.921405829;4.270290334;2.026221429;1.006128478;3.420264573;0.227740981;0.027656754;-0.132388811;-0.077519992;-0.351751211
2.024451462;3.749139551;1.207202916;2.927487185;4.659385066;0.187428423;0.372385496;0.666655233;0.402468521;0.269903862
1.832300213;1.409641727;3.700605197;3.74370259;2.148448357;0.191150034;0.414034292;-0.088638741;1.695476934;2.71013635
3.725386069;2.876112543;3.908018237;1.985411725;4.655198903;0.080046259;-0.15430165;-1.579243571;1.034664922;-2.206013741
3.34654169;4.165218471;3.366764985;1.438608876;2.489639678;0.3712828;-0.040840909;1.014592843;-0.4924313;3.190219092
2.306559889;4.663810686;3.197279876;3.882122065;1.749913973;2.582022461;2.422292132;3.242417793;3.056721822;0.989042319
2.086678431;2.193699741;3.341223392;4.266632201;2.614874659;0.406652917;0.366011615;0.977757123;0.410952485;0.997469265
3.23283089;3.58280199;4.130096507;2.646128819;4.875977862;0.192504907;-0.176133776;-0.243510868;-0.070261563;-0.590449887
2.841387581;4.875039429;3.373769099;4.571471922;1.338274196;8.146257804;7.53728008;8.82117434;7.365888111;6.935224756
4.305415381;4.198326334;1.407755391;4.898160487;4.222347907;1.862771736;2.227849043;1.125872336;2.312213548;-0.350273353
4.863206046;3.689993795;1.925424683;3.691098505;2.891510878;2.714380588;3.376847171;2.138527212;1.760687908;-0.04171933
2.203083766;2.697364704;2.738258057;1.324063214;1.020332905;0.645488644;0.512426969;0.344379513;0.780153457;0.743352266
4.808825205;3.272895039;3.604786963;2.619831685;1.602175313;2.415280107;2.383010671;3.164222086;2.674567691;3.258420679
2.9943419;4.351966882;2.892801886;2.082159966;1.988091341;1.243494708;0.871299216;1.264365435;1.051096219;0.649994077
2.979985502;1.946856604;3.307643029;1.979171109;1.783345362;0.234119877;-0.157204733;1.323958719;-1.070660215;-0.878436062
4.131425617;2.447510098;1.014277207;4.022825562;2.407485606;2.356882333;1.918130356;2.598544505;3.87748186;2.760829512
1.57918182;2.829866212;1.01551279;4.944804312;1.698882819;1.156189297;1.053781454;0.970284028;1.051790883;0.913218025
2.011135775;3.351160048;2.577017847;3.65229558;4.816714931;0.173641029;0.141153973;0.0025626;-0.035588629;2.557437319
4.970252794;2.507159118;2.815338076;4.040328342;4.326382229;0.627838901;0.718681832;0.687502142;0.869743649;1.367191485
2.949489769;1.447679951;1.935529185;3.69171986;1.749551409;0.860665979;0.743007315;1.244399647;-0.38205923;3.669221238
4.312483747;3.204225675;4.16570833;4.704561655;4.254247413;0.815777141;0.710755598;0.660850544;0.73807836;1.619448664
1.502711194;4.250597086;4.009713598;3.958441033;1.197825161;2.231300806;2.004319007;2.1943742;2.181255151;0.445599858
1.421352688;1.420566728;4.113804434;4.411031204;4.048301752;0.04734661;0.289842891;0.921249811;0.764607317;3.644546203
2.092385104;1.752489707;1.031198171;2.493481599;1.643973662;0.554667075;0.507726092;1.059483393;0.350721011;1.436550702
2.68594772;1.709171902;1.449223437;1.228380269;4.331557407;0.028159136;-0.018505702;-0.126424196;0.505105616;2.524927512
1.638006047;3.808001619;1.582566407;1.172317493;3.257941058;0.084335437;0.23710645;0.285147839;-0.702074346;-1.332989135
3.141189186;4.96234455;3.594767067;3.551703338;4.639444267;0.584192152;0.592116843;0.675262597;-1.253842232;-0.251506627
3.030383194;3.181462476;2.470930206;2.339048332;2.870104637;0.487415423;1.18659757;0.777874109;0.268575745;-1.788681149
4.480591195;3.974592324;2.037274663;3.836781211;2.553181988;3.475534464;3.475534464;3.475534464;3.475534464;3.475534464
2.471552498;3.992879615;1.522336409;3.113745483;4.558390049;0.317113795;0.317113795;0.317113795;0.317113795;0.317113795
3.470143514;4.909488473;1.032295181;2.438423981;2.732478083;1.678151193;1.678151193;1.678151193;1.678151193;1.678151193
3.274065098;3.397306428;2.026540718;3.480584135;2.611084063;1.404402921;1.404402921;1.404402921;1.404402921;1.404402921
2.492804884;4.417150683;1.346527621;2.078186274;1.977170451;1.224606397;1.224606397;1.224606397;1.224606397;1.224606397
2.730636086;1.990930965;2.384961412;4.970953951;1.882767651;1.490844403;1.490844403;1.490844403;1.490844403;1.490844403
2.099259516;2.710278853;4.293378484;4.42319398;2.275883145;0.693179662;0.693179662;0.693179662;0.693179662;0.693179662
3.083098636;3.489570087;1.079944473;2.161747678;4.346780068;0.305881208;0.305881208;0.305881208;0.305881208;0.305881208
3.160150707;4.272450032;2.989986894;1.111210738;3.615607422;0.11577205;0.11577205;0.11577205;0.11577205;0.11577205
4.772014672;3.830884696;1.969742197;4.390900399;2.590100288;4.318619363;4.318619363;4.318619363;4.318619363;4.318619363
2.586073977;2.769024498;4.398796569;3.727014553;2.827343145;0.479502695;0.479502695;0.479502695;0.479502695;0.479502695
2.675444321;2.105173657;1.781749956;1.825247371;1.745220814;0.461854501;0.461854501;0.461854501;0.461854501;0.461854501
1.472100882;4.654853133;3.28887829;4.056908695;3.88509768;0.240997054;0.240997054;0.240997054;0.240997054;0.240997054
3.662808442;1.83792927;1.732188307;1.97297559;4.948911576;0.07409215;0.07409215;0.07409215;0.07409215;0.07409215
4.476460559;4.903293057;4.386659193;3.673336899;1.2676942;12.56169852;12.56169852;12.56169852;12.56169852;12.56169852
2.596332909;2.605041898;3.675987763;1.400876653;3.807087609;0.035493817;0.035493817;0.035493817;0.035493817;0.035493817
4.24226613;4.110960387;4.477585327;4.902465681;1.501280926;9.810931112;9.810931112;9.810931112;9.810931112;9.810931112
1.980173015;4.868731371;1.279391152;4.723147701;1.17540767;6.255101227;6.255101227;6.255101227;6.255101227;6.255101227
1.285812645;2.792849264;1.770481576;4.919327256;1.331102753;1.194285679;1.194285679;1.194285679;1.194285679;1.194285679
1.606948031;4.447542459;3.026233669;4.45140737;3.44585441;0.384855509;0.384855509;0.384855509;0.384855509;0.384855509
4.559745476;4.319915335;4.397813171;1.659137247;1.437454188;1.326785722;1.326785722;1.326785722;1.326785722;1.326785722
1.073404964;4.648825922;4.075349808;3.072463905;4.484995988;0.070848821;0.070848821;0.070848821;0.070848821;0.070848821
2.011036169;2.686283697;3.146447816;4.190572602;2.201496838;0.709198384;0.709198384;0.709198384;0.709198384;0.709198384
3.616190397;3.31204281;2.599773987;1.231341225;3.370196363;0.121496885;0.121496885;0.121496885;0.121496885;0.121496885
4.285020079;3.194287804;1.270194233;2.482343666;2.833172044;1.278645056;1.278645056;1.278645056;1.278645056;1.278645056
2.051480154;2.372762118;2.030718901;4.04870358;4.932745975;0.134481425;0.134481425;0.134481425;0.134481425;0.134481425
3.587033926;2.448216104;1.811462596;3.465474045;3.463307148;0.613667996;0.613667996;0.613667996;0.613667996;0.613667996
2.990885434;1.173082546;2.006665469;4.517819958;3.006528202;0.286125151;0.286125151;0.286125151;0.286125151;0.286125151
2.051613472;4.972274894;1.117572084;2.170502794;2.505749129;0.657934102;0.657934102;0.657934102;0.657934102;0.657934102
2.430014066;2.808768376;4.951774014;2.600843738;1.178105059;1.237281866;1.237281866;1.237281866;1.237281866;1.237281866
2.774135708;2.310162504;3.863993467;3.655029596;3.514880727;0.264374506;0.264374506;0.264374506;0.264374506;0.264374506
2.431519435;4.095316945;3.478959461;2.367430525;2.873350138;0.440651173;0.440651173;0.440651173;0.440651173;0.440651173
2.842364147;4.844941747;3.6794714;2.270069304;4.603994951;0.254325696;0.254325696;0.254325696;0.254325696;0.254325696
1.075251732;3.302192097;1.403064917;3.346742094;4.459731209;0.060750229;0.060750229;0.060750229;0.060750229;0.060750229
1.733546444;1.211813726;4.799829746;2.486263342;4.55976678;0.008218578;0.008218578;0.008218578;0.008218578;0.008218578
3.091453833;1.109222169;2.36127115;1.360338596;3.810079735;0.003889693;0.003889693;0.003889693;0.003889693;0.003889693
3.911556701;2.698287798;1.492637378;1.01311051;2.678991342;0.168967885;0.168967885;0.168967885;0.168967885;0.168967885
1.89652247;2.111342527;2.383642285;1.481923975;4.363752047;0.026693341;0.026693341;0.026693341;0.026693341;0.026693341
3.066965112;1.87551707;1.633135549;3.857635734;3.705985823;0.34816513;0.34816513;0.34816513;0.34816513;0.34816513
4.293755208;4.342762921;3.120968291;4.496701388;4.441585326;1.286645821;1.286645821;1.286645821;1.286645821;1.286645821
4.485870532;1.942157;3.545450186;2.652475214;1.300356092;0.916767313;0.916767313;0.916767313;0.916767313;0.916767313
4.542715612;2.918576302;3.352757587;4.141164632;4.892646531;0.526663479;0.526663479;0.526663479;0.526663479;0.526663479
1.742168304;1.023419891;3.316629016;2.551163395;1.534012186;0.092722769;0.092722769;0.092722769;0.092722769;0.092722769
3.407452097;3.666262898;4.938979777;4.808303651;4.65407181;0.572054432;0.572054432;0.572054432;0.572054432;0.572054432
3.016940878;4.825227288;1.424345322;3.175464446;1.788584441;3.826647673;3.826647673;3.826647673;3.826647673;3.826647673
3.9570457;4.024297506;1.266947097;1.062908861;4.052714363;0.217295896;0.217295896;0.217295896;0.217295896;0.217295896
2.743553162;1.964620504;3.389508324;2.328554239;3.174883799;0.106041152;0.106041152;0.106041152;0.106041152;0.106041152
2.625848798;3.874727281;3.58187791;2.99118784;3.006248219;0.581038284;0.581038284;0.581038284;0.581038284;0.581038284
2.082797566;4.11591164;4.961407437;1.53819581;2.808245458;0.139956253;0.139956253;0.139956253;0.139956253;0.139956253
4.895799398;2.858223078;2.021751978;1.309689477;2.214559171;0.374970391;0.374970391;0.374970391;0.374970391;0.374970391
1.579967429;3.643760753;3.82605009;2.983969717;2.200558609;0.424587823;0.424587823;0.424587823;0.424587823;0.424587823
1.536407009;4.045064882;4.910854531;2.959816867;4.983781246;0.08275187;0.08275187;0.08275187;0.08275187;0.08275187
1.051300456;2.466049443;1.915325948;4.278736047;2.495403857;0.172223345;0.172223345;0.172223345;0.172223345;0.172223345
2.444632558;2.033381466;2.382927255;2.20348577;4.127685482;0.077544143;0.077544143;0.077544143;0.077544143;0.077544143
3.136914165;2.752064955;1.438639851;4.900899229;1.679897005;4.012306996;4.012306996;4.012306996;4.012306996;4.012306996
1.154691777;3.51057817;3.960844686;4.652851548;2.610661733;0.280550039;0.280550039;0.280550039;0.280550039;0.280550039
2.232671253;2.557923921;1.545873799;3.219028505;3.46536393;0.278784735;0.278784735;0.278784735;0.278784735;0.278784735
3.820967677;1.853669217;2.831268025;4.690083584;1.164638495;4.775344077;4.775344077;4.775344077;4.775344077;4.775344077
1.582385787;2.130233373;4.950178435;2.368224466;1.911081004;0.146108231;0.146108231;0.146108231;0.146108231;0.146108231
1.489940455;3.042156807;3.783866834;4.945142979;4.831184274;0.119502373;0.119502373;0.119502373;0.119502373;0.119502373
2.773363716;2.155786021;4.693251609;2.348763187;1.688305434;0.294747283;0.294747283;0.294747283;0.294747283;0.294747283
3.264954096;2.677359539;1.038449688;4.631125621;2.714515213;1.580276856;1.580276856;1.580276856;1.580276856;1.580276856
3.433817527;3.220403557;3.061699573;1.88757678;1.726766525;0.908244896;0.908244896;0.908244896;0.908244896;0.908244896
2.455506391;3.393380451;2.621254435;1.70906157;2.174357381;0.408928718;0.408928718;0.408928718;0.408928718;0.408928718
4.414724252;1.303769331;2.912042435;4.670074521;1.233515821;2.298158113;2.298158113;2.298158113;2.298158113;2.298158113
4.536566723;3.848766821;4.362042751;1.510374116;3.859503079;0.095230574;0.095230574;0.095230574;0.095230574;0.095230574
2.566805412;4.509993645;4.060274535;2.630489892;3.047399233;0.532356296;0.532356296;0.532356296;0.532356296;0.532356296
1.017990058;1.255314336;3.771746908;2.234496103;3.210005578;0.013349807;0.013349807;0.013349807;0.013349807;0.013349807
3.212703246;3.063739899;1.946167719;3.767362897;1.193507568;6.384898366;6.384898366;6.384898366;6.384898366;6.384898366
4.364194111;3.561592267;3.851923149;4.470424471;3.672738716;1.28311493;1.28311493;1.28311493;1.28311493;1.28311493
3.109976573;2.473440172;3.641365419;2.8979181;2.694781246;0.396474851;0.396474851;0.396474851;0.396474851;0.396474851
3.81088937;4.847447068;1.915181371;1.904899558;2.575604479;1.344305837;1.344305837;1.344305837;1.344305837;1.344305837
4.396671444;4.25844304;2.848184317;2.678548804;2.934040969;1.42618833;1.42618833;1.42618833;1.42618833;1.42618833
2.893285535;4.911381398;4.735464109;2.719405921;3.517957997;0.52474028;0.52474028;0.52474028;0.52474028;0.52474028
3.75310605;4.044941246;1.622662563;3.692658238;2.872642504;2.092327213;2.092327213;2.092327213;2.092327213;2.092327213
1.744894172;4.255581455;3.238571474;4.425105576;3.601549817;0.38401825;0.38401825;0.38401825;0.38401825;0.38401825
4.727192426;2.296292248;3.938106567;4.420395005;4.615721879;0.376199969;0.376199969;0.376199969;0.376199969;0.376199969
4.175595269;1.131685743;4.464448479;4.518531734;2.861043279;0.107850221;0.107850221;0.107850221;0.107850221;0.107850221
4.690711614;4.136980908;1.861995856;4.647153274;4.164103151;1.952656891;1.952656891;1.952656891;1.952656891;1.952656891
3.516688323;4.04726437;3.481274022;3.333153359;3.295973003;0.955322941;0.955322941;0.955322941;0.955322941;0.955322941
1.464355297;1.540005419;2.714254982;2.77067875;2.166729988;0.119571261;0.119571261;0.119571261;0.119571261;0.119571261
1.769053566;2.106846186;2.940351557;4.689286995;4.620571417;0.111480068;0.111480068;0.111480068;0.111480068;0.111480068
2.9018353;3.697556237;1.451275063;2.287470181;1.6355028;2.081691298;2.081691298;2.081691298;2.081691298;2.081691298
2.30979583;2.443094534;4.677227884;2.314603974;1.804924632;0.311415117;0.311415117;0.311415117;0.311415117;0.311415117
4.769298816;1.079761549;1.826823727;3.811537679;1.572101853;1.111996142;1.111996142;1.111996142;1.111996142;1.111996142
1.024889216;4.870425329;1.954079665;3.840995342;2.890593225;0.225754626;0.225754626;0.225754626;0.225754626;0.225754626
4.089832129;2.961682291;1.694892067;4.132854111;1.758107607;4.98938221;4.98938221;4.98938221;4.98938221;4.98938221
1.174629863;4.939449248;2.920200767;3.236358868;1.441373465;0.964400294;0.964400294;0.964400294;0.964400294;0.964400294
1.430263096;1.739731722;1.423775354;3.956992938;4.295198683;0.066465615;0.066465615;0.066465615;0.066465615;0.066465615
3.576596723;2.763573715;2.428807127;3.472638391;2.270327407;1.483580506;1.483580506;1.483580506;1.483580506;1.483580506
3.485894183;2.70027221;3.984894048;2.297288121;2.116323056;0.45531546;0.45531546;0.45531546;0.45531546;0.45531546
4.957155816;2.745125444;4.519311356;4.385435406;3.501635626;0.837821805;0.837821805;0.837821805;0.837821805;0.837821805
3.717425168;4.975305301;1.059814763;3.486818365;2.34770915;3.92552262;3.92552262;3.92552262;3.92552262;3.92552262
1.971703165;2.95438606;4.32677657;4.950958678;2.741108873;0.564806188;0.564806188;0.564806188;0.564806188;0.564806188
2.600574947;3.425255161;1.735483893;3.399990647;3.599875332;0.504157908;0.504157908;0.504157908;0.504157908;0.504157908
3.180877432;2.8357538;1.703234356;1.351005747;4.256501131;0.098476388;0.098476388;0.098476388;0.098476388;0.098476388
2.82596316;4.258158152;3.226347007;4.152357942;3.009148492;1.207502444;1.207502444;1.207502444;1.207502444;1.207502444
4.144659959;1.125206971;1.332769984;4.266247205;3.460516317;0.371620201;0.371620201;0.371620201;0.371620201;0.371620201
4.276980387;1.626913179;3.683117325;3.051979611;1.394892002;0.656173387;0.656173387;0.656173387;0.656173387;0.656173387
4.028225705;3.908033374;3.137686442;1.539206139;3.464273153;0.241292519;0.241292519;0.241292519;0.241292519;0.241292519
