G;c;m1;m2;r;Pwr;PWR_noise_0.05;PWR_noise_0.1;PWR_noise_0.3;PWR_noise_1
1.769985849;1.681364646;3.159462219;1.97143548;1.429731204;-155.7623318;-606.8612831;662.234272;1984.854038;3193.692705
1.342894259;1.249113462;1.422061773;1.192426629;1.93527665;-1.895437599;-560.4559948;-2176.454493;1141.419974;1365.338608
1.126431989;1.970074831;2.776990693;4.273272944;1.89282366;-14.18766594;-523.6846533;1719.086955;1585.387718;-269.6873123
1.644196081;1.279710284;1.221772245;3.750362804;1.562340348;-152.836772;370.4338667;31.23352358;-1909.228307;16.76685604
1.560727372;1.525285116;1.517711756;4.276492643;1.966404826;-38.18705876;666.9677121;-719.8616054;1724.228292;417.657272
1.90424928;1.588360574;1.536701951;2.388003643;1.417112262;-76.97766647;-466.0096141;860.1212101;-1144.546382;-2226.269622
1.160796095;1.844016388;3.046522896;2.562330425;1.056774587;-141.3257453;-450.1304411;473.9339982;591.7960273;-5876.002137
1.865007365;1.279962313;1.006349443;4.951836903;1.176103192;-1481.949788;-927.7293781;-3656.328255;-1779.959735;-1297.414462
1.048982307;1.035927227;1.765227995;3.959512564;1.909214985;-71.60990364;-374.5969805;-1218.063054;164.6036819;-988.3909726
1.050741981;1.412829802;4.387804895;2.205374033;1.736903693;-54.12406076;246.7350892;452.2804495;-637.9437567;-2590.654507
1.41705829;1.227600473;3.181736184;4.118519662;1.954495711;-406.8372331;403.9334415;-698.9924661;-469.6865154;-273.4592586
1.246520822;1.129231405;4.18275004;2.703031213;1.441458466;-1190.232723;-1690.329685;-2188.488335;-1814.087311;-5619.969775
1.387141953;1.736511322;1.754332869;3.317726116;1.545820346;-29.21257015;1246.111801;-722.3312017;-1998.244591;-2311.743531
1.517214384;1.673906444;2.603349204;4.997295754;1.102742553;-2035.760154;-1196.201782;-2263.481107;-2285.40921;-17.19985008
1.798036609;1.714495437;4.519383934;3.354773325;1.127133698;-4492.666461;-4171.515407;-4808.620586;-5452.370799;-5502.663911
1.173334083;1.238503067;3.933392741;1.146529231;1.29105417;-119.9004718;126.1894648;1.006417192;-2982.774288;1113.624179
1.570735701;1.880160773;3.938904468;1.780445133;1.087556008;-306.5589957;-2017.570545;1238.718153;-1857.698065;-1092.242504
1.343716879;1.392049331;1.752514405;2.309551405;1.401972986;-49.04165543;132.951507;-11.99160533;3066.568822;-1572.487286
1.976931008;1.606105082;1.963489355;2.524422665;1.096653289;-635.8506159;-1218.600577;-1225.072934;801.724767;-2645.302487
1.165738811;1.820887369;2.561302095;2.704907804;1.27476593;-44.33452397;6.8802621;190.8908181;1287.101287;-3498.879288
1.39783621;1.635685956;2.623613413;4.168562867;1.003594873;-1665.308394;-2393.300945;-1625.060818;-4236.461321;1978.384338
1.860332466;1.174529769;1.471236864;4.573106799;1.358577203;-2027.390991;-1586.583216;-2120.67221;-4727.431968;-3609.218354
1.902983128;1.979705537;2.711466291;1.077997251;1.694206709;-6.401860573;336.9262963;2048.39876;287.0299399;657.4690697
1.640108266;1.021280797;2.696842999;3.012242528;1.310126028;-4068.521248;-2988.091743;-5123.21019;-5082.55483;-2606.485222
1.009392647;1.269683846;2.017343126;1.114832379;1.075866786;-22.12966465;-843.3175954;-439.0141329;-211.9679361;-989.4597472
1.170106171;1.02431511;1.415656387;3.206990704;1.082408845;-682.2732442;-628.7456185;-1314.136829;-2504.559405;-2906.250943
1.512604623;1.577062529;1.788404558;2.600122668;1.096153441;-205.9293998;0.4481057;417.7146225;-926.2791495;-1292.014181
1.818906292;1.012159992;3.356639707;3.543186012;1.456286775;-9825.991738;-9701.629379;-9965.564443;-10098.95807;-2594.130429
1.935693249;1.085981942;1.849484739;2.720315183;1.03069721;-5915.544635;-6828.477271;-5367.485304;-6515.066183;-1573.901866
1.643817071;1.863030902;4.951440138;1.406184252;1.84332877;-30.15240868;-22.31867353;-236.6743953;1257.649435;6398.880156
1.967948979;1.616715737;2.621693802;1.952448073;1.138993793;-543.3663601;107.3185027;-1184.526639;329.383638;-3200.752965
1.219158076;1.473864447;2.631810795;3.046127686;1.183487426;-319.5290279;178.1844025;37.27246558;-770.6876776;1219.31733
1.607633751;1.468755643;3.769680655;1.522436732;1.96812286;-36.91788083;-551.5138169;7.375314124;1704.174757;-3600.56929
1.714371827;1.84743209;2.723673976;4.236209248;1.015165313;-2207.703757;-2207.703757;-2207.703757;-2207.703757;-2207.703757
1.115380698;1.301452703;2.11074688;2.315877606;1.532112905;-33.2393767;-33.2393767;-33.2393767;-33.2393767;-33.2393767
1.93966356;1.301062155;2.310144352;2.137949514;1.431248451;-439.002812;-439.002812;-439.002812;-439.002812;-439.002812
1.019061942;1.217249093;4.776182217;1.331408742;1.182661753;-275.7000041;-275.7000041;-275.7000041;-275.7000041;-275.7000041
1.72726096;1.39562486;1.413224976;1.664037686;1.139953007;-95.11457386;-95.11457386;-95.11457386;-95.11457386;-95.11457386
1.918981143;1.282445598;4.722675475;4.063714715;1.436737845;-13225.54275;-13225.54275;-13225.54275;-13225.54275;-13225.54275
1.45711178;1.588930074;2.847434565;1.710922699;1.20152961;-123.0642126;-123.0642126;-123.0642126;-123.0642126;-123.0642126
1.469177024;1.299142672;4.512187322;3.353106635;1.039818012;-11934.09511;-11934.09511;-11934.09511;-11934.09511;-11934.09511
1.675103726;1.081405008;2.625298852;2.008753145;1.71460978;-296.3124949;-296.3124949;-296.3124949;-296.3124949;-296.3124949
1.334493096;1.181468366;3.065272714;1.436564271;1.661257651;-60.83142152;-60.83142152;-60.83142152;-60.83142152;-60.83142152
1.042048367;1.597639762;1.257115862;4.130081483;1.132220958;-56.58638748;-56.58638748;-56.58638748;-56.58638748;-56.58638748
1.678185122;1.439144624;4.203383514;3.327299368;1.654139902;-978.0750915;-978.0750915;-978.0750915;-978.0750915;-978.0750915
1.616060574;1.826981004;3.03736299;3.735113011;1.581599567;-188.8887227;-188.8887227;-188.8887227;-188.8887227;-188.8887227
1.761705292;1.347255356;2.715500801;1.769051402;1.485119474;-198.9556652;-198.9556652;-198.9556652;-198.9556652;-198.9556652
1.833483188;1.21554603;4.401986211;2.550017641;1.581503603;-2413.089659;-2413.089659;-2413.089659;-2413.089659;-2413.089659
1.581317911;1.098302539;1.838908513;2.563374104;1.617454155;-221.2631288;-221.2631288;-221.2631288;-221.2631288;-221.2631288
1.720237455;1.386042436;3.348281281;3.679105324;1.09312587;-7485.524433;-7485.524433;-7485.524433;-7485.524433;-7485.524433
1.509121226;1.092099089;3.713241753;2.431921668;1.926941958;-403.0529878;-403.0529878;-403.0529878;-403.0529878;-403.0529878
1.680135674;1.315562641;3.581394564;3.555099122;1.573039913;-1554.510537;-1554.510537;-1554.510537;-1554.510537;-1554.510537
1.690733107;1.107397752;1.333944914;3.828885086;1.529232574;-505.7112231;-505.7112231;-505.7112231;-505.7112231;-505.7112231
1.01507404;1.891493098;4.285052287;3.716048142;1.159261742;-271.9344142;-271.9344142;-271.9344142;-271.9344142;-271.9344142
1.185614298;1.427012398;2.267444887;4.294829915;1.646715361;-109.8353409;-109.8353409;-109.8353409;-109.8353409;-109.8353409
1.418534055;1.469632152;2.385599919;2.066228718;1.635891928;-34.89901885;-34.89901885;-34.89901885;-34.89901885;-34.89901885
1.268754749;1.566249875;3.871986049;3.285644454;1.982950166;-66.48205337;-66.48205337;-66.48205337;-66.48205337;-66.48205337
1.597311499;1.702334693;3.36811501;3.538631769;1.970230618;-96.30447772;-96.30447772;-96.30447772;-96.30447772;-96.30447772
1.578989816;1.355671695;1.635020497;3.054071256;1.141247851;-524.7086786;-524.7086786;-524.7086786;-524.7086786;-524.7086786
1.840773879;1.925817376;1.459363151;1.740197733;1.783395591;-3.173088081;-3.173088081;-3.173088081;-3.173088081;-3.173088081
1.981416029;1.827311862;4.478455429;3.035661348;1.15320875;-3297.013651;-3297.013651;-3297.013651;-3297.013651;-3297.013651
1.15729588;1.005649183;1.756601147;4.622941079;1.843454374;-220.5645268;-220.5645268;-220.5645268;-220.5645268;-220.5645268
1.473707435;1.188122688;1.900991451;4.183454603;1.707694893;-337.8459538;-337.8459538;-337.8459538;-337.8459538;-337.8459538
1.288807578;1.809170492;1.332429909;1.484629301;1.101132954;-6.203785816;-6.203785816;-6.203785816;-6.203785816;-6.203785816
1.259755439;1.288199241;1.810740015;4.495625482;1.983331257;-61.87355212;-61.87355212;-61.87355212;-61.87355212;-61.87355212
1.306158337;1.851217923;2.545404138;4.16124727;1.288635418;-181.4226486;-181.4226486;-181.4226486;-181.4226486;-181.4226486
1.064045774;1.686525833;1.34333686;4.688035552;1.655536058;-11.56460518;-11.56460518;-11.56460518;-11.56460518;-11.56460518
1.140155993;1.306217962;1.826080274;4.287495019;1.628883545;-92.95031966;-92.95031966;-92.95031966;-92.95031966;-92.95031966
1.607637746;1.237164613;1.473102774;4.240035995;1.529865938;-392.2910351;-392.2910351;-392.2910351;-392.2910351;-392.2910351
1.838004963;1.682046557;2.05929283;3.160682556;1.930643288;-44.72319922;-44.72319922;-44.72319922;-44.72319922;-44.72319922
1.924658439;1.00277222;3.487745076;1.513203285;1.751734365;-731.439341;-731.439341;-731.439341;-731.439341;-731.439341
1.771084721;1.425215813;2.387701789;4.01287206;1.581105999;-636.8232868;-636.8232868;-636.8232868;-636.8232868;-636.8232868
1.184279947;1.900049016;2.940756175;4.661838874;1.224879386;-263.4518394;-263.4518394;-263.4518394;-263.4518394;-263.4518394
1.760572348;1.610754236;2.566860332;1.564834631;1.135490618;-200.2631034;-200.2631034;-200.2631034;-200.2631034;-200.2631034
1.61351777;1.192187942;2.045790872;4.102104871;1.436972206;-1272.834692;-1272.834692;-1272.834692;-1272.834692;-1272.834692
1.464694008;1.54246495;3.410123567;3.268022327;1.880718571;-118.9154197;-118.9154197;-118.9154197;-118.9154197;-118.9154197
1.243438147;1.128784307;2.188955917;3.62118071;1.335008766;-718.7239075;-718.7239075;-718.7239075;-718.7239075;-718.7239075
1.353349668;1.437268382;1.305362823;3.780282762;1.043593345;-350.2122523;-350.2122523;-350.2122523;-350.2122523;-350.2122523
1.732826367;1.780273122;1.510778107;1.764632681;1.559474664;-8.144250986;-8.144250986;-8.144250986;-8.144250986;-8.144250986
1.487628154;1.729510918;2.02107154;3.427433816;1.844569941;-24.79957652;-24.79957652;-24.79957652;-24.79957652;-24.79957652
1.802854069;1.35462799;3.803243031;1.864450461;1.580706923;-428.0371639;-428.0371639;-428.0371639;-428.0371639;-428.0371639
1.249968925;1.700224835;4.877701896;1.11981798;1.846593749;-9.164005318;-9.164005318;-9.164005318;-9.164005318;-9.164005318
1.312911246;1.543270216;2.446138599;2.170344563;1.601980065;-26.78901771;-26.78901771;-26.78901771;-26.78901771;-26.78901771
1.521673237;1.221436638;4.324193395;1.146781708;1.936427929;-62.3649605;-62.3649605;-62.3649605;-62.3649605;-62.3649605
1.461793369;1.145844506;1.586775229;3.622670451;1.19687365;-1036.893034;-1036.893034;-1036.893034;-1036.893034;-1036.893034
1.650886994;1.600855871;3.986290283;4.889037017;1.219357754;-5654.592875;-5654.592875;-5654.592875;-5654.592875;-5654.592875
1.13136903;1.550193283;3.248381747;3.079681779;1.470959727;-107.7160931;-107.7160931;-107.7160931;-107.7160931;-107.7160931
1.780504881;1.204150568;3.623037922;3.666628396;1.355075779;-7153.489846;-7153.489846;-7153.489846;-7153.489846;-7153.489846
1.445212714;1.629009742;4.74754119;4.057858174;1.355444184;-1738.444126;-1738.444126;-1738.444126;-1738.444126;-1738.444126
1.827241522;1.70811227;3.68010876;1.318187909;1.361272835;-123.4678342;-123.4678342;-123.4678342;-123.4678342;-123.4678342
1.974505482;1.946848669;1.236566079;2.453214305;1.635175365;-10.10268591;-10.10268591;-10.10268591;-10.10268591;-10.10268591
1.278798925;1.873949925;2.350990729;3.609414151;1.788813078;-17.35502871;-17.35502871;-17.35502871;-17.35502871;-17.35502871
1.99100634;1.282849892;1.067105211;4.929277364;1.377547097;-968.1204271;-968.1204271;-968.1204271;-968.1204271;-968.1204271
1.118560966;1.794579204;3.381226543;1.099556891;1.872664345;-1.447583598;-1.447583598;-1.447583598;-1.447583598;-1.447583598
1.181951957;1.112292679;3.131197583;2.261501403;1.6693458;-153.028803;-153.028803;-153.028803;-153.028803;-153.028803
1.576550383;1.103387227;2.687426202;4.785116032;1.121985051;-16802.06644;-16802.06644;-16802.06644;-16802.06644;-16802.06644
1.980347787;1.081484922;1.819771435;4.051350017;1.283734807;-6090.054774;-6090.054774;-6090.054774;-6090.054774;-6090.054774
1.20500483;1.575774471;3.446868432;1.952628121;1.626427192;-29.84925195;-29.84925195;-29.84925195;-29.84925195;-29.84925195
1.72401033;1.463072494;1.875776045;3.24191939;1.853600137;-72.94084134;-72.94084134;-72.94084134;-72.94084134;-72.94084134
1.925414466;1.816224183;3.581792485;3.124397509;1.086911502;-2464.154667;-2464.154667;-2464.154667;-2464.154667;-2464.154667
1.838640092;1.145697384;1.637856351;1.230103585;1.281287442;-124.9086422;-124.9086422;-124.9086422;-124.9086422;-124.9086422
1.233235169;1.598392303;2.998831141;3.188504725;1.016868741;-738.2509955;-738.2509955;-738.2509955;-738.2509955;-738.2509955
1.27924843;1.690553032;1.531866789;4.498284528;1.946987234;-12.70293527;-12.70293527;-12.70293527;-12.70293527;-12.70293527
1.581962183;1.753039679;2.621572856;4.642879052;1.101849415;-1604.337973;-1604.337973;-1604.337973;-1604.337973;-1604.337973
1.792901072;1.526101035;4.417186556;1.865445724;1.257483112;-1083.868016;-1083.868016;-1083.868016;-1083.868016;-1083.868016
1.35830109;1.618669383;4.055500591;1.887473594;1.785762723;-37.5931913;-37.5931913;-37.5931913;-37.5931913;-37.5931913
1.980428911;1.433387303;3.768402863;4.887279622;1.335403467;-11248.30497;-11248.30497;-11248.30497;-11248.30497;-11248.30497
1.709033785;1.591414753;4.632776122;1.848815148;1.848368209;-117.8893209;-117.8893209;-117.8893209;-117.8893209;-117.8893209
1.640299155;1.395739214;3.686918168;1.416926562;1.795290856;-65.32747245;-65.32747245;-65.32747245;-65.32747245;-65.32747245
1.203892718;1.950535585;1.035211357;2.01225803;1.248964856;-2.071931484;-2.071931484;-2.071931484;-2.071931484;-2.071931484
1.147491724;1.05703995;4.494737688;4.768745186;1.511225279;-4540.110322;-4540.110322;-4540.110322;-4540.110322;-4540.110322
1.535323164;1.683416473;4.203043195;2.252342513;1.180053937;-665.0140203;-665.0140203;-665.0140203;-665.0140203;-665.0140203
1.497059774;1.69905825;4.323027705;1.960980558;1.144425129;-522.2971175;-522.2971175;-522.2971175;-522.2971175;-522.2971175
1.848308792;1.951243469;4.278373761;1.935621533;1.979774675;-37.00080815;-37.00080815;-37.00080815;-37.00080815;-37.00080815
1.925676491;1.174282219;2.010422115;2.285393306;1.520353092;-440.0181356;-440.0181356;-440.0181356;-440.0181356;-440.0181356
1.197991821;1.130525355;2.89323635;1.766545987;1.421350064;-149.7862454;-149.7862454;-149.7862454;-149.7862454;-149.7862454
1.716505097;1.220158821;4.231618128;1.141801866;1.529610298;-307.7653833;-307.7653833;-307.7653833;-307.7653833;-307.7653833
1.222040272;1.931759339;3.380223432;1.922439577;1.910919287;-4.662678459;-4.662678459;-4.662678459;-4.662678459;-4.662678459
1.113649292;1.174986281;3.232773012;2.845076681;1.760950377;-133.4635025;-133.4635025;-133.4635025;-133.4635025;-133.4635025
1.325283132;1.364026402;3.525767626;1.998301627;1.270988008;-345.6862277;-345.6862277;-345.6862277;-345.6862277;-345.6862277
1.515616485;1.527690809;4.899057813;3.689766173;1.401287369;-2108.047586;-2108.047586;-2108.047586;-2108.047586;-2108.047586
1.025909156;1.341745573;4.207892064;4.458827454;1.124951753;-2760.708261;-2760.708261;-2760.708261;-2760.708261;-2760.708261
1.857694157;1.14431202;2.703922298;1.101027315;1.69031303;-94.94068242;-94.94068242;-94.94068242;-94.94068242;-94.94068242
1.650934527;1.998877805;4.958127225;1.389253427;1.057058405;-339.9899327;-339.9899327;-339.9899327;-339.9899327;-339.9899327
1.869837685;1.8023638;2.33186308;3.457132382;1.744991303;-95.64412876;-95.64412876;-95.64412876;-95.64412876;-95.64412876
1.843158431;1.498828103;4.626628045;3.676053445;1.277437323;-6894.212797;-6894.212797;-6894.212797;-6894.212797;-6894.212797
1.511179035;1.839430031;4.712084872;1.31780209;1.207434528;-143.5969114;-143.5969114;-143.5969114;-143.5969114;-143.5969114
1.226282534;1.604417766;3.485785063;2.012825731;1.876420532;-15.84055856;-15.84055856;-15.84055856;-15.84055856;-15.84055856
1.541109031;1.416414917;1.552968839;4.254084576;1.878577432;-68.59761502;-68.59761502;-68.59761502;-68.59761502;-68.59761502
1.580471311;1.54824168;1.470709131;2.377150882;1.588217715;-20.89146162;-20.89146162;-20.89146162;-20.89146162;-20.89146162
1.949859803;1.489670341;2.588517954;4.908442165;1.437598109;-2485.59358;-2485.59358;-2485.59358;-2485.59358;-2485.59358
1.654858204;1.247451876;2.035846585;1.675307476;1.471061404;-99.5722333;-99.5722333;-99.5722333;-99.5722333;-99.5722333
1.11474638;1.516128495;2.995001046;4.701314746;1.794261341;-101.2257949;-101.2257949;-101.2257949;-101.2257949;-101.2257949
