n;alpha;epsilon;Ef;Pol;Pol_noise_0.05;Pol_noise_0.1;Pol_noise_0.3;Pol_noise_1
0.351055297;0.492055598;1.395636552;1.037022185;0.265280544;-0.031419405;-0.130848132;0.710868726;0.670876629
0.630689755;0.451171057;1.115391874;1.917073483;0.672206214;0.875123251;0.502097714;1.212066573;0.488230226
0.939817884;0.151539049;1.076251579;1.145746323;0.184371274;0.101131022;-0.061172682;0.329588353;1.836669314
0.041271978;0.870159121;1.055244992;1.374801857;0.05273242;0.086239298;-0.256325016;-0.502727422;1.249163723
0.648279999;0.098305246;1.157070186;1.516050974;0.114218904;0.095965457;0.086384475;-0.083015118;-0.592951039
0.638995978;0.583185971;1.403865247;1.267604581;0.757213445;1.037653661;0.099909611;0.496898069;0.341379027
0.923590463;0.91368035;1.363608315;1.111726354;1.779946157;1.667165401;1.598531749;1.789709095;2.225802655
0.375174178;0.133107225;1.466106443;1.858204349;0.138351449;0.123469467;0.146737117;0.744192255;-0.277532478
0.408612878;0.434418473;1.944865267;1.502543024;0.551347561;0.557748182;0.23945407;0.682969885;1.131674157
0.386382776;0.655555353;1.544068846;1.787849693;0.763719843;0.67719041;0.802009447;1.073517851;1.278671534
0.053024665;0.473852868;1.491498138;1.020256947;0.038557279;-0.235949;0.027075815;-0.048744498;-1.38969809
0.214638656;0.755385543;1.610878746;1.269053376;0.350387708;0.163949455;0.058881459;0.719882144;1.570778134
0.531281322;0.120816037;1.472184204;1.94417135;0.187732185;0.148556232;0.282604747;0.040906885;0.714039048
0.644967823;0.167079615;1.701764328;1.736015787;0.330218707;0.531675138;0.142175089;0.636209259;-1.540845943
0.188112711;0.128396347;1.343935373;1.7705699;0.057939258;0.042463856;-0.010842992;-0.312318994;-0.567667472
0.570321365;0.902036222;1.814510721;1.517850153;1.710136983;1.819196749;1.594376641;1.672314388;1.226837885
0.042829839;0.586234143;1.627223385;1.862452361;0.076736149;0.188603649;-0.038892343;0.390714994;-0.151669918
0.294072576;0.566521356;1.145262413;1.236279782;0.24975012;0.341618359;0.258418955;0.427827052;0.560702698
0.227262346;0.272086194;1.110024693;1.84888005;0.129574766;0.170254172;0.13497903;0.502575246;0.707456551
0.672336328;0.989025561;1.821617628;1.825517431;2.840951516;2.939369607;2.835771892;2.842464651;3.137916158
0.068339252;0.940071927;1.997447256;1.259298213;0.165133993;0.101901935;-0.015957551;0.511663903;-0.788229885
0.095824479;0.364676852;1.646394844;1.595226875;0.0928602;0.110439553;0.282172133;0.182197155;0.111472869
0.29720044;0.136794842;1.928593382;1.753780279;0.139399351;0.072278308;0.113438543;0.492162619;0.025492004
0.068493004;0.345528422;1.577401681;1.731337922;0.065146901;0.037367062;0.308259187;-0.352313989;-0.981204255
0.958515659;0.921981129;1.660435134;1.952640489;4.061779239;4.11832054;3.897885949;3.108676478;4.863763589
0.82175334;0.415665525;1.863576375;1.427002366;1.025071454;1.28909043;1.212248793;0.811016793;0.51780432
0.203894521;0.431853269;1.948624306;1.063214665;0.187944039;0.364992049;0.449792888;0.32093167;-0.040742061
0.390171448;0.571820114;1.89787825;1.425184303;0.651953377;0.509243512;0.54916016;0.982001914;1.17136846
0.610318801;0.285581227;1.87019482;1.617932801;0.559922937;0.541916653;0.473406674;0.043541875;0.428401896
0.738903086;0.418496956;1.598313055;1.452069418;0.800153807;0.709894534;0.567530552;0.328332711;1.093600123
0.104715845;0.417269613;1.639152799;1.08304097;0.078716444;0.255957075;0.010055169;-0.677275274;-0.339975433
0.419562976;0.931039336;1.612077251;1.74301492;1.26193699;1.254160617;1.453138775;1.715021359;1.526228961
0.101403868;0.473081625;1.414824685;1.65183439;0.113935893;0.254848738;0.530974879;0.452551638;1.425553584
0.883349215;0.026003267;1.669942653;1.012990011;0.039156612;-0.233401828;-0.191683725;-0.275823559;1.145206874
0.553722676;0.991985893;1.954667008;1.029160286;1.352639508;1.39327867;1.363293579;1.521492956;0.441695995
0.645835576;0.84083121;1.875023893;1.033213916;1.284549314;1.284549314;1.284549314;1.284549314;1.284549314
0.065446709;0.445214009;1.020742703;1.355450991;0.040709473;0.040709473;0.040709473;0.040709473;0.040709473
0.919888769;0.211506404;1.642755353;1.764494393;0.603076836;0.603076836;0.603076836;0.603076836;0.603076836
0.375266693;0.36695777;1.469822809;1.484844194;0.314998979;0.314998979;0.314998979;0.314998979;0.314998979
0.432085423;0.56183067;1.578819643;1.44231353;0.601469707;0.601469707;0.601469707;0.601469707;0.601469707
0.463512153;0.198438505;1.914960949;1.866601655;0.339173807;0.339173807;0.339173807;0.339173807;0.339173807
0.450990243;0.182388954;1.072785486;1.692330751;0.15354576;0.15354576;0.15354576;0.15354576;0.15354576
0.595158046;0.953454503;1.347101124;1.220061295;1.150203547;1.150203547;1.150203547;1.150203547;1.150203547
0.122880728;0.855398417;1.62596794;1.571915814;0.278408804;0.278408804;0.278408804;0.278408804;0.278408804
0.172649399;0.55686637;1.614066786;1.513560474;0.242651688;0.242651688;0.242651688;0.242651688;0.242651688
0.997327139;0.159420944;1.621548053;1.838467417;0.500516046;0.500516046;0.500516046;0.500516046;0.500516046
0.520726733;0.438531765;1.108251044;1.254273602;0.343577762;0.343577762;0.343577762;0.343577762;0.343577762
0.196912643;0.443744142;1.252575327;1.60624457;0.181075216;0.181075216;0.181075216;0.181075216;0.181075216
0.534699148;0.537905204;1.274498373;1.865652965;0.756407278;0.756407278;0.756407278;0.756407278;0.756407278
0.943078081;0.872339863;1.214935894;1.146999092;1.579609431;1.579609431;1.579609431;1.579609431;1.579609431
0.023722587;0.701411079;1.619636496;1.643084831;0.044527437;0.044527437;0.044527437;0.044527437;0.044527437
0.448752677;0.043276292;1.594614748;1.661601304;0.051791706;0.051791706;0.051791706;0.051791706;0.051791706
0.91703815;0.1395075;1.945873201;1.686355911;0.438505988;0.438505988;0.438505988;0.438505988;0.438505988
0.467621213;0.444931896;1.958656894;1.53077403;0.670304765;0.670304765;0.670304765;0.670304765;0.670304765
0.891608897;0.749255853;1.408890423;1.165101686;1.41073791;1.41073791;1.41073791;1.41073791;1.41073791
0.61518232;0.083201091;1.209602547;1.464257077;0.092228777;0.092228777;0.092228777;0.092228777;0.092228777
0.434901113;0.501776582;1.88531388;1.442412446;0.639989734;0.639989734;0.639989734;0.639989734;0.639989734
0.656569529;0.787823422;1.26229998;1.938796825;1.529659081;1.529659081;1.529659081;1.529659081;1.529659081
0.310233046;0.060511389;1.265080412;1.979724914;0.047312327;0.047312327;0.047312327;0.047312327;0.047312327
0.214285868;0.496405967;1.195753874;1.253027977;0.165238697;0.165238697;0.165238697;0.165238697;0.165238697
0.953670118;0.360164845;1.80937714;1.243896995;0.873013427;0.873013427;0.873013427;0.873013427;0.873013427
0.983378254;0.888660917;1.737757021;1.412531749;3.026770123;3.026770123;3.026770123;3.026770123;3.026770123
0.936390467;0.005950473;1.116621664;1.913332029;0.011926479;0.011926479;0.011926479;0.011926479;0.011926479
0.007860514;0.867129513;1.783132116;1.605182338;0.019553777;0.019553777;0.019553777;0.019553777;0.019553777
0.918045256;0.121443455;1.615804504;1.142203177;0.213706558;0.213706558;0.213706558;0.213706558;0.213706558
0.897943491;0.024195114;1.797092017;1.563387755;0.061485156;0.061485156;0.061485156;0.061485156;0.061485156
0.689297554;0.157606199;1.024551389;1.970811442;0.227602787;0.227602787;0.227602787;0.227602787;0.227602787
0.668968261;0.078149927;1.081611255;1.044181337;0.060091939;0.060091939;0.060091939;0.060091939;0.060091939
0.408628854;0.737909188;1.637192377;1.079535953;0.592478496;0.592478496;0.592478496;0.592478496;0.592478496
0.443884663;0.216432123;1.118826331;1.333364547;0.148060321;0.148060321;0.148060321;0.148060321;0.148060321
0.436128931;0.847020548;1.373497272;1.585360046;0.917344941;0.917344941;0.917344941;0.917344941;0.917344941
0.782363425;0.757314181;1.408258381;1.895920474;1.97124739;1.97124739;1.97124739;1.97124739;1.97124739
0.497325905;0.255225378;1.201522715;1.071509999;0.170635044;0.170635044;0.170635044;0.170635044;0.170635044
0.117043944;0.213043261;1.462905181;1.988272114;0.073136405;0.073136405;0.073136405;0.073136405;0.073136405
0.262269348;0.361383642;1.771690386;1.720197412;0.29828015;0.29828015;0.29828015;0.29828015;0.29828015
0.797396932;0.405687601;1.69339253;1.52103798;0.933935824;0.933935824;0.933935824;0.933935824;0.933935824
0.209147751;0.585540244;1.208500505;1.89295861;0.292077737;0.292077737;0.292077737;0.292077737;0.292077737
0.610979504;0.949448656;1.266359438;1.888025281;1.719434438;1.719434438;1.719434438;1.719434438;1.719434438
0.998128296;0.698583891;1.9261245;1.678126971;2.936253453;2.936253453;2.936253453;2.936253453;2.936253453
0.136207331;0.049190117;1.302083287;1.240697788;0.010848111;0.010848111;0.010848111;0.010848111;0.010848111
0.260056387;0.712663847;1.477814156;1.118631194;0.32655264;0.32655264;0.32655264;0.32655264;0.32655264
0.590204273;0.240185428;1.748681034;1.319260309;0.34325149;0.34325149;0.34325149;0.34325149;0.34325149
0.261596266;0.236540878;1.879260426;1.193721728;0.141735706;0.141735706;0.141735706;0.141735706;0.141735706
0.57479873;0.55228959;1.023467516;1.992930879;0.724141192;0.724141192;0.724141192;0.724141192;0.724141192
0.285623813;0.696148882;1.923885361;1.079800782;0.442386838;0.442386838;0.442386838;0.442386838;0.442386838
0.38732522;0.413202701;1.123578574;1.613379063;0.306470312;0.306470312;0.306470312;0.306470312;0.306470312
0.620683441;0.228796745;1.278777721;1.069940113;0.203955366;0.203955366;0.203955366;0.203955366;0.203955366
0.240046501;0.631452897;1.308242811;1.414337849;0.295389323;0.295389323;0.295389323;0.295389323;0.295389323
0.507605441;0.6448635;1.736729651;1.064736266;0.679430843;0.679430843;0.679430843;0.679430843;0.679430843
0.873015018;0.944110183;1.710731872;1.743941032;3.390508881;3.390508881;3.390508881;3.390508881;3.390508881
0.413327361;0.347320498;1.116573287;1.576099895;0.265332987;0.265332987;0.265332987;0.265332987;0.265332987
0.787545972;0.808421282;1.10634735;1.413324778;1.263699503;1.263699503;1.263699503;1.263699503;1.263699503
0.8556743;0.7728816;1.458224225;1.928396011;2.385586751;2.385586751;2.385586751;2.385586751;2.385586751
0.918160657;0.740988237;1.330756535;1.768242081;2.070467476;2.070467476;2.070467476;2.070467476;2.070467476
0.985462679;0.666863377;1.953647995;1.554124008;2.554990685;2.554990685;2.554990685;2.554990685;2.554990685
0.816676188;0.756774352;1.138426705;1.598525257;1.416535918;1.416535918;1.416535918;1.416535918;1.416535918
0.380499088;0.847492727;1.15361859;1.182734778;0.492976431;0.492976431;0.492976431;0.492976431;0.492976431
0.931491682;0.930895378;1.06406257;1.714572156;2.225142793;2.225142793;2.225142793;2.225142793;2.225142793
0.159037492;0.971087647;1.963151134;1.890397901;0.604252307;0.604252307;0.604252307;0.604252307;0.604252307
0.455046434;0.900555075;1.667345093;1.738456175;1.37575864;1.37575864;1.37575864;1.37575864;1.37575864
0.336623837;0.579244752;1.067836308;1.681534572;0.374458701;0.374458701;0.374458701;0.374458701;0.374458701
0.038764604;0.015011413;1.195863198;1.413254707;0.000983656;0.000983656;0.000983656;0.000983656;0.000983656
0.580898833;0.198826934;1.298338296;1.010716079;0.157631578;0.157631578;0.157631578;0.157631578;0.157631578
0.059351001;0.511294478;1.373489765;1.894127017;0.079753373;0.079753373;0.079753373;0.079753373;0.079753373
0.246002315;0.364753727;1.640612798;1.510244303;0.229181863;0.229181863;0.229181863;0.229181863;0.229181863
0.330769149;0.876084329;1.693127001;1.699677535;0.923089805;0.923089805;0.923089805;0.923089805;0.923089805
0.431335364;0.875766954;1.01044289;1.262198879;0.5511759;0.5511759;0.5511759;0.5511759;0.5511759
0.925246655;0.265535692;1.709799886;1.54349947;0.706219987;0.706219987;0.706219987;0.706219987;0.706219987
0.010861355;0.104542125;1.935700118;1.949996935;0.004287575;0.004287575;0.004287575;0.004287575;0.004287575
0.234860456;0.7611805;1.847272513;1.691016647;0.593826195;0.593826195;0.593826195;0.593826195;0.593826195
0.053484853;0.689546241;1.723631918;1.035041338;0.066614455;0.066614455;0.066614455;0.066614455;0.066614455
0.026631516;0.135798867;1.65241579;1.582150683;0.009466361;0.009466361;0.009466361;0.009466361;0.009466361
0.22778705;0.133520262;1.095316137;1.944087153;0.065426968;0.065426968;0.065426968;0.065426968;0.065426968
0.968899984;0.019906893;1.963409;1.447126966;0.055157054;0.055157054;0.055157054;0.055157054;0.055157054
0.485523938;0.522690952;1.688955235;1.724687526;0.807550996;0.807550996;0.807550996;0.807550996;0.807550996
0.939511901;0.728586287;1.19574176;1.073108795;1.13800404;1.13800404;1.13800404;1.13800404;1.13800404
0.282952339;0.921536969;1.122263021;1.617255524;0.518309412;0.518309412;0.518309412;0.518309412;0.518309412
0.993933589;0.167033279;1.901659307;1.359286567;0.454285194;0.454285194;0.454285194;0.454285194;0.454285194
0.844741235;0.841445455;1.672615525;1.789414665;2.788014276;2.788014276;2.788014276;2.788014276;2.788014276
0.214808234;0.283200978;1.49978458;1.383189679;0.128811139;0.128811139;0.128811139;0.128811139;0.128811139
0.008344286;0.929520956;1.022702412;1.871267765;0.014881882;0.014881882;0.014881882;0.014881882;0.014881882
0.434718684;0.822324312;1.477608421;1.335354816;0.800774805;0.800774805;0.800774805;0.800774805;0.800774805
0.689079956;0.260660838;1.321833385;1.152812186;0.291134529;0.291134529;0.291134529;0.291134529;0.291134529
0.418465489;0.955750499;1.634466206;1.501492459;1.132511454;1.132511454;1.132511454;1.132511454;1.132511454
0.499414722;0.694129946;1.848675398;1.018881364;0.738268846;0.738268846;0.738268846;0.738268846;0.738268846
0.365121462;0.489163975;1.527425494;1.62143566;0.470336661;0.470336661;0.470336661;0.470336661;0.470336661
0.819475937;0.915252143;1.782350889;1.301791574;2.320361186;2.320361186;2.320361186;2.320361186;2.320361186
0.745755953;0.495869856;1.03859738;1.765008166;0.773197627;0.773197627;0.773197627;0.773197627;0.773197627
0.049434853;0.357027932;1.774412553;1.425425729;0.044905261;0.044905261;0.044905261;0.044905261;0.044905261
0.584165965;0.906759785;1.419128606;1.252210301;1.143138279;1.143138279;1.143138279;1.143138279;1.143138279
0.053651311;0.427220463;1.885308588;1.11031327;0.048349418;0.048349418;0.048349418;0.048349418;0.048349418
0.989264419;0.600677716;1.903860602;1.386906345;1.956605081;1.956605081;1.956605081;1.956605081;1.956605081
0.811717762;0.952148301;1.868422524;1.290393735;2.510058144;2.510058144;2.510058144;2.510058144;2.510058144
0.022360572;0.063414838;1.832253314;1.550111817;0.004029282;0.004029282;0.004029282;0.004029282;0.004029282
0.907552853;0.560387983;1.171756895;1.484163117;1.065011995;1.065011995;1.065011995;1.065011995;1.065011995
