n;theta2;theta1;theta1_noise_0.05;theta1_noise_0.1;theta1_noise_0.3;theta1_noise_1
0.32757975;2.903655806;0.077286845;0.157719571;0.091353525;-0.086356529;0.019026416
0.060464891;4.808178153;-0.060224101;0.090641071;0.054923978;0.216471815;-0.22199967
0.652292986;1.606590764;0.710054576;0.68563138;0.566582647;0.742518399;0.761002355
0.255447747;3.910794087;-0.178628103;-0.205964983;-0.16199302;-0.204499024;0.375344942
0.938132738;2.636016637;0.471640677;0.660244196;0.511028071;0.392066546;0.306594516
0.166228769;2.292092616;0.125156037;-0.101265532;0.006882028;0.10301928;-0.170297705
0.411381768;4.621492289;-0.422107057;-0.445882302;-0.247203174;-0.164990745;1.30689384
0.00165026;1.234342594;0.001557733;0.045103131;0.1353771;0.235497302;0.627251409
0.731482298;4.085491735;-0.634024767;-0.840191455;-0.860120042;-0.677974001;0.249822117
0.993003735;1.410112309;1.371529313;1.559170729;1.38225486;1.593870131;1.135011143
0.082166631;4.141998616;-0.069214102;-0.139329651;-0.395581779;0.198521766;0.189944562
0.453911855;1.95095818;0.43510391;0.372837294;0.411367015;0.191007719;0.857375243
0.862272106;1.940839842;0.933834261;0.84696229;1.221208334;1.203354305;0.898622294
0.535832205;4.450462992;-0.54399287;-0.497680246;-0.512652823;-0.418137461;-0.005149778
0.853714492;3.526673345;-0.326451666;-0.490093071;-0.401726816;-0.551874518;-0.544192796
0.198727154;2.973380676;0.033277008;-0.056539024;-0.100520654;-0.238158771;0.397897763
0.002848406;4.862678014;-0.002816302;-0.005000301;0.034931516;-0.101447562;-0.440851837
0.918346032;3.133327538;0.007590223;0.171394257;-0.001357892;-0.216713525;-0.242184024
0.349183725;3.016851628;0.043458341;0.162457335;-0.404338084;0.05949594;0.330600115
0.582829314;3.524223063;-0.219361317;0.042521332;-0.334847078;-0.006913576;-0.938108494
0.250880927;4.594953448;-0.251805527;-0.204111885;-0.423269564;-0.638541448;-0.485374319
0.432648145;1.715887758;0.442391741;0.649369756;0.466037102;0.313826276;0.582892297
0.089990281;1.189582184;0.083627645;0.096102504;-0.113360492;0.33628084;0.703259495
0.126477947;4.181557165;-0.109290281;-0.117338773;-0.11674756;0.441144572;-0.303214048
0.675912019;3.754616162;-0.399416984;-0.375431327;-0.32027147;-0.385741141;-0.619625631
0.826393362;1.34232795;0.935539049;0.988221798;0.89398933;1.209334525;0.463474704
0.531490887;1.144341481;0.505093709;0.463184876;0.660561517;0.410820625;0.780644908
0.681993352;1.868369566;0.710246005;0.653945439;0.831449724;0.529400298;0.38731314
0.281152188;4.409734157;-0.271704109;-0.322050521;-0.350930325;-0.584361118;-0.079002353
0.878159341;3.15784621;-0.014273069;-0.177601417;0.110043153;-0.236839067;0.176014066
0.087857544;2.576700031;0.047049708;0.009158186;0.254031019;0.313799003;0.153937503
0.000282954;4.14411035;-0.000238482;-0.145013568;0.130199466;0.242300921;0.249263689
0.546260576;4.43349548;-0.552895378;-0.520931623;-0.866570671;-0.993346672;-0.904937073
0.077751555;3.012244127;0.010029197;0.037624288;0.092248909;0.387433738;-0.031683245
0.921058896;3.519044383;-0.34634149;-0.310527755;-0.367505246;-0.423996578;-0.68349726
0.496417149;3.512942946;-0.181125611;-0.432594032;-0.044832144;-0.531444075;-0.362535791
0.285796115;3.13063087;0.003132778;0.04424317;-0.109418595;0.035288916;-0.492389699
0.401682507;2.196069519;0.331736647;0.257207488;0.575942762;0.245190042;0.302382203
0.849633706;1.718386681;0.998014844;0.997724548;0.82866008;0.810010594;1.509853204
0.061763905;1.708714968;0.061215639;0.299316586;-0.07285458;-0.000345761;0.342229791
0.037494428;2.115303718;0.032077581;0.066179919;-0.084414366;0.545056094;-0.758379166
0.792473925;2.640358001;0.390651163;0.26619228;0.29664066;0.171778951;1.002837502
0.122237407;3.337719465;-0.023822885;-0.080857467;-0.242990447;-0.378866212;-0.161997871
0.433226476;2.570765742;0.236276709;0.221606363;0.235479645;0.34247707;0.721319444
0.681126961;1.667905006;0.744926715;0.826753188;0.797040075;0.922831695;0.693897476
0.594332215;3.499125351;-0.209524572;-0.159964699;-0.177409313;-0.591268084;-1.001485429
0.815415763;4.554708349;-0.93618103;-0.870504621;-0.978776735;-0.774426948;-1.104582473
0.505739983;3.940460487;-0.370837901;-0.370837901;-0.370837901;-0.370837901;-0.370837901
0.866389132;2.530662991;0.52012212;0.52012212;0.52012212;0.52012212;0.52012212
0.455002811;2.801684535;0.152286081;0.152286081;0.152286081;0.152286081;0.152286081
0.360826772;3.290298099;-0.053484866;-0.053484866;-0.053484866;-0.053484866;-0.053484866
0.10938147;3.665398828;-0.05473771;-0.05473771;-0.05473771;-0.05473771;-0.05473771
0.609980936;2.886616017;0.154464604;0.154464604;0.154464604;0.154464604;0.154464604
0.189258005;2.961946806;0.033823283;0.033823283;0.033823283;0.033823283;0.033823283
0.584670925;2.230716571;0.480152095;0.480152095;0.480152095;0.480152095;0.480152095
0.542354371;2.178949359;0.461300195;0.461300195;0.461300195;0.461300195;0.461300195
0.171858791;4.028281927;-0.133584704;-0.133584704;-0.133584704;-0.133584704;-0.133584704
0.510123927;1.889443794;0.505727835;0.505727835;0.505727835;0.505727835;0.505727835
0.438399472;2.347508024;0.318009277;0.318009277;0.318009277;0.318009277;0.318009277
0.278215177;3.044577479;0.026952037;0.026952037;0.026952037;0.026952037;0.026952037
0.607847837;1.896108029;0.613786469;0.613786469;0.613786469;0.613786469;0.613786469
0.6364641;2.574584501;0.348886646;0.348886646;0.348886646;0.348886646;0.348886646
0.023057861;4.481481325;-0.022447769;-0.022447769;-0.022447769;-0.022447769;-0.022447769
0.541766401;3.226634515;-0.046033566;-0.046033566;-0.046033566;-0.046033566;-0.046033566
0.805627854;2.898739008;0.194964958;0.194964958;0.194964958;0.194964958;0.194964958
0.087753579;1.796548085;0.085631544;0.085631544;0.085631544;0.085631544;0.085631544
0.169323588;2.637208293;0.081920363;0.081920363;0.081920363;0.081920363;0.081920363
0.158046407;4.746017241;-0.158621387;-0.158621387;-0.158621387;-0.158621387;-0.158621387
0.044663353;3.77934132;-0.026595166;-0.026595166;-0.026595166;-0.026595166;-0.026595166
0.646733409;2.357138793;0.47448178;0.47448178;0.47448178;0.47448178;0.47448178
0.283062893;2.969841346;0.048396646;0.048396646;0.048396646;0.048396646;0.048396646
0.802055176;2.567251156;0.450862703;0.450862703;0.450862703;0.450862703;0.450862703
0.743084507;4.262329761;-0.732982501;-0.732982501;-0.732982501;-0.732982501;-0.732982501
0.598101884;2.444832434;0.393933662;0.393933662;0.393933662;0.393933662;0.393933662
0.405999462;3.712137711;-0.22107296;-0.22107296;-0.22107296;-0.22107296;-0.22107296
0.191606563;3.615893352;-0.087621948;-0.087621948;-0.087621948;-0.087621948;-0.087621948
0.347987605;1.612677044;0.355098227;0.355098227;0.355098227;0.355098227;0.355098227
0.163510242;3.918029039;-0.114830613;-0.114830613;-0.114830613;-0.114830613;-0.114830613
0.197425711;3.159416736;-0.003518753;-0.003518753;-0.003518753;-0.003518753;-0.003518753
0.417400576;2.936986363;0.084910143;0.084910143;0.084910143;0.084910143;0.084910143
0.619177698;4.696793376;-0.667599201;-0.667599201;-0.667599201;-0.667599201;-0.667599201
0.413500694;2.265835881;0.323176552;0.323176552;0.323176552;0.323176552;0.323176552
0.034642852;2.065902231;0.030487606;0.030487606;0.030487606;0.030487606;0.030487606
0.705637344;3.057268732;0.05946666;0.05946666;0.05946666;0.05946666;0.05946666
0.225659416;3.703455091;-0.12051455;-0.12051455;-0.12051455;-0.12051455;-0.12051455
0.53852755;4.623981912;-0.566194631;-0.566194631;-0.566194631;-0.566194631;-0.566194631
0.449893954;1.481369143;0.464634636;0.464634636;0.464634636;0.464634636;0.464634636
0.883429878;4.248455209;-0.910891556;-0.910891556;-0.910891556;-0.910891556;-0.910891556
0.990079616;2.14266985;0.983688959;0.983688959;0.983688959;0.983688959;0.983688959
0.575429081;4.325996764;-0.562148603;-0.562148603;-0.562148603;-0.562148603;-0.562148603
0.509558176;3.945251803;-0.375600524;-0.375600524;-0.375600524;-0.375600524;-0.375600524
0.138009866;2.107829467;0.11886194;0.11886194;0.11886194;0.11886194;0.11886194
0.440162413;1.055162844;0.392968936;0.392968936;0.392968936;0.392968936;0.392968936
0.599719794;1.975281078;0.583952278;0.583952278;0.583952278;0.583952278;0.583952278
0.534555367;2.911812698;0.122054902;0.122054902;0.122054902;0.122054902;0.122054902
0.062030112;1.150545913;0.05666299;0.05666299;0.05666299;0.05666299;0.05666299
0.049121853;1.817711349;0.047650069;0.047650069;0.047650069;0.047650069;0.047650069
0.67310106;2.286292966;0.532901719;0.532901719;0.532901719;0.532901719;0.532901719
0.875765143;4.776846021;-1.063263972;-1.063263972;-1.063263972;-1.063263972;-1.063263972
0.900176638;4.692515651;-1.119766949;-1.119766949;-1.119766949;-1.119766949;-1.119766949
0.451297666;2.806141825;0.149116901;0.149116901;0.149116901;0.149116901;0.149116901
0.364165702;3.84364067;-0.237395452;-0.237395452;-0.237395452;-0.237395452;-0.237395452
0.173301007;4.918241188;-0.170466523;-0.170466523;-0.170466523;-0.170466523;-0.170466523
0.271639758;3.117322858;0.006592042;0.006592042;0.006592042;0.006592042;0.006592042
0.467822752;2.160641776;0.399299644;0.399299644;0.399299644;0.399299644;0.399299644
0.897908684;1.224053646;1.00557362;1.00557362;1.00557362;1.00557362;1.00557362
0.136302544;4.37491499;-0.128971516;-0.128971516;-0.128971516;-0.128971516;-0.128971516
0.211141501;2.020954575;0.191271354;0.191271354;0.191271354;0.191271354;0.191271354
0.345621758;1.824631211;0.34112432;0.34112432;0.34112432;0.34112432;0.34112432
0.340208779;3.203217568;-0.020953603;-0.020953603;-0.020953603;-0.020953603;-0.020953603
0.313442884;3.719218144;-0.171997954;-0.171997954;-0.171997954;-0.171997954;-0.171997954
0.049209575;2.33044007;0.035688523;0.035688523;0.035688523;0.035688523;0.035688523
0.504766548;2.37390432;0.358155259;0.358155259;0.358155259;0.358155259;0.358155259
0.41269755;4.348430941;-0.39592725;-0.39592725;-0.39592725;-0.39592725;-0.39592725
0.841596971;2.086186389;0.821655106;0.821655106;0.821655106;0.821655106;0.821655106
0.112735197;1.994840733;0.102932169;0.102932169;0.102932169;0.102932169;0.102932169
0.369829599;1.375118014;0.371240574;0.371240574;0.371240574;0.371240574;0.371240574
0.011858395;3.679005217;-0.006070527;-0.006070527;-0.006070527;-0.006070527;-0.006070527
0.261883452;4.21939839;-0.232795748;-0.232795748;-0.232795748;-0.232795748;-0.232795748
0.744591697;3.656627414;-0.375523806;-0.375523806;-0.375523806;-0.375523806;-0.375523806
0.536127738;3.959427669;-0.401929477;-0.401929477;-0.401929477;-0.401929477;-0.401929477
0.762854267;3.75854495;-0.457103537;-0.457103537;-0.457103537;-0.457103537;-0.457103537
0.836121718;1.669931233;0.98273279;0.98273279;0.98273279;0.98273279;0.98273279
0.518535111;3.766270913;-0.308109985;-0.308109985;-0.308109985;-0.308109985;-0.308109985
0.939996041;1.858445512;1.122933967;1.122933967;1.122933967;1.122933967;1.122933967
0.375725529;4.604287947;-0.382814079;-0.382814079;-0.382814079;-0.382814079;-0.382814079
0.83594249;4.208818178;-0.82150655;-0.82150655;-0.82150655;-0.82150655;-0.82150655
0.654106392;1.626667449;0.711652052;0.711652052;0.711652052;0.711652052;0.711652052
0.295301631;3.381888135;-0.070336707;-0.070336707;-0.070336707;-0.070336707;-0.070336707
0.342922896;1.428051194;0.346316273;0.346316273;0.346316273;0.346316273;0.346316273
0.513684254;1.939958408;0.499603293;0.499603293;0.499603293;0.499603293;0.499603293
0.722317317;4.223622324;-0.691564584;-0.691564584;-0.691564584;-0.691564584;-0.691564584
0.206608568;4.265060556;-0.187374007;-0.187374007;-0.187374007;-0.187374007;-0.187374007
0.177489955;4.533674662;-0.17556358;-0.17556358;-0.17556358;-0.17556358;-0.17556358
0.656611734;3.442110286;-0.195611809;-0.195611809;-0.195611809;-0.195611809;-0.195611809
0.368253027;1.68876091;0.374378081;0.374378081;0.374378081;0.374378081;0.374378081
0.284477896;2.164123306;0.238099715;0.238099715;0.238099715;0.238099715;0.238099715
0.102360018;3.339265354;-0.020103622;-0.020103622;-0.020103622;-0.020103622;-0.020103622
0.06081218;2.33560569;0.043890952;0.043890952;0.043890952;0.043890952;0.043890952
0.496108474;4.447403858;-0.4992788;-0.4992788;-0.4992788;-0.4992788;-0.4992788
0.669420283;3.274875637;-0.089076154;-0.089076154;-0.089076154;-0.089076154;-0.089076154
0.077918811;3.752969132;-0.044739944;-0.044739944;-0.044739944;-0.044739944;-0.044739944
0.593738324;1.770115829;0.621165354;0.621165354;0.621165354;0.621165354;0.621165354
0.934560369;4.987989925;-1.118147461;-1.118147461;-1.118147461;-1.118147461;-1.118147461
0.73912467;4.296789733;-0.742600947;-0.742600947;-0.742600947;-0.742600947;-0.742600947
0.240736158;4.622115693;-0.242114422;-0.242114422;-0.242114422;-0.242114422;-0.242114422
0.327409673;3.413810701;-0.088144231;-0.088144231;-0.088144231;-0.088144231;-0.088144231
