sigma;theta;f;f_noise_0.05;f_noise_0.1;f_noise_0.3;f_noise_1
2.249481589;1.140030917;0.155974927;0.152238345;0.150465835;0.183192394;0.129491956
1.319837386;2.343650514;0.062472873;0.040252799;0.061467086;0.022844341;0.04272442
2.828025544;1.706097527;0.117596967;0.104410177;0.105955939;0.111924837;0.115567937
1.801709556;2.807908193;0.065737414;0.067392665;0.081023991;0.039627575;0.01232617
2.01210328;2.146101354;0.112260563;0.117383791;0.124606273;0.097505865;0.143695255
1.333153263;2.725901007;0.036998109;0.045412746;0.046862964;0.022168336;0.006280441
1.302545293;2.108417237;0.082633699;0.083338118;0.078266469;0.062347007;0.038165805
2.405638428;1.300144869;0.143302011;0.137499343;0.15569852;0.179129713;0.138334629
1.674297789;1.369342691;0.170540819;0.152985331;0.137482133;0.200937421;0.174400845
1.709172365;2.263347344;0.097125813;0.103726784;0.083647808;0.088970946;0.077586882
2.398248833;1.314004084;0.143162437;0.146101979;0.152516094;0.11896526;0.201063714
1.736829657;1.679934453;0.143879604;0.147456569;0.14321109;0.168202802;0.183150094
1.899809713;1.59903962;0.147355341;0.135973956;0.161235178;0.140132635;0.17850292
1.193560783;1.562447663;0.141889863;0.15929484;0.147949119;0.119108083;0.075945778
1.787412741;2.790166045;0.066001283;0.060697597;0.069074926;0.089895014;0.104714101
2.447203912;2.894750439;0.080985261;0.073631406;0.071837701;0.089242586;0.003204128
2.356999488;2.661378536;0.089474227;0.084463202;0.084248199;0.082498508;0.102990204
2.012356541;1.762827737;0.135073736;0.143474983;0.156120416;0.126939889;0.194919175
2.335472311;2.289475252;0.105647029;0.103787949;0.106184194;0.114584724;0.131598824
2.970999855;1.860968375;0.110359544;0.1148018;0.110977636;0.092757877;0.128718554
2.503948495;2.956140104;0.079364393;0.080117198;0.087843409;0.106312316;0.080494458
2.796945801;2.446883157;0.097282122;0.091396537;0.10457866;0.092523988;0.087498513
2.584587326;1.880997685;0.118441926;0.113582651;0.109145811;0.133397557;0.098991613
1.967858436;2.496540751;0.09066065;0.109811122;0.08799084;0.111408831;0.103819356
2.380701034;1.651497869;0.131737365;0.137347742;0.113221043;0.096516141;0.073741111
1.537213023;1.88893837;0.121980619;0.129532118;0.134293001;0.104317867;0.067068674
1.127293659;1.28983794;0.183903616;0.192499904;0.20132236;0.210200996;0.193017526
1.980846577;2.87063156;0.070471641;0.058746385;0.046512411;0.105470005;0.108080654
1.212326804;2.235481582;0.060110339;0.064810706;0.044648322;0.034190391;0.055972803
1.535971711;2.328271676;0.082333951;0.076704716;0.066484755;0.043756796;0.094033559
1.108290591;1.536774215;0.137640474;0.143488345;0.12361868;0.114392244;0.170863375
1.150546127;1.355303766;0.173257433;0.174750143;0.189087801;0.190635144;0.194828122
1.782626549;2.140369199;0.108843294;0.111117436;0.099222658;0.130642498;0.112569062
2.920970122;1.226930335;0.125046202;0.128314864;0.146894884;0.152222689;0.090390002
1.21419601;2.886422702;0.019474858;0.025054318;0.01798965;0.01988748;0.030538945
1.25658653;1.064129858;0.221815817;0.227198338;0.214513962;0.252330216;0.195900498
1.345111268;1.289991508;0.187256299;0.190441931;0.178290728;0.183950427;0.180803806
2.592874414;1.687618358;0.124491228;0.106755447;0.13430164;0.155187337;0.127852825
2.054386141;1.213446319;0.163105836;0.171283888;0.143953546;0.174080156;0.127100201
1.188511174;2.441582005;0.040690737;0.045446607;0.033314762;0.035125133;-0.027712764
1.62977407;1.865405386;0.127147096;0.127354157;0.123921828;0.121420858;0.072748187
2.014368294;1.324449844;0.159549959;0.175255326;0.165809118;0.169591185;0.151729095
2.422578811;2.280864244;0.105717514;0.116503142;0.111999203;0.099790641;0.167190851
2.306326025;1.421467465;0.143054699;0.132202629;0.157655727;0.192999328;0.120000038
1.15931056;1.934614263;0.085507725;0.071603079;0.057127551;0.096530861;0.226438191
1.273746918;1.770737558;0.119170301;0.104788183;0.108476327;0.127023795;0.131163212
1.354878536;1.715258172;0.132124387;0.132621636;0.145860778;0.121449587;0.078242955
1.311164805;2.968419333;0.023456617;0.042316996;-0.009586324;0.076173016;0.040922655
1.138942755;2.059969183;0.068243116;0.081083377;0.045609434;0.048481218;0.037584436
1.778698855;2.698665655;0.070949365;0.089387785;0.093076524;0.049396068;0.072440954
1.342269917;2.862920039;0.030564379;0.026008361;0.022307744;0.030620421;0.081337288
2.354522995;2.472747146;0.09761259;0.092102277;0.08839758;0.12044367;0.114064946
2.96866764;1.650852056;0.115132587;0.116996865;0.100929255;0.106930606;0.203160901
2.964178431;2.793669153;0.086322101;0.111333672;0.087520784;0.124181659;0.146360531
2.351171904;2.335035985;0.10362123;0.10809738;0.112837581;0.163098808;0.087002769
1.071415776;1.00854918;0.239078168;0.250299204;0.229991111;0.240076309;0.209959835
1.192386556;1.332356021;0.179214645;0.178584345;0.199309989;0.205943233;0.15018891
2.398189972;1.944004049;0.119767903;0.115094032;0.103950503;0.104592695;0.171404214
2.059880019;2.508864805;0.092244978;0.095407676;0.102300249;0.0917848;0.115756973
2.371631113;1.014878888;0.15349671;0.154804529;0.135311335;0.151214445;0.244140848
2.436125995;1.985885718;0.117465767;0.124829674;0.118406447;0.102191724;0.110452521
2.454721957;2.365598047;0.102150914;0.118852801;0.121765875;0.109061972;0.089423958
1.847440636;1.975632276;0.12190223;0.1254769;0.123968364;0.154107128;0.124953518
1.617916727;1.510337922;0.15948645;0.170424604;0.156119172;0.139834339;0.116961495
1.868808286;2.403075124;0.093388098;0.110360365;0.079909761;0.074939997;0.047655279
1.935306594;1.523194022;0.151233148;0.151233148;0.151233148;0.151233148;0.151233148
2.71928828;1.392973584;0.128668986;0.128668986;0.128668986;0.128668986;0.128668986
1.350584469;2.795390984;0.03468537;0.03468537;0.03468537;0.03468537;0.03468537
2.842167625;2.827552195;0.085573775;0.085573775;0.085573775;0.085573775;0.085573775
1.732432595;1.841660284;0.130876469;0.130876469;0.130876469;0.130876469;0.130876469
1.098499747;1.48462775;0.145705676;0.145705676;0.145705676;0.145705676;0.145705676
2.742504535;2.262734284;0.103501088;0.103501088;0.103501088;0.103501088;0.103501088
1.66785267;1.258663491;0.179921942;0.179921942;0.179921942;0.179921942;0.179921942
1.079469475;2.17304739;0.04872158;0.04872158;0.04872158;0.04872158;0.04872158
2.714600716;2.828726979;0.085391493;0.085391493;0.085391493;0.085391493;0.085391493
1.686697111;1.509220658;0.158496108;0.158496108;0.158496108;0.158496108;0.158496108
2.779193629;2.498987202;0.095812793;0.095812793;0.095812793;0.095812793;0.095812793
2.074492691;1.20338137;0.162528116;0.162528116;0.162528116;0.162528116;0.162528116
2.145566432;1.856509412;0.12787599;0.12787599;0.12787599;0.12787599;0.12787599
2.818150009;1.731440269;0.117213751;0.117213751;0.117213751;0.117213751;0.117213751
2.874441216;1.16040237;0.127928683;0.127928683;0.127928683;0.127928683;0.127928683
1.260893291;1.608824765;0.140187987;0.140187987;0.140187987;0.140187987;0.140187987
2.468909283;1.382787699;0.138129997;0.138129997;0.138129997;0.138129997;0.138129997
2.230471677;2.151803736;0.112308701;0.112308701;0.112308701;0.112308701;0.112308701
1.245466557;2.556353595;0.038973161;0.038973161;0.038973161;0.038973161;0.038973161
1.199862754;2.790863896;0.022231368;0.022231368;0.022231368;0.022231368;0.022231368
2.099751134;1.347234346;0.154649651;0.154649651;0.154649651;0.154649651;0.154649651
1.133712804;2.605871358;0.025070751;0.025070751;0.025070751;0.025070751;0.025070751
1.669182589;2.484680172;0.078931132;0.078931132;0.078931132;0.078931132;0.078931132
2.783745983;2.025099469;0.109992361;0.109992361;0.109992361;0.109992361;0.109992361
1.602228835;1.4892537;0.161652082;0.161652082;0.161652082;0.161652082;0.161652082
2.382542082;2.204968063;0.109115024;0.109115024;0.109115024;0.109115024;0.109115024
2.711182508;1.837761676;0.116943965;0.116943965;0.116943965;0.116943965;0.116943965
2.386635149;1.715391645;0.129105796;0.129105796;0.129105796;0.129105796;0.129105796
1.641838093;2.211984781;0.098046706;0.098046706;0.098046706;0.098046706;0.098046706
1.716965954;2.767666739;0.063374612;0.063374612;0.063374612;0.063374612;0.063374612
2.503314528;1.687449095;0.126976898;0.126976898;0.126976898;0.126976898;0.126976898
2.213838353;2.02426854;0.118635076;0.118635076;0.118635076;0.118635076;0.118635076
2.930349807;1.079865644;0.127204347;0.127204347;0.127204347;0.127204347;0.127204347
2.007477799;2.997691116;0.06517144;0.06517144;0.06517144;0.06517144;0.06517144
1.288059561;1.705340045;0.12892671;0.12892671;0.12892671;0.12892671;0.12892671
1.559203121;1.006448296;0.20774553;0.20774553;0.20774553;0.20774553;0.20774553
1.228589051;2.518693937;0.03970814;0.03970814;0.03970814;0.03970814;0.03970814
1.420814943;2.243674135;0.080699728;0.080699728;0.080699728;0.080699728;0.080699728
2.818673773;2.014158456;0.109644177;0.109644177;0.109644177;0.109644177;0.109644177
1.376943863;1.218010803;0.195921367;0.195921367;0.195921367;0.195921367;0.195921367
1.486701764;2.98356059;0.035822258;0.035822258;0.035822258;0.035822258;0.035822258
2.76032872;2.808384852;0.086134141;0.086134141;0.086134141;0.086134141;0.086134141
1.713146485;1.201336965;0.182110219;0.182110219;0.182110219;0.182110219;0.182110219
2.173099362;1.47064619;0.146008767;0.146008767;0.146008767;0.146008767;0.146008767
2.576475679;2.840263528;0.08433272;0.08433272;0.08433272;0.08433272;0.08433272
2.464536669;2.546132053;0.09493164;0.09493164;0.09493164;0.09493164;0.09493164
2.275135901;2.93235368;0.076415414;0.076415414;0.076415414;0.076415414;0.076415414
1.915923175;1.458722594;0.155831695;0.155831695;0.155831695;0.155831695;0.155831695
2.904800504;2.497738482;0.094894664;0.094894664;0.094894664;0.094894664;0.094894664
2.8061985;1.55930129;0.121827392;0.121827392;0.121827392;0.121827392;0.121827392
2.946348976;1.081101555;0.126587206;0.126587206;0.126587206;0.126587206;0.126587206
1.838261483;2.087619203;0.113880257;0.113880257;0.113880257;0.113880257;0.113880257
1.226029197;2.216626494;0.063475542;0.063475542;0.063475542;0.063475542;0.063475542
1.934978256;1.794236609;0.134130197;0.134130197;0.134130197;0.134130197;0.134130197
2.014115717;1.777569625;0.134180254;0.134180254;0.134180254;0.134180254;0.134180254
2.091768986;1.627768472;0.140896585;0.140896585;0.140896585;0.140896585;0.140896585
2.773803357;1.195245812;0.131073436;0.131073436;0.131073436;0.131073436;0.131073436
2.986671748;1.383825903;0.119979154;0.119979154;0.119979154;0.119979154;0.119979154
1.087204125;1.826442327;0.089487685;0.089487685;0.089487685;0.089487685;0.089487685
1.940122746;2.848954387;0.06995884;0.06995884;0.06995884;0.06995884;0.06995884
2.531574317;1.204272021;0.14072811;0.14072811;0.14072811;0.14072811;0.14072811
1.75737736;1.270156236;0.174828514;0.174828514;0.174828514;0.174828514;0.174828514
1.309290963;1.106146724;0.213246813;0.213246813;0.213246813;0.213246813;0.213246813
2.879807705;2.420191933;0.097315346;0.097315346;0.097315346;0.097315346;0.097315346
1.757895627;2.026994816;0.116734512;0.116734512;0.116734512;0.116734512;0.116734512
2.101084622;1.021228806;0.168720167;0.168720167;0.168720167;0.168720167;0.168720167
1.228118608;2.485585579;0.041898657;0.041898657;0.041898657;0.041898657;0.041898657
1.015509349;1.608129284;0.112121242;0.112121242;0.112121242;0.112121242;0.112121242
1.916040006;1.828221859;0.132070913;0.132070913;0.132070913;0.132070913;0.132070913
1.961089982;2.664372363;0.080833763;0.080833763;0.080833763;0.080833763;0.080833763
2.8852677;1.679393978;0.116722945;0.116722945;0.116722945;0.116722945;0.116722945
1.139732686;2.270646508;0.048108957;0.048108957;0.048108957;0.048108957;0.048108957
1.77115166;2.638207032;0.074278176;0.074278176;0.074278176;0.074278176;0.074278176
1.485046342;1.664193316;0.143374569;0.143374569;0.143374569;0.143374569;0.143374569
1.598965409;2.375786099;0.082733028;0.082733028;0.082733028;0.082733028;0.082733028
1.5886853;1.424806599;0.167962921;0.167962921;0.167962921;0.167962921;0.167962921
2.014725845;1.762806712;0.135037858;0.135037858;0.135037858;0.135037858;0.135037858
1.129747177;1.176583017;0.20530704;0.20530704;0.20530704;0.20530704;0.20530704
1.086756816;1.819815499;0.090339994;0.090339994;0.090339994;0.090339994;0.090339994
2.129214345;1.73611493;0.134376141;0.134376141;0.134376141;0.134376141;0.134376141
1.044664745;1.272150801;0.18193531;0.18193531;0.18193531;0.18193531;0.18193531
2.574747998;2.801957176;0.085706294;0.085706294;0.085706294;0.085706294;0.085706294
1.160680264;2.905598045;0.014975421;0.014975421;0.014975421;0.014975421;0.014975421
2.656999692;1.791782775;0.119609987;0.119609987;0.119609987;0.119609987;0.119609987
1.855908225;2.825791281;0.067444103;0.067444103;0.067444103;0.067444103;0.067444103
1.366245376;1.464996278;0.164327141;0.164327141;0.164327141;0.164327141;0.164327141
2.403923252;2.232930342;0.107804094;0.107804094;0.107804094;0.107804094;0.107804094
2.275303015;1.384744892;0.145693884;0.145693884;0.145693884;0.145693884;0.145693884
2.48123946;1.537227912;0.132706964;0.132706964;0.132706964;0.132706964;0.132706964
2.205832534;1.692609517;0.134735188;0.134735188;0.134735188;0.134735188;0.134735188
2.435799566;1.501153684;0.135454572;0.135454572;0.135454572;0.135454572;0.135454572
2.982173671;2.087940224;0.104696534;0.104696534;0.104696534;0.104696534;0.104696534
2.080579196;2.631206769;0.086185265;0.086185265;0.086185265;0.086185265;0.086185265
2.668604047;2.40142908;0.099720106;0.099720106;0.099720106;0.099720106;0.099720106
1.254537793;2.728759671;0.029859241;0.029859241;0.029859241;0.029859241;0.029859241
1.77781304;1.714859686;0.140923385;0.140923385;0.140923385;0.140923385;0.140923385
1.83240863;2.631378968;0.077641802;0.077641802;0.077641802;0.077641802;0.077641802
1.202197012;1.899712569;0.095216084;0.095216084;0.095216084;0.095216084;0.095216084
2.222597969;2.136388664;0.113089028;0.113089028;0.113089028;0.113089028;0.113089028
