n_rho;mom;B;kb;T;M;M_noise_0.05;M_noise_0.1;M_noise_0.3;M_noise_1
1.898067003;1.147295989;3.64894871;3.016405517;4.250623712;0.686795005;-1.705068819;0.370187321;-2.962693289;6.639548963
3.102026589;1.263554386;4.371209609;1.075445605;1.883978393;3.886112923;6.347798608;1.327732973;3.029164054;9.890922397
4.561866398;4.292716494;2.453165232;1.085160004;2.280216556;19.57492488;18.42600664;22.21429984;22.13698086;15.46813114
3.91871261;3.537523614;2.548675306;4.931435132;2.325340701;9.097602704;10.06963314;7.67840476;3.861367787;8.612899993
2.190669887;4.016227031;3.148361794;1.441100555;4.337513252;8.495640566;9.538204959;13.64748817;6.261196375;6.71771117
4.857061353;1.526255045;2.270036905;3.883090484;2.835598584;2.258539026;0.343640015;1.302595864;0.701734052;6.332149639
3.899612714;1.718142525;1.145835653;1.617137136;2.440882155;3.089666324;6.157338715;3.845957688;-4.322650633;0.450284474
2.546570324;3.895471006;3.019103164;1.905139534;3.424604307;9.395071947;11.00519785;7.999805681;6.123119271;7.551674743
3.771509424;1.845796282;4.971373395;4.796047416;3.002385469;3.91946082;3.18407359;1.976789191;1.061229434;10.40783963
3.361500778;2.602686602;4.706503625;2.726904017;1.600114513;8.685406298;7.696451561;8.331937871;6.761148449;-0.391205425
3.822005534;4.931241174;2.222241777;3.754070345;4.030645983;11.67616948;11.45699158;11.2199581;15.62580742;8.868495422
1.231110171;1.894078707;1.135058166;4.617799561;1.993682335;0.534840986;2.548635241;3.756987423;-2.028738525;-0.213818046
3.942398653;1.048267407;3.531082449;3.103515527;3.119929139;1.507132049;5.027773389;1.405775981;0.081342462;14.79953245
1.958145684;4.84618531;4.848281729;4.07198187;4.555984709;8.093074623;7.908264491;9.392595902;5.750098771;15.19353665
2.316910625;4.096317747;2.771002178;2.531137854;3.293391364;8.321340404;11.24336224;8.36414111;8.836555704;7.408271145
1.231114234;1.925789703;2.492809407;4.359056931;2.723429952;0.909678065;2.312141842;-0.819668381;-0.816527711;-3.096649351
1.761174008;3.224736112;1.315759199;3.748107893;3.224280688;1.915902177;0.511839466;2.342243896;-0.242105419;2.394352673
3.489755409;2.121069131;3.799040386;3.776071147;4.117265242;3.526211475;4.051561002;3.52689493;4.264643908;-0.768544102
3.142220313;4.274195905;1.031664276;1.523966532;2.53945924;10.93524446;9.721357799;12.72447987;14.60353924;12.46555881
4.297861347;4.686381874;1.187578237;1.519381202;2.650887718;17.75166635;19.4439011;19.95124366;16.63369154;16.16724989
2.43301744;2.836780146;3.808332982;3.149049515;1.800969406;6.602777724;6.411843662;6.512550162;7.923852649;8.988705511
1.086445357;4.223436874;1.435695483;2.530954418;4.972622994;2.0541792;2.815306915;2.621209951;4.16526406;-8.529449977
2.466042134;2.938813362;1.743905941;1.082042966;3.639590659;6.247649943;5.224414837;6.60680157;4.73983908;1.937723434
1.247654126;4.907186825;1.65393687;4.139033222;3.004401159;3.511027598;4.380266299;3.027682095;7.808004598;2.045593074
4.515052629;4.530027163;2.122916419;1.273535171;3.680270321;19.78883789;19.68949093;22.27353079;19.35591472;25.06781824
3.619694177;2.14638441;2.239094613;3.648674343;3.720180059;2.641345769;2.641345769;2.641345769;2.641345769;2.641345769
2.619720444;3.402281198;3.017733643;3.707896324;2.973004399;6.517540472;6.517540472;6.517540472;6.517540472;6.517540472
3.565809179;1.406001574;2.887799333;2.157265531;3.969930233;2.213489504;2.213489504;2.213489504;2.213489504;2.213489504
4.756763584;3.6107277;4.26977467;2.363355466;2.392156765;17.02900463;17.02900463;17.02900463;17.02900463;17.02900463
1.494560302;1.438866156;4.823277247;4.523404127;2.194080871;1.298678598;1.298678598;1.298678598;1.298678598;1.298678598
1.81034526;2.781979519;2.521793615;1.961815222;1.497832264;4.952059348;4.952059348;4.952059348;4.952059348;4.952059348
1.597812707;3.816812585;3.326386101;4.785789162;1.927339374;5.367669326;5.367669326;5.367669326;5.367669326;5.367669326
3.502845426;3.531973922;2.414612016;3.702136257;3.657517549;6.902783767;6.902783767;6.902783767;6.902783767;6.902783767
3.134934955;1.213025318;1.669056051;3.846334977;3.890417487;0.511395687;0.511395687;0.511395687;0.511395687;0.511395687
2.472336571;1.501635549;2.554033607;4.888782649;2.062633462;1.34765485;1.34765485;1.34765485;1.34765485;1.34765485
2.699908158;3.525341821;4.672487271;2.390615399;3.805982597;9.021937424;9.021937424;9.021937424;9.021937424;9.021937424
3.887062704;2.461599874;4.899851333;3.16637058;3.995009703;7.093657964;7.093657964;7.093657964;7.093657964;7.093657964
1.605964783;2.024622156;2.459073858;2.730104568;4.55880806;1.23545737;1.23545737;1.23545737;1.23545737;1.23545737
3.724829892;3.861329588;3.321774024;3.37751792;3.858090708;10.8580107;10.8580107;10.8580107;10.8580107;10.8580107
3.386895489;4.742021287;1.740647053;1.981269444;3.69761433;13.00738497;13.00738497;13.00738497;13.00738497;13.00738497
1.21140587;4.565264298;2.748135195;3.410805422;2.533977866;4.955266415;4.955266415;4.955266415;4.955266415;4.955266415
2.658956877;1.970862177;1.897238525;1.563131095;3.453606443;3.142573685;3.142573685;3.142573685;3.142573685;3.142573685
4.376593609;3.148718817;1.285168042;4.858788837;2.94763494;3.793286864;3.793286864;3.793286864;3.793286864;3.793286864
2.367024155;3.199848066;1.174356506;3.509737545;4.956435484;1.611145402;1.611145402;1.611145402;1.611145402;1.611145402
2.61974722;1.034857607;2.738169155;2.735164831;4.915454087;0.563078511;0.563078511;0.563078511;0.563078511;0.563078511
2.738707153;1.639378144;1.82524737;1.402835955;2.377541978;3.209777497;3.209777497;3.209777497;3.209777497;3.209777497
2.620403556;3.079910112;1.609899094;2.442395153;1.322953687;7.353913713;7.353913713;7.353913713;7.353913713;7.353913713
4.420108155;2.429048176;2.64354605;1.011883783;2.378464957;10.63376746;10.63376746;10.63376746;10.63376746;10.63376746
4.79511981;3.02046545;4.871169969;1.128943981;1.32074392;14.48349364;14.48349364;14.48349364;14.48349364;14.48349364
3.659158261;4.832200487;2.085035582;2.270655755;1.024723473;17.67565744;17.67565744;17.67565744;17.67565744;17.67565744
2.637807399;3.402918673;1.604230568;3.191500499;2.240194512;5.773192219;5.773192219;5.773192219;5.773192219;5.773192219
3.665702797;2.726097221;1.770366746;3.394032918;4.278391926;3.204167547;3.204167547;3.204167547;3.204167547;3.204167547
2.021695651;3.339757475;4.24315204;3.336540738;4.96815417;4.683285555;4.683285555;4.683285555;4.683285555;4.683285555
3.354175221;2.846774374;1.062194086;2.367037371;2.31666221;4.789472003;4.789472003;4.789472003;4.789472003;4.789472003
2.752710976;3.569414824;2.884755163;4.373437885;4.52200768;4.69865449;4.69865449;4.69865449;4.69865449;4.69865449
1.190789861;1.15085354;1.563246837;4.7554317;3.898674318;0.132567092;0.132567092;0.132567092;0.132567092;0.132567092
2.355286409;2.637274991;3.333894305;1.657887155;4.84172907;4.961909967;4.961909967;4.961909967;4.961909967;4.961909967
3.353714466;3.287835504;2.024859831;3.274349842;3.006079699;6.496234334;6.496234334;6.496234334;6.496234334;6.496234334
3.090393224;3.943504985;4.112205201;2.840589256;1.581653911;12.16913649;12.16913649;12.16913649;12.16913649;12.16913649
1.600257444;3.146252604;3.039315618;2.036315684;3.048276205;4.592804145;4.592804145;4.592804145;4.592804145;4.592804145
3.381871552;3.646318082;4.555304656;3.970793477;3.0286915;10.86650601;10.86650601;10.86650601;10.86650601;10.86650601
1.317417897;2.575632343;1.383497124;2.388465043;1.465439731;2.609619905;2.609619905;2.609619905;2.609619905;2.609619905
4.395573918;4.172845977;3.717129158;2.198475539;4.85261395;16.44303906;16.44303906;16.44303906;16.44303906;16.44303906
3.683140603;3.55688695;1.233387161;3.403117883;4.032947431;4.050511928;4.050511928;4.050511928;4.050511928;4.050511928
3.867174356;4.508671462;3.956232955;1.696259014;4.802386279;17.0041716;17.0041716;17.0041716;17.0041716;17.0041716
1.611741254;1.965633577;4.941701063;3.250793302;3.513523631;2.190110277;2.190110277;2.190110277;2.190110277;2.190110277
2.852307886;3.143784662;2.91664179;2.046440554;4.498242804;6.814436905;6.814436905;6.814436905;6.814436905;6.814436905
1.402429966;1.161955322;1.167013111;3.980433552;4.056203397;0.136541979;0.136541979;0.136541979;0.136541979;0.136541979
2.260828793;3.419344371;1.514980893;4.725571223;4.542743731;1.830083251;1.830083251;1.830083251;1.830083251;1.830083251
2.025449045;4.012088919;4.918884853;1.397346232;3.730244173;8.117923624;8.117923624;8.117923624;8.117923624;8.117923624
2.352109054;4.371487492;4.287078792;3.439293516;2.628387306;9.961899867;9.961899867;9.961899867;9.961899867;9.961899867
2.063959774;1.854758257;2.41950523;4.398754311;2.704804806;1.379111362;1.379111362;1.379111362;1.379111362;1.379111362
3.486778756;1.375145979;4.268824441;2.147013725;2.705474322;3.672885901;3.672885901;3.672885901;3.672885901;3.672885901
4.3970824;4.635802517;2.303399898;1.50927799;1.519927574;20.38031451;20.38031451;20.38031451;20.38031451;20.38031451
4.130087063;1.188052852;2.920042049;2.37341431;4.786737769;1.453430656;1.453430656;1.453430656;1.453430656;1.453430656
1.81115939;3.390071665;4.652883937;3.610678735;2.0605273;5.965595919;5.965595919;5.965595919;5.965595919;5.965595919
3.366818117;3.310422978;3.434915755;3.673089569;1.457593931;10.83140869;10.83140869;10.83140869;10.83140869;10.83140869
1.013994155;4.951784031;3.492205939;2.1796141;1.248999115;5.021049558;5.021049558;5.021049558;5.021049558;5.021049558
2.283321661;3.88780438;4.669242633;1.700569029;1.79306466;8.876988201;8.876988201;8.876988201;8.876988201;8.876988201
1.779344778;3.366309769;2.085860873;1.518349155;3.200172781;5.359200962;5.359200962;5.359200962;5.359200962;5.359200962
2.64577296;4.673025958;2.810216045;1.331621707;4.376125725;12.09398701;12.09398701;12.09398701;12.09398701;12.09398701
2.057020723;2.115760575;4.729342869;3.634491698;3.675854481;2.761599977;2.761599977;2.761599977;2.761599977;2.761599977
1.473816871;2.777615765;3.543765032;1.815093218;3.330861966;3.789906842;3.789906842;3.789906842;3.789906842;3.789906842
1.652540041;2.661764607;1.296385635;2.754730237;2.564044983;1.992845;1.992845;1.992845;1.992845;1.992845
4.540778833;1.373962089;3.830636241;3.749612577;1.746931668;4.154994;4.154994;4.154994;4.154994;4.154994
3.259382126;1.320170311;1.865955299;4.422743532;3.214318431;0.738242831;0.738242831;0.738242831;0.738242831;0.738242831
1.348820309;2.098447506;4.956213282;3.947655366;2.981774148;2.004499199;2.004499199;2.004499199;2.004499199;2.004499199
1.595348038;4.974712883;2.260982924;3.515125454;4.263894222;5.042894834;5.042894834;5.042894834;5.042894834;5.042894834
1.569507173;3.470348538;3.691501888;4.036413735;3.292954105;4.063128849;4.063128849;4.063128849;4.063128849;4.063128849
2.891464131;2.621237225;4.081874508;2.627407495;3.564155161;6.179157658;6.179157658;6.179157658;6.179157658;6.179157658
4.863478321;2.09530477;3.698218365;4.611031916;2.765763524;5.527760721;5.527760721;5.527760721;5.527760721;5.527760721
1.013375696;3.829716527;2.552644261;4.897741416;3.938024672;1.814301991;1.814301991;1.814301991;1.814301991;1.814301991
3.787739015;4.918556455;4.05021757;3.493449132;4.262664536;16.22942324;16.22942324;16.22942324;16.22942324;16.22942324
3.602514288;3.24516773;4.708092872;4.194229318;3.692956963;8.836179254;8.836179254;8.836179254;8.836179254;8.836179254
2.140057086;1.045716099;1.965700687;4.787571705;4.235354182;0.226089903;0.226089903;0.226089903;0.226089903;0.226089903
3.278902911;2.609882565;3.659646324;3.743035043;1.861651941;7.520789115;7.520789115;7.520789115;7.520789115;7.520789115
2.778569256;4.257701088;4.490866531;3.335862512;3.448625107;11.00806807;11.00806807;11.00806807;11.00806807;11.00806807
3.675872119;4.396004314;3.898150237;1.682164952;4.934169184;15.64719369;15.64719369;15.64719369;15.64719369;15.64719369
2.355795144;3.808988301;4.822922302;4.587451876;3.824333165;7.005199976;7.005199976;7.005199976;7.005199976;7.005199976
1.17368244;3.350385454;4.556875225;1.590056087;3.648966646;3.891750381;3.891750381;3.891750381;3.891750381;3.891750381
4.417592182;3.864626608;2.728498756;2.108718466;3.111381209;15.75332544;15.75332544;15.75332544;15.75332544;15.75332544
2.917057646;3.734719683;1.21672572;1.6491205;1.86263251;9.819620026;9.819620026;9.819620026;9.819620026;9.819620026
1.106429938;1.749351046;3.746385294;1.161017547;3.213964702;1.823453845;1.823453845;1.823453845;1.823453845;1.823453845
4.528471371;4.450369033;2.283554284;1.818826909;2.524343566;19.67732237;19.67732237;19.67732237;19.67732237;19.67732237
4.841544276;4.434904416;4.029349779;4.430662012;4.513362684;15.3131322;15.3131322;15.3131322;15.3131322;15.3131322
1.110145041;2.398395448;1.912663209;3.686613613;2.961276875;1.057295017;1.057295017;1.057295017;1.057295017;1.057295017
2.941662121;4.453103842;3.798015888;4.267670044;2.952966766;11.42494716;11.42494716;11.42494716;11.42494716;11.42494716
1.221249103;3.353661467;4.239117793;4.375536717;2.682036355;3.428507489;3.428507489;3.428507489;3.428507489;3.428507489
1.581801246;4.606306059;1.133140391;2.946791556;2.440580901;4.520872547;4.520872547;4.520872547;4.520872547;4.520872547
2.105287776;2.084785249;2.906809374;2.446817045;1.212740134;4.243768399;4.243768399;4.243768399;4.243768399;4.243768399
1.4246456;2.570891708;2.448539545;3.021988241;3.417348577;1.9917629;1.9917629;1.9917629;1.9917629;1.9917629
2.293199821;4.526553566;4.984266298;1.494625962;4.040389617;10.36849141;10.36849141;10.36849141;10.36849141;10.36849141
3.357499688;2.660811601;4.447462059;3.537013788;1.21446982;8.861655215;8.861655215;8.861655215;8.861655215;8.861655215
1.886056656;2.124197743;4.746591105;1.92842516;4.695552159;3.226293405;3.226293405;3.226293405;3.226293405;3.226293405
2.137551752;2.636609364;1.335876872;4.88736102;4.386006784;0.917797681;0.917797681;0.917797681;0.917797681;0.917797681
1.063209373;1.267159306;1.411044533;4.387720982;3.870862864;0.141310651;0.141310651;0.141310651;0.141310651;0.141310651
3.37921005;1.727163928;4.493628765;3.150854449;2.816145449;4.107356079;4.107356079;4.107356079;4.107356079;4.107356079
1.145972548;4.991368823;2.777414486;4.627430137;3.111460655;4.264484811;4.264484811;4.264484811;4.264484811;4.264484811
1.696362142;2.609143085;3.443297763;2.069294957;4.957164046;3.117361181;3.117361181;3.117361181;3.117361181;3.117361181
2.815964045;3.971183572;4.782446133;1.495722295;3.673140597;11.16049973;11.16049973;11.16049973;11.16049973;11.16049973
4.173000535;4.470390141;3.266583656;3.662125674;1.036499131;18.63795605;18.63795605;18.63795605;18.63795605;18.63795605
2.970320438;3.838999247;4.655489651;2.938780698;3.324014482;10.83046198;10.83046198;10.83046198;10.83046198;10.83046198
4.433205293;1.786335497;3.033842126;2.045259357;2.882163193;5.746149559;5.746149559;5.746149559;5.746149559;5.746149559
2.644125541;3.782061981;4.696330204;3.294709265;2.852384811;9.55396785;9.55396785;9.55396785;9.55396785;9.55396785
1.780585169;3.920326211;1.012973171;1.909572747;4.069014132;3.286348999;3.286348999;3.286348999;3.286348999;3.286348999
