C_L?;?;C_L?_e;?_e;S_HT;S_ref;C_L;C_L_noise_0.05;C_L_noise_0.1;C_L_noise_0.3;C_L_noise_1
0.448808734;9.937550616;0.632004904;6.343713778;1.081536557;5.060619131;6.21452062;6.500278266;6.146043391;7.160611769;6.039770769
0.421092269;9.627825628;0.41470611;9.183902365;1.464306211;6.449390435;5.76111828;5.723256866;6.349227745;5.2328963;6.062501536
0.436045752;8.038154119;0.490581811;7.324751202;1.128641877;5.100851527;5.172187222;5.009658164;5.28994364;4.591491031;6.429098729
0.405305997;9.542157461;0.773686208;6.238229061;1.30742806;5.19367641;5.893085522;5.96538953;6.129060089;4.361917346;5.778079435
0.790950175;7.487944515;0.660045456;5.489932789;1.150985934;5.108765253;8.320876235;7.831645533;8.015371789;8.311298263;8.35842764
0.415178502;5.571452662;0.757530789;7.318778909;1.212035828;6.203024941;4.226809621;4.548752529;4.412069242;3.387213522;4.711765315
0.63104799;9.603669605;0.441721458;6.057926637;1.389048247;6.630922275;7.883024373;8.100838326;7.960390452;7.587771878;8.775134685
0.691010495;7.267914389;0.676253417;5.720775955;1.19407587;6.213631542;7.147674518;6.695155426;6.910986874;6.50193248;6.490076068
0.766289582;5.096091661;0.588573665;7.820733622;1.183751067;6.929230414;6.224025256;6.31588915;5.813474824;5.940237818;5.991901734
0.533796826;5.166218223;0.429427322;5.702439621;1.150682727;6.083640373;4.28847668;4.011840331;4.539764313;3.722115329;3.780981636
0.476782189;6.460831993;0.634028536;6.369405723;1.001931515;5.584327169;4.758534907;4.92414056;3.905871516;4.357569144;4.599138716
0.57827857;9.030619606;0.523738645;6.722586296;1.274173562;5.155763606;7.248905858;7.645139601;7.585493545;7.348130172;6.576299819
0.799880549;7.834071941;0.513861427;7.964859157;1.231411577;5.854085502;8.727013756;8.515489887;8.046588673;7.758572242;10.58553007
0.650380375;7.748701077;0.775444023;5.244427847;1.018377772;5.516451514;7.091117893;6.7696948;7.512377729;6.430022142;8.539402773
0.623047847;8.070609668;0.544936068;8.176931337;1.437830636;5.633779662;7.411689815;7.813736943;7.74377008;6.902900564;6.995546278
0.483080307;8.170111138;0.639850067;7.032721353;1.216962855;6.515703495;5.753441556;5.847535142;6.629475882;5.421176178;5.785994785
0.664391739;9.510072813;0.465024414;7.951846886;1.385534866;5.459346671;8.585667628;8.60128163;8.529256483;9.942128755;9.993251997
0.793417567;8.519405978;0.64470897;7.610868954;1.270008123;6.256839309;9.34225883;9.369272034;8.925529902;9.165229396;9.226363328
0.582422667;7.849261073;0.72897678;6.924395549;1.093972656;5.100404725;6.819106111;6.749099111;7.379160608;6.721203357;7.408928774
0.447685667;6.431279767;0.506031107;7.816019569;1.472192743;6.707935954;4.642600871;4.001013365;5.21171891;5.197302762;4.143631252
0.437877392;9.931547238;0.609816221;5.392803911;1.036862537;6.490572431;5.749908477;6.05885289;5.620396539;6.647275508;5.690950868
0.673475151;8.828261093;0.778614256;9.847311138;1.21208719;5.237590088;9.066927342;9.138397722;9.189609681;10.1031836;10.33428371
0.741763268;6.793423233;0.593973039;8.155483313;1.35383744;6.516143229;7.529088658;6.797808208;7.677922764;8.100912343;9.194405708
0.753957532;6.60375026;0.747350026;6.255887468;1.183559384;6.918559349;7.286673294;7.748103348;6.515531065;7.84510679;7.750723011
0.432647235;6.725848883;0.441509173;8.454015572;1.349371561;5.149430598;4.753296061;4.910731617;4.615606385;4.303432663;5.37521024
0.615850885;7.86771676;0.565558474;6.192783452;1.209281328;5.560960229;6.838666708;6.751366562;7.405241661;6.428462562;6.866390169
0.60530616;6.870337634;0.477922004;9.378075608;1.280478697;5.017609832;6.513059831;6.182201091;6.928945969;6.283172748;7.037965911
0.453880448;9.532320269;0.60236574;8.927379466;1.017710859;5.85496459;6.169020846;6.453816642;6.441310411;5.461252378;6.978787829
0.42782467;6.73310396;0.445949579;8.64189221;1.370908325;5.953525658;4.623656455;4.474751328;4.884661809;4.083405183;3.576451201
0.680245892;6.709383248;0.744640628;5.461471927;1.441388362;5.638200157;6.964195631;6.658006158;6.98480237;6.297408387;7.360283747
0.441335107;5.606888631;0.438126539;8.548150144;1.361365958;5.716441143;4.249096635;4.352820297;3.995475053;4.143149805;3.524208108
0.760727767;7.651169077;0.60885063;9.282681191;1.116647494;5.602415956;8.468396071;8.575326453;8.506525282;8.071877278;9.061338195
0.601848993;6.223745152;0.743093104;9.2409566;1.365841269;5.73444897;6.5850211;6.528604207;6.365210563;6.500961787;8.066422506
0.76557872;6.260956817;0.612569902;8.950681438;1.35840514;6.087420781;7.54792338;7.626278837;6.996573105;8.397174949;10.13634624
0.528056429;8.983485852;0.658544299;5.889365188;1.081430318;5.896573933;6.511199436;6.468269026;6.273871003;6.542819015;5.989616969
0.540988314;8.264132099;0.576138481;9.24956104;1.428171258;6.757378559;6.679065041;6.773212481;6.585837758;7.433665433;8.771212584
0.669341483;8.266830286;0.415100016;5.48757067;1.056504359;6.358238364;7.250516695;6.505103086;7.366762125;6.964578759;7.259748158
0.610771211;8.029083956;0.742077688;9.388512536;1.337593539;6.267119876;7.612446156;7.242748133;8.481942375;8.313050229;5.013529695
0.578080034;9.732641141;0.701058712;7.615954034;1.023742904;6.561938302;7.615391139;7.849238355;7.996568055;7.129294827;6.256120157
0.786663673;8.281617885;0.55709083;8.808499408;1.056843722;6.322635698;8.908414546;8.796400351;9.084581872;9.967236255;6.963472938
0.545274065;5.469758913;0.453923598;7.184486297;1.219758678;6.647600063;4.671460199;4.614920057;4.016943536;4.648749684;3.946274801
0.794867121;6.041246342;0.613814893;5.154219721;1.039566469;6.931120057;6.866236507;7.029306053;6.791615423;7.229336014;7.615745587
0.513993795;8.650747306;0.455455678;9.928632046;1.172083322;5.723915509;6.400396324;6.309547496;6.606417111;5.605984392;6.217907736
0.412584482;6.034093366;0.415290339;8.916714594;1.283679458;6.157654717;4.086707858;4.400313443;3.724767691;4.157854414;3.679151628
0.640590179;6.352861412;0.496502165;6.953194746;1.375545516;5.767717129;6.174095937;6.239645381;6.016072963;6.759118148;4.612916898
0.745620623;5.289884665;0.422380652;6.422528103;1.383689145;6.768663987;5.990044598;5.625469982;5.827317936;5.315789924;5.70585673
0.476328866;9.614807282;0.705074761;7.191320103;1.137902808;6.912324166;6.36715731;6.527019299;7.330002476;6.686168781;5.023659514
0.534433924;6.418240604;0.606131046;9.715594833;1.071773866;5.126525188;5.7301576;5.640511956;4.848199314;6.705183688;6.296867722
0.446701989;5.867962912;0.664585191;7.856722594;1.421933288;5.673923828;4.823177079;4.783848158;4.370553063;4.30626101;3.975516222
0.530102395;8.096424903;0.477119277;7.199009418;1.27170229;6.316179481;6.043700345;5.894975935;6.166481487;5.921409341;5.838207216
0.672865293;6.475085921;0.415307529;7.828787576;1.040127425;5.783123502;6.287365627;5.758361099;6.16730081;6.95383171;5.612588064
0.683661254;9.588974945;0.773176168;9.377535685;1.399829395;6.962976811;9.380563303;9.203235938;8.92714248;9.58361162;9.178941248
0.683321527;6.302405385;0.766594119;7.187414961;1.080644943;6.408942566;6.602253255;6.254168348;6.323351199;5.0218899;8.712901984
0.789964037;7.956364334;0.404554511;8.309930319;1.137255516;6.693405216;8.436366037;8.217208208;9.022769651;8.514167593;8.014562207
0.510069675;9.635757054;0.532163899;7.860870135;1.027604416;5.68223506;6.691570967;6.974106129;6.991043191;5.565839737;8.440293123
0.667856381;8.184008786;0.430373134;7.408738982;1.22151723;6.45641034;7.404706068;7.860720802;7.95595526;7.568738024;6.515184021
0.608017154;7.939790247;0.424684347;9.436079477;1.019544895;6.621613261;6.660584605;6.578028469;7.148541156;5.822381412;8.063074955
0.752341849;9.62699893;0.544952713;9.787005605;1.247834295;5.21484391;10.02369409;10.15638038;9.554838612;10.37129561;10.16591177
0.464456639;9.058078803;0.658522352;8.296333829;1.190532221;6.685916043;6.108828164;6.116579706;6.075522348;5.316250436;8.767758438
0.77244859;6.402506173;0.481601724;6.521379429;1.135541815;5.378769583;7.153556205;7.633172049;6.398855467;8.208186328;6.76202025
0.562176702;9.739292831;0.540410769;8.330664165;1.127310359;5.93368348;7.454865341;7.273057371;7.32990344;6.916850684;6.830015631
0.592446112;5.753622775;0.470354421;8.09084337;1.059670145;5.844351514;5.283610501;5.251319345;6.144165118;4.804583595;6.251802062
0.535718569;9.253781802;0.465817072;5.540158968;1.040113707;6.716273662;6.428519311;6.990861626;6.482138097;5.864065364;7.784988809
0.536430086;9.557730344;0.731037866;7.46255714;1.242920157;5.430340286;7.448572924;7.987945813;7.985549828;6.48168359;6.231156555
0.563449042;5.896499882;0.571161134;9.5597887;1.14831049;5.683173534;5.552528898;5.552528898;5.552528898;5.552528898;5.552528898
0.502241985;8.220952465;0.584989499;7.299844382;1.120567244;6.298792913;5.893091698;5.893091698;5.893091698;5.893091698;5.893091698
0.784462072;5.722333869;0.661588211;6.592326515;1.201513724;5.093099562;7.086777722;7.086777722;7.086777722;7.086777722;7.086777722
0.456496111;5.414690615;0.646081566;7.628240692;1.052854139;6.183485972;4.223940894;4.223940894;4.223940894;4.223940894;4.223940894
0.637388932;5.236185757;0.663394554;9.370123924;1.082061499;5.633764509;5.806171695;5.806171695;5.806171695;5.806171695;5.806171695
0.668970636;9.478757566;0.793423741;8.405220917;1.376406882;5.013364145;9.509882453;9.509882453;9.509882453;9.509882453;9.509882453
0.463371501;5.614987495;0.41360981;8.910020033;1.378674305;5.74597292;4.412803014;4.412803014;4.412803014;4.412803014;4.412803014
0.522394269;9.101530206;0.558796612;8.93820562;1.326397929;5.342153197;7.039489732;7.039489732;7.039489732;7.039489732;7.039489732
0.686198072;6.885288622;0.539928261;5.430408171;1.286346645;6.030645072;6.722474986;6.722474986;6.722474986;6.722474986;6.722474986
0.491715164;9.894358336;0.785484118;7.489203115;1.283440197;5.356556763;7.258129421;7.258129421;7.258129421;7.258129421;7.258129421
0.556503657;5.059664706;0.525005689;6.178089985;1.181597995;6.142205058;4.552699172;4.552699172;4.552699172;4.552699172;4.552699172
0.603173273;5.903463589;0.493998626;9.451208172;1.044229219;6.788284632;5.485363731;5.485363731;5.485363731;5.485363731;5.485363731
0.550430346;7.34912579;0.4177186;8.713643088;1.196195117;5.050897234;6.008062013;6.008062013;6.008062013;6.008062013;6.008062013
0.723025475;6.098191804;0.525048796;6.60895503;1.02651407;5.423085957;6.512025803;6.512025803;6.512025803;6.512025803;6.512025803
0.760575105;6.465698777;0.411161757;9.476795256;1.255204631;5.454454258;7.335479648;7.335479648;7.335479648;7.335479648;7.335479648
0.542550995;7.078672264;0.597783552;5.957478215;1.370138168;6.828486862;5.640215188;5.640215188;5.640215188;5.640215188;5.640215188
0.423787923;5.660504965;0.720990368;7.894338202;1.133711148;6.898177913;4.18186363;4.18186363;4.18186363;4.18186363;4.18186363
0.453681787;8.92115388;0.654602864;8.772939924;1.413006257;6.950512925;6.122210861;6.122210861;6.122210861;6.122210861;6.122210861
0.752124829;9.267361236;0.600026057;7.935510384;1.0009695;6.246663009;9.237450202;9.237450202;9.237450202;9.237450202;9.237450202
0.560256024;9.306939215;0.538400461;7.686186039;1.329422758;5.343311427;7.364381768;7.364381768;7.364381768;7.364381768;7.364381768
0.653340026;7.325335412;0.770650029;7.98722797;1.129829771;5.771385189;7.297612618;7.297612618;7.297612618;7.297612618;7.297612618
0.539510302;8.239061454;0.748279575;6.173567483;1.119150801;6.570270901;6.310953551;6.310953551;6.310953551;6.310953551;6.310953551
0.539228031;7.946238217;0.594379908;8.910864698;1.384998766;6.518462861;6.488641858;6.488641858;6.488641858;6.488641858;6.488641858
0.69634809;6.676628917;0.688188757;5.048513702;1.120123206;5.781629024;6.715064968;6.715064968;6.715064968;6.715064968;6.715064968
0.410790515;6.714816331;0.774175211;5.21595641;1.357562387;6.779545193;4.388561497;4.388561497;4.388561497;4.388561497;4.388561497
0.433278793;6.449226841;0.400684146;7.635313718;1.251092067;6.734959905;4.229178198;4.229178198;4.229178198;4.229178198;4.229178198
0.631446945;5.543055204;0.509296366;8.380813408;1.347347395;6.965084746;5.588715677;5.588715677;5.588715677;5.588715677;5.588715677
0.556489245;9.721094265;0.592931212;7.201671058;1.269799834;6.975314874;7.299999364;7.299999364;7.299999364;7.299999364;7.299999364
0.546297905;8.862769397;0.529334386;5.300540947;1.340358607;5.739429804;6.589551417;6.589551417;6.589551417;6.589551417;6.589551417
0.468294499;5.416853476;0.729001652;9.488478568;1.170232522;5.200365648;5.029822758;5.029822758;5.029822758;5.029822758;5.029822758
0.695512877;6.906261045;0.423919757;7.798424691;1.17741806;6.732731983;6.7725551;6.7725551;6.7725551;6.7725551;6.7725551
0.751263693;6.612542947;0.691108866;5.990148803;1.394098729;6.200446479;7.401087108;7.401087108;7.401087108;7.401087108;7.401087108
0.685441453;8.262251984;0.740236477;5.776715785;1.243990273;6.831300805;7.812863732;7.812863732;7.812863732;7.812863732;7.812863732
0.486608514;5.248679953;0.585809677;8.623216099;1.215659595;6.745104271;4.437704762;4.437704762;4.437704762;4.437704762;4.437704762
0.619274745;8.134452325;0.402790221;5.203720536;1.250024305;5.650995467;6.739656239;6.739656239;6.739656239;6.739656239;6.739656239
0.431802847;7.768235573;0.70224918;8.298243117;1.225218052;6.093411214;5.389689337;5.389689337;5.389689337;5.389689337;5.389689337
0.737336742;5.581374965;0.441668511;8.351206428;1.214638673;5.263264103;6.441238042;6.441238042;6.441238042;6.441238042;6.441238042
0.623945905;8.951694582;0.481412965;5.058622609;1.165644618;5.018184478;7.3989434;7.3989434;7.3989434;7.3989434;7.3989434
0.670204978;8.543924482;0.594785693;7.357187181;1.400705736;6.619250588;7.992589429;7.992589429;7.992589429;7.992589429;7.992589429
0.570047989;9.493696942;0.489985588;5.740370433;1.375653109;6.778680935;7.122762779;7.122762779;7.122762779;7.122762779;7.122762779
0.627829995;9.267489879;0.582327864;5.801291136;1.259792787;5.685277758;7.822650601;7.822650601;7.822650601;7.822650601;7.822650601
0.607673824;7.759989513;0.63409629;5.80081873;1.334185574;6.590208356;6.675556277;6.675556277;6.675556277;6.675556277;6.675556277
0.543416076;8.426909571;0.657483622;9.095896146;1.087641403;5.193621809;6.918558305;6.918558305;6.918558305;6.918558305;6.918558305
0.629055989;9.205968479;0.456577008;8.541138565;1.125396325;6.29170422;7.746718188;7.746718188;7.746718188;7.746718188;7.746718188
0.598336295;9.916178189;0.732337963;8.30349225;1.425430939;5.589738638;8.680579136;8.680579136;8.680579136;8.680579136;8.680579136
0.676483754;5.232696595;0.731000109;7.576224238;1.313054884;6.749729409;5.970176462;5.970176462;5.970176462;5.970176462;5.970176462
0.652308985;5.255934971;0.460985508;9.999403937;1.232257098;6.028565841;5.675323741;5.675323741;5.675323741;5.675323741;5.675323741
0.787403246;5.499636062;0.673676553;6.117769999;1.331219785;6.143968558;6.798225232;6.798225232;6.798225232;6.798225232;6.798225232
0.778538663;6.422573262;0.765332377;7.752143539;1.438742323;5.482789678;8.114172419;8.114172419;8.114172419;8.114172419;8.114172419
0.74112328;5.378854647;0.603284377;6.074561188;1.011425179;5.713294886;6.11740103;6.11740103;6.11740103;6.11740103;6.11740103
0.664392312;8.947495494;0.643608526;5.190228147;1.062851447;6.191281651;7.846888037;7.846888037;7.846888037;7.846888037;7.846888037
0.749404126;7.29645207;0.420394137;9.507286571;1.07154265;5.80146001;7.705018835;7.705018835;7.705018835;7.705018835;7.705018835
0.479710471;7.855873338;0.55742691;5.894490459;1.410877843;5.464272804;5.576347238;5.576347238;5.576347238;5.576347238;5.576347238
0.556433415;8.37230816;0.485047327;6.11729365;1.053511177;5.077506845;6.387146289;6.387146289;6.387146289;6.387146289;6.387146289
0.596067943;7.54857982;0.768425227;9.271801509;1.147701269;5.613317592;7.148318654;7.148318654;7.148318654;7.148318654;7.148318654
0.525299896;6.705217121;0.621298093;5.390299985;1.201081611;6.19673684;5.221965804;5.221965804;5.221965804;5.221965804;5.221965804
0.595338344;5.022431525;0.774380539;6.804754687;1.125315921;6.564657764;5.084017072;5.084017072;5.084017072;5.084017072;5.084017072
0.765488848;9.400393282;0.663332911;8.778485253;1.230349698;6.219157792;9.878862358;9.878862358;9.878862358;9.878862358;9.878862358
0.515806166;7.62950105;0.433881073;8.153753898;1.380561982;6.713305504;5.694480815;5.694480815;5.694480815;5.694480815;5.694480815
0.631066133;8.226763486;0.630262471;7.180646544;1.011112452;5.436972665;7.295405905;7.295405905;7.295405905;7.295405905;7.295405905
0.724065836;7.895455696;0.663966429;5.187492447;1.02898351;6.585478018;7.70313788;7.70313788;7.70313788;7.70313788;7.70313788
0.568174974;5.377943353;0.504916937;6.921569594;1.486285566;5.475987332;5.140521782;5.140521782;5.140521782;5.140521782;5.140521782
0.719422221;8.093145565;0.472648868;5.086399182;1.472661792;6.092442448;7.842346271;7.842346271;7.842346271;7.842346271;7.842346271
0.525117944;7.92578847;0.520131826;6.773095807;1.22547886;6.576004499;5.868724209;5.868724209;5.868724209;5.868724209;5.868724209
0.662694905;9.903874638;0.559637775;8.116937521;1.395439717;6.03551186;8.938895548;8.938895548;8.938895548;8.938895548;8.938895548
0.721233908;5.755236967;0.415400738;9.661287061;1.441356553;6.633128717;6.465417704;6.465417704;6.465417704;6.465417704;6.465417704
0.575503065;6.470563505;0.726847251;7.680632382;1.044445234;6.90448562;5.719325186;5.719325186;5.719325186;5.719325186;5.719325186
0.690796951;8.620357787;0.623026594;7.841619444;1.458892884;6.863236407;8.375011477;8.375011477;8.375011477;8.375011477;8.375011477
0.770529682;9.425441455;0.676205412;8.678022746;1.297677863;5.430301457;10.20594645;10.20594645;10.20594645;10.20594645;10.20594645
0.63668398;8.048493099;0.555883314;5.332860854;1.348341169;6.40995251;7.021289834;7.021289834;7.021289834;7.021289834;7.021289834
0.582296985;7.50990595;0.711644244;6.971228763;1.329513904;5.922111438;6.651341782;6.651341782;6.651341782;6.651341782;6.651341782
0.474302821;9.365619925;0.670009065;5.479272208;1.441591748;5.846613683;6.295939131;6.295939131;6.295939131;6.295939131;6.295939131
0.748375297;7.899243071;0.486553442;5.630094418;1.100556208;6.962396627;7.841360739;7.841360739;7.841360739;7.841360739;7.841360739
0.643210558;8.163751431;0.518328948;7.030213754;1.155099253;6.044900404;7.233744653;7.233744653;7.233744653;7.233744653;7.233744653
0.680329195;5.923064307;0.429357397;7.055711836;1.171087989;6.609620165;5.927042894;5.927042894;5.927042894;5.927042894;5.927042894
0.779033438;9.225895721;0.719719348;6.226500053;1.232683449;5.596851389;9.732343157;9.732343157;9.732343157;9.732343157;9.732343157
0.603769733;8.976215147;0.744884816;5.167162442;1.321033357;6.5727394;7.4006925;7.4006925;7.4006925;7.4006925;7.4006925
0.458742399;8.543828573;0.524310508;9.93886917;1.317229736;6.428227038;5.904715809;5.904715809;5.904715809;5.904715809;5.904715809
0.74862082;7.739613077;0.428569252;7.83082363;1.100830352;5.438071047;7.970643381;7.970643381;7.970643381;7.970643381;7.970643381
0.617846212;8.620947981;0.463128847;9.716857477;1.169194051;5.695946462;7.485849529;7.485849529;7.485849529;7.485849529;7.485849529
0.50760303;9.276279189;0.493174797;7.524391064;1.002860385;6.850485621;6.267112999;6.267112999;6.267112999;6.267112999;6.267112999
0.655398608;9.431186176;0.419322351;7.658688265;1.493383709;6.711836937;8.206533163;8.206533163;8.206533163;8.206533163;8.206533163
0.618763528;6.47074041;0.537569724;8.00058858;1.404836333;5.922367667;6.261589418;6.261589418;6.261589418;6.261589418;6.261589418
0.538859998;9.08886299;0.512901738;7.159162439;1.307421569;6.076529585;6.765398036;6.765398036;6.765398036;6.765398036;6.765398036
0.77790211;8.041865583;0.596511484;5.358363682;1.085833763;6.005298684;8.389524398;8.389524398;8.389524398;8.389524398;8.389524398
0.785501765;7.386737322;0.64889635;6.984467386;1.095982209;6.377203564;8.152198998;8.152198998;8.152198998;8.152198998;8.152198998
0.568141631;6.778599363;0.643949579;9.80811556;1.396861329;5.558879899;6.574584649;6.574584649;6.574584649;6.574584649;6.574584649
0.708590158;6.367867088;0.74174012;9.926536516;1.195497624;6.150981677;7.360434938;7.360434938;7.360434938;7.360434938;7.360434938
0.773954284;5.925810505;0.607255888;5.773355052;1.430510381;5.985105267;6.972167145;6.972167145;6.972167145;6.972167145;6.972167145
0.745324571;9.027720589;0.503547842;7.906296728;1.394479625;6.117449812;9.126749871;9.126749871;9.126749871;9.126749871;9.126749871
0.532114403;5.436548628;0.742841962;5.098079452;1.269134289;6.027785728;4.754451613;4.754451613;4.754451613;4.754451613;4.754451613
0.566442915;5.450651304;0.681536297;5.34973006;1.092591028;6.07923203;4.875652954;4.875652954;4.875652954;4.875652954;4.875652954
0.451192488;5.276617669;0.43480855;9.74085645;1.338585623;5.590749068;4.297233262;4.297233262;4.297233262;4.297233262;4.297233262
0.779310544;5.019827456;0.597363913;5.268942295;1.338837179;6.004807547;6.17238957;6.17238957;6.17238957;6.17238957;6.17238957
0.716469114;9.237224769;0.794388517;5.713633564;1.241459312;5.876925702;9.00992361;9.00992361;9.00992361;9.00992361;9.00992361
0.625537609;6.744923251;0.499634866;5.207113628;1.039288192;6.691429885;5.874357918;5.874357918;5.874357918;5.874357918;5.874357918
0.66818985;5.51353149;0.428016632;5.680986284;1.191292499;5.991496117;5.50393323;5.50393323;5.50393323;5.50393323;5.50393323
0.513179061;5.084849531;0.774344875;5.148421483;1.08649059;5.143464054;4.477925742;4.477925742;4.477925742;4.477925742;4.477925742
0.72514753;6.520654603;0.537002012;7.16053525;1.163876684;6.204262343;6.900068651;6.900068651;6.900068651;6.900068651;6.900068651
0.601117396;8.361470871;0.514241851;8.470151436;1.335245425;5.533478185;7.27950582;7.27950582;7.27950582;7.27950582;7.27950582
