m;v;c;E_n;E_n_noise_0.05;E_n_noise_0.1;E_n_noise_0.3;E_n_noise_1
3.575132448;1.486425267;5.559973132;114.6938696;140.0325102;129.4758218;146.407762;-1.351239925
4.165184552;1.107198801;4.058226604;71.30228242;12.97296031;92.62578636;53.88476366;1.147046979
3.908901594;1.988711275;3.795685889;66.11811375;39.31139355;34.67280138;125.7035196;-24.96613092
3.739794757;1.323294293;4.957441583;95.37049937;120.9171191;108.1708929;129.5264513;26.37854125
2.945783082;1.112876285;9.212614307;251.8596516;217.9583017;228.9673521;165.1514487;265.0943657
1.583836496;1.54711806;5.580680971;51.33928237;61.84846272;34.9802775;105.4959698;-118.0916349
4.064207366;1.56438172;6.723517383;188.9099151;175.6910562;199.0676307;254.2136866;123.1131471
3.70769065;1.850100568;6.453093608;161.1627356;126.0197058;174.4792048;269.8599743;247.3087983
4.689597248;1.933053362;4.724875393;114.7342783;111.526207;54.90589153;58.11807175;120.9672843
1.580570617;1.114485549;5.890699697;55.85510165;32.68934275;68.11121215;144.5252256;102.8099565
1.98251877;1.34349716;6.620431783;88.74046654;80.95590473;80.17294371;77.57403025;112.5107572
4.08189083;1.558863328;8.164273691;277.1793973;267.8894918;337.0651791;260.9524399;356.5732592
1.922044394;1.521134149;4.022543338;33.59497026;-9.305062524;-32.05218222;78.1629943;1.347625409
2.480605585;1.934258517;9.57496408;232.209215;303.7518455;209.3699876;344.9801176;270.1479499
2.697430264;1.764039278;4.983409321;71.62665414;17.00853034;94.24489098;11.80605229;-112.4233691
2.065424416;1.757293285;3.854132605;34.47228516;18.09260715;9.288347429;74.07970825;21.6276634
2.643798398;1.047250117;3.462289197;33.24988801;72.58908643;47.27588045;28.10982718;101.2130338
1.598727148;1.74621349;4.893619449;40.9835876;15.14612573;-24.49709331;39.20667783;42.98515159
2.48622585;1.735304062;4.865951121;63.01058165;52.32071537;72.53315373;64.90373893;83.60297751
2.566769072;1.570419818;8.220355683;176.7019535;205.2084349;140.2993644;236.928683;121.0544783
3.288166312;1.353460586;9.53442842;301.9698467;334.8754936;291.6928496;301.6048401;419.4029112
1.888161678;1.856403819;7.788737918;117.9433184;134.9917853;147.5258269;114.2391276;7.833594268
3.343524548;1.501007788;3.198130024;38.72819113;62.85479024;48.01166509;12.39020966;-255.1286295
4.476329489;1.166696985;9.41305675;399.7101336;419.3572367;394.565142;333.5191372;402.3252607
4.1033606;1.575399293;8.610055766;309.41824;303.2769038;326.2769674;207.6127154;373.8297143
2.061500077;1.634761812;6.032887909;77.94605745;93.85052442;122.4652078;8.038635657;47.20774227
1.8139208;1.199023926;7.34060429;99.07274795;87.53787844;166.683885;36.25836454;-15.07999696
1.17389254;1.488930003;4.378898074;23.93523188;-5.394284461;82.61678537;37.25855001;143.079274
1.597624252;1.517328815;7.602582538;94.23742745;57.4307535;98.03489186;109.289413;189.0711587
1.392567812;1.844913376;6.954002034;69.84486815;103.142485;12.41476284;80.9012917;-11.21255645
3.370887219;1.452378646;9.166764567;286.8778616;301.5356309;358.2286477;283.7305657;175.8372838
3.327131512;1.355204871;8.214092888;227.6050566;264.4459308;232.4837751;178.8595419;271.3303998
2.152554389;1.637482364;6.58994418;96.50654477;131.9920117;127.0181497;80.39947752;180.7778124
3.728448122;1.102389609;8.2613492;256.7624097;201.0737021;242.8865415;203.9629124;225.5829103
4.464648693;1.067386903;3.688392341;63.45324277;70.1940101;52.93846478;76.59899034;198.2026952
1.81947917;1.242788913;8.957240957;147.4064869;168.4298865;158.2020366;131.1346233;83.07967219
2.601109895;1.052681334;3.298936266;29.86933769;53.90830827;-36.12467236;6.514781632;62.10295192
1.99372617;1.649498087;7.159615053;105.0238716;112.3417231;123.5512524;93.94044525;392.6358057
1.069388798;1.7077988;9.293039461;93.95316228;82.64013506;92.84998221;61.86465831;75.99012456
3.537239479;1.688477447;8.821670571;280.4597636;292.0951063;283.5829024;376.1993395;289.8140788
1.00130792;1.351153061;7.693927053;60.20963813;83.65940738;30.70887088;90.65793331;-145.4116701
4.856894599;1.824820053;8.68354814;374.5940667;358.9109803;313.4067593;440.3982971;432.8204674
2.824749574;1.954479194;3.025612012;33.87500342;28.06270011;24.75443509;114.2143662;195.703603
4.110619287;1.269014924;7.093808937;210.2465879;222.0962304;266.6403299;234.4892345;273.4095442
2.699519207;1.20358679;6.115137973;102.9622817;89.56323006;102.6497478;149.2581753;71.42897079
1.511474855;1.861585365;5.792821658;53.56129281;84.2352064;-6.321823916;18.81980665;201.5504447
1.278712359;1.925859195;3.68294307;20.34822675;6.106749964;-44.80326217;-43.54238208;-34.48620142
2.838951051;1.344320453;4.48051864;59.74465446;117.3649892;7.512584219;75.72704084;76.39841584
1.974590413;1.620624556;3.919447951;33.31510607;84.09602409;27.90076002;33.79119601;105.6583042
4.971390481;1.769377163;5.582412716;163.3472134;151.0280704;172.0115188;176.1947923;102.4597817
2.441249347;1.007457101;6.749184857;112.4625534;110.5179951;70.03171337;154.5870636;-21.93984303
3.555575722;1.447910218;7.140162998;185.1161684;184.6991989;151.7658661;265.9968766;248.0095611
2.508862734;1.901830233;8.030679384;166.538558;172.6937003;171.8212812;104.4965188;-49.0393027
4.063085432;1.552592377;5.709474519;137.6354772;124.9609421;111.7431879;105.2813334;108.0116321
2.811309874;1.786886626;3.379445926;37.8273779;33.90101793;9.832205751;8.848093801;-50.26443676
3.576060773;1.91424229;8.7226527;278.8819037;289.6638015;241.0562762;249.6650232;355.3991277
2.20399253;1.992269943;7.910135718;142.4980794;110.9569628;143.5381749;135.890619;8.319805993
4.081347037;1.776466055;5.807657522;144.5896163;105.7202989;133.3742924;191.8735616;55.24619037
4.29380711;1.518591092;5.860109464;152.6683288;178.6533074;183.263284;107.3010687;174.2843048
3.112681906;1.188461497;9.607992139;289.5663924;285.0321174;308.0747376;315.3002336;383.9753766
3.932726663;1.897797956;8.760104174;309.1367695;291.0018981;305.9399415;342.0160679;293.9144034
4.386225518;1.063242647;8.376849662;310.2981528;317.6505722;312.7408851;383.5622883;261.1889374
2.611803871;1.52909894;5.784016173;90.60085457;114.4246268;79.25833197;122.4177755;43.15659204
2.270932873;1.311002376;9.003634197;186.077295;140.2898123;112.2591239;109.3512545;313.5634058
2.571029537;1.104236734;4.426445362;52.01990931;66.84122451;21.86886639;54.42846239;137.9820204
1.047023506;1.559920201;9.467156045;95.14204972;130.8561364;64.87425782;117.0428654;73.57651628
2.408674544;1.562547827;3.429990366;31.83262856;42.79365113;1.076733229;25.92506275;18.08212821
3.939517149;1.195067877;7.633979053;232.4517165;260.2481495;277.8454551;275.1858159;340.3438196
3.084477434;1.317162824;8.564444418;228.9695975;228.9695975;228.9695975;228.9695975;228.9695975
3.328923971;1.4108595;4.693227779;76.88024405;76.88024405;76.88024405;76.88024405;76.88024405
4.789512946;1.877793419;9.975799985;485.3113797;485.3113797;485.3113797;485.3113797;485.3113797
2.100982386;1.682274995;7.022944829;106.7314587;106.7314587;106.7314587;106.7314587;106.7314587
3.054442007;1.452820904;7.567809344;178.2486174;178.2486174;178.2486174;178.2486174;178.2486174
2.971819173;1.415756732;9.819366103;289.5682203;289.5682203;289.5682203;289.5682203;289.5682203
3.86662926;1.195533138;9.483040464;350.5151217;350.5151217;350.5151217;350.5151217;350.5151217
2.031473705;1.815711454;6.547918009;90.65497969;90.65497969;90.65497969;90.65497969;90.65497969
1.483789735;1.764617196;5.162445331;42.07881502;42.07881502;42.07881502;42.07881502;42.07881502
4.787109849;1.818408916;6.950600002;239.6147877;239.6147877;239.6147877;239.6147877;239.6147877
4.808835843;1.563987454;8.190483067;328.6432333;328.6432333;328.6432333;328.6432333;328.6432333
3.700033839;1.8253411;4.542940634;83.38981625;83.38981625;83.38981625;83.38981625;83.38981625
1.029257226;1.997170412;9.041125214;86.2644953;86.2644953;86.2644953;86.2644953;86.2644953
4.80095472;1.218575827;7.210481489;253.249398;253.249398;253.249398;253.249398;253.249398
1.497437986;1.675124388;7.875129646;95.04264006;95.04264006;95.04264006;95.04264006;95.04264006
4.3911514;1.200882737;9.177875379;373.0891242;373.0891242;373.0891242;373.0891242;373.0891242
1.545003818;1.971124741;4.976088216;41.66475815;41.66475815;41.66475815;41.66475815;41.66475815
4.124683861;1.419228625;3.331897656;50.61129226;50.61129226;50.61129226;50.61129226;50.61129226
2.635878518;1.375248815;9.462094215;238.5262686;238.5262686;238.5262686;238.5262686;238.5262686
4.841329262;1.231671982;6.209815138;190.4746032;190.4746032;190.4746032;190.4746032;190.4746032
4.463673444;1.121043443;3.678999063;63.43258386;63.43258386;63.43258386;63.43258386;63.43258386
4.200641664;1.882208946;3.394972802;58.17520713;58.17520713;58.17520713;58.17520713;58.17520713
1.832177688;1.013079374;6.434089207;76.80564381;76.80564381;76.80564381;76.80564381;76.80564381
1.032723215;1.306845199;3.471643925;13.43492979;13.43492979;13.43492979;13.43492979;13.43492979
3.899707769;1.707357968;7.772546872;241.4893363;241.4893363;241.4893363;241.4893363;241.4893363
4.245410611;1.59178387;4.276790968;83.66324997;83.66324997;83.66324997;83.66324997;83.66324997
4.65438144;1.36608878;9.248976508;402.5677643;402.5677643;402.5677643;402.5677643;402.5677643
1.658368195;1.470187728;3.219727649;19.32386254;19.32386254;19.32386254;19.32386254;19.32386254
1.841229697;1.398901075;9.397319771;164.4303721;164.4303721;164.4303721;164.4303721;164.4303721
2.445197215;1.031762707;5.039201958;63.43615598;63.43615598;63.43615598;63.43615598;63.43615598
3.975098052;1.916021703;9.428636025;360.9135711;360.9135711;360.9135711;360.9135711;360.9135711
3.028805341;1.389149613;7.659956526;180.7114712;180.7114712;180.7114712;180.7114712;180.7114712
1.018158295;1.961423851;9.550888122;94.89858612;94.89858612;94.89858612;94.89858612;94.89858612
3.70463003;1.94904991;4.570337736;85.55176393;85.55176393;85.55176393;85.55176393;85.55176393
2.304907269;1.108199321;3.207730775;25.2725344;25.2725344;25.2725344;25.2725344;25.2725344
2.718321985;1.510932961;9.665786696;257.1267447;257.1267447;257.1267447;257.1267447;257.1267447
1.50922271;1.539662145;6.675408647;69.11613715;69.11613715;69.11613715;69.11613715;69.11613715
2.13497985;1.874947789;8.709244913;165.8286228;165.8286228;165.8286228;165.8286228;165.8286228
1.119226445;1.325571813;3.471652836;14.59515615;14.59515615;14.59515615;14.59515615;14.59515615
3.704449902;1.708858953;8.844985064;295.3782028;295.3782028;295.3782028;295.3782028;295.3782028
1.840588483;1.02151683;3.073645;18.43656644;18.43656644;18.43656644;18.43656644;18.43656644
2.51850514;1.245691353;6.892913941;121.6631241;121.6631241;121.6631241;121.6631241;121.6631241
2.714684777;1.65744246;5.691739857;91.92868943;91.92868943;91.92868943;91.92868943;91.92868943
2.703136534;1.636911216;7.488684073;155.3496137;155.3496137;155.3496137;155.3496137;155.3496137
1.890947171;1.717257009;4.256322319;37.43938163;37.43938163;37.43938163;37.43938163;37.43938163
1.526591784;1.642323692;5.38605655;46.50028312;46.50028312;46.50028312;46.50028312;46.50028312
3.619238777;1.491351064;7.905375243;230.3197175;230.3197175;230.3197175;230.3197175;230.3197175
4.176650056;1.730136433;5.32663962;125.2981452;125.2981452;125.2981452;125.2981452;125.2981452
4.380988404;1.984566225;9.349990811;391.9263709;391.9263709;391.9263709;391.9263709;391.9263709
2.56429189;1.133417674;7.612959681;150.2940501;150.2940501;150.2940501;150.2940501;150.2940501
4.246755696;1.08858191;4.517079174;89.28223723;89.28223723;89.28223723;89.28223723;89.28223723
2.841681453;1.989889662;8.902414794;231.0577937;231.0577937;231.0577937;231.0577937;231.0577937
3.962767381;1.397406724;9.471950433;359.4644157;359.4644157;359.4644157;359.4644157;359.4644157
1.809795283;1.479701118;8.986587522;148.1793213;148.1793213;148.1793213;148.1793213;148.1793213
3.660356623;1.025186072;4.5252225;76.95634885;76.95634885;76.95634885;76.95634885;76.95634885
1.74654193;1.691050311;3.015702723;19.18372446;19.18372446;19.18372446;19.18372446;19.18372446
2.965848034;1.21193694;5.999312058;108.9931684;108.9931684;108.9931684;108.9931684;108.9931684
4.30967594;1.129176128;4.483301263;89.50997822;89.50997822;89.50997822;89.50997822;89.50997822
2.552828124;1.699965012;4.681558484;60.0491044;60.0491044;60.0491044;60.0491044;60.0491044
2.844590106;1.274649621;7.523668095;163.3814913;163.3814913;163.3814913;163.3814913;163.3814913
3.132927761;1.483599718;5.061634739;83.95332281;83.95332281;83.95332281;83.95332281;83.95332281
4.356811661;1.840066884;6.641503844;200.0065929;200.0065929;200.0065929;200.0065929;200.0065929
3.899477786;1.887871039;4.785705535;97.19149363;97.19149363;97.19149363;97.19149363;97.19149363
3.524997562;1.870010797;7.211610574;189.8183759;189.8183759;189.8183759;189.8183759;189.8183759
1.601830124;1.800311944;9.943195721;161.0298488;161.0298488;161.0298488;161.0298488;161.0298488
2.002940331;1.436290875;3.827844579;31.66119499;31.66119499;31.66119499;31.66119499;31.66119499
2.778004854;1.8140522;4.242778936;55.31872386;55.31872386;55.31872386;55.31872386;55.31872386
1.441669179;1.777135248;6.655958106;66.27448694;66.27448694;66.27448694;66.27448694;66.27448694
1.403701934;1.012278588;3.702423093;20.00405882;20.00405882;20.00405882;20.00405882;20.00405882
4.379034566;1.915768646;4.421809547;94.99980845;94.99980845;94.99980845;94.99980845;94.99980845
4.984940003;1.090745316;6.615395441;221.1854252;221.1854252;221.1854252;221.1854252;221.1854252
4.015949931;1.262489318;7.411710026;223.8818098;223.8818098;223.8818098;223.8818098;223.8818098
2.66392541;1.397283054;4.591603849;58.95938895;58.95938895;58.95938895;58.95938895;58.95938895
3.533618432;1.944525219;9.620130995;333.918065;333.918065;333.918065;333.918065;333.918065
1.368457663;1.244488797;7.937114872;87.28946095;87.28946095;87.28946095;87.28946095;87.28946095
4.951955036;1.931819726;7.600720802;295.7925714;295.7925714;295.7925714;295.7925714;295.7925714
2.87680043;1.161196118;4.59964345;62.90108832;62.90108832;62.90108832;62.90108832;62.90108832
4.699254229;1.731054078;3.567785773;68.40880309;68.40880309;68.40880309;68.40880309;68.40880309
2.462780344;1.201940903;8.851151676;194.7452496;194.7452496;194.7452496;194.7452496;194.7452496
4.11414439;1.501649956;6.254629932;165.7962326;165.7962326;165.7962326;165.7962326;165.7962326
2.316208422;1.531507203;5.165688847;64.7161308;64.7161308;64.7161308;64.7161308;64.7161308
3.948382037;1.005343986;4.909438536;97.22659919;97.22659919;97.22659919;97.22659919;97.22659919
1.250727139;1.630828648;6.093957909;48.20565046;48.20565046;48.20565046;48.20565046;48.20565046
3.606539637;1.253872437;4.321326068;70.37568763;70.37568763;70.37568763;70.37568763;70.37568763
1.317293227;1.305581217;9.17476828;112.0250005;112.0250005;112.0250005;112.0250005;112.0250005
1.914472223;1.743616894;3.035184669;21.54697612;21.54697612;21.54697612;21.54697612;21.54697612
2.836709342;1.939652018;4.860906317;73.09869519;73.09869519;73.09869519;73.09869519;73.09869519
2.487019787;1.369562536;9.1787343;211.9014735;211.9014735;211.9014735;211.9014735;211.9014735
1.988760508;1.768237444;6.931481965;98.82044627;98.82044627;98.82044627;98.82044627;98.82044627
1.757465825;1.593013762;8.400566297;126.3154666;126.3154666;126.3154666;126.3154666;126.3154666
1.512507607;1.060982597;9.645411053;141.5736707;141.5736707;141.5736707;141.5736707;141.5736707
1.58266798;1.549673674;7.654955468;94.70258136;94.70258136;94.70258136;94.70258136;94.70258136
1.575996115;1.067093529;3.657353636;22.03985946;22.03985946;22.03985946;22.03985946;22.03985946
4.106093993;1.984242392;8.698933365;319.1271085;319.1271085;319.1271085;319.1271085;319.1271085
3.017870752;1.066186149;5.68529888;99.30739806;99.30739806;99.30739806;99.30739806;99.30739806
4.866062802;1.153299358;3.885769148;76.94065535;76.94065535;76.94065535;76.94065535;76.94065535
1.930344083;1.368136404;5.913518181;69.38607443;69.38607443;69.38607443;69.38607443;69.38607443
3.689722414;1.124775284;9.185766962;313.6931066;313.6931066;313.6931066;313.6931066;313.6931066
1.187324882;1.511814019;3.998301923;20.50325355;20.50325355;20.50325355;20.50325355;20.50325355
3.259653719;1.319964138;3.942450988;53.76766337;53.76766337;53.76766337;53.76766337;53.76766337
