epsilon;c;Ef;r;omega;omega_0;Pwr;Pwr_noise_0.05;Pwr_noise_0.1;Pwr_noise_0.3;Pwr_noise_1
1.404450155;1.436035455;1.875261963;1.495402023;1.739943795;4.543359306;1.962410384;3.052980123;1.643501228;1.80380753;2.422064015
1.646735059;1.079112971;1.271431267;1.913434637;1.083507608;3.377112833;0.580085851;1.548891425;-0.265738697;3.955200317;3.918157257
1.126507991;1.184906913;1.318552642;1.305553316;1.772925107;4.730749556;0.442374867;-0.569192675;1.83510075;-3.090402562;0.052817765
1.59341411;1.165235687;1.149634265;1.869541948;1.181389567;4.200799153;0.264991226;0.535938313;-1.001525021;0.36437599;-9.35845113
1.625136079;1.272144957;1.310273681;1.210793687;1.955058167;3.460853026;4.787880654;4.945325782;7.332417428;4.995888489;5.492464081
1.526616848;1.328141128;1.931949078;1.416730926;1.902410934;3.277231148;16.43444339;17.52523279;14.56199595;15.61555928;15.88052386
1.68791594;1.795683199;1.853509319;1.882603592;1.819203681;4.437438631;6.309600683;5.645954279;6.972474563;8.53409338;9.706356447
1.409412177;1.525982209;1.558957005;1.925968459;1.514976315;4.37508707;1.507510857;3.644128296;-0.839896613;6.585675398;5.892830185
1.560435906;1.598749267;1.68949876;1.425329988;1.508352905;3.78099837;2.170726743;1.828985034;3.257721633;2.409908801;-5.475023337
1.544069502;1.7712146;1.999727168;1.442736188;1.276770601;4.267147668;0.921951198;0.684361649;3.472685041;0.024641398;1.248090138
1.879576772;1.506776536;1.847762187;1.010470099;1.178451208;4.956955914;0.148407664;0.227281404;-0.470675657;0.443172385;-3.536072424
1.937771963;1.193409068;1.90752321;1.5509642;1.022298367;3.719077688;0.566415154;-1.249958637;0.640146205;0.420131234;2.693037646
1.730252518;1.583719243;1.310944465;1.949198431;1.610789468;4.009090527;2.777478022;3.068478738;4.612959627;5.206402564;7.786662863
1.439205452;1.133673049;1.750215656;1.227124186;1.037394654;4.344651765;0.115240362;0.207974444;2.167994578;4.776701238;8.343296825
1.806419125;1.262667512;1.181348274;1.287627523;1.32699515;4.454784963;0.209609818;-0.018763763;-0.032143792;1.709031365;3.190283345
1.689582307;1.408619561;1.36638106;1.607726197;1.98602246;4.404903787;3.13191097;2.820278473;4.020363046;3.145992616;1.389456003
1.519228785;1.538739228;1.760701326;1.610141739;1.52282909;3.978113477;2.320081522;2.247525554;4.378434521;4.604261086;-0.156096762
1.541631895;1.406727807;1.44950335;1.50180932;1.098740651;3.476905855;0.529833245;0.811345055;1.651238572;-2.163128605;-1.175929167
1.809607889;1.855462212;1.232664708;1.774319591;1.897169215;3.406800687;13.59437091;14.21121288;15.34399655;12.39746678;15.53433964
1.236379313;1.408251635;1.247822348;1.758351383;1.276773423;3.194947728;1.268140072;1.715619894;0.871666788;2.231116912;4.614442241
1.851091853;1.715660179;1.091669695;1.812031314;1.008833147;4.904088381;0.101639626;0.607514074;0.950874576;-1.597767635;2.362418806
1.064859719;1.145422141;1.94417254;1.981353649;1.139372598;4.162821337;0.497149303;1.466465388;1.530787436;-1.001586817;-0.371388284
1.799671703;1.013456445;1.707747096;1.950932962;1.631073516;3.376800094;7.853328552;6.620247332;6.951244206;9.574474188;3.578333339
1.917056949;1.448941336;1.002472375;1.168153635;1.200154457;4.063201283;0.145775789;-0.146410278;-2.219375938;0.095311797;-3.186949704
1.229660271;1.413212319;1.664760134;1.931381179;1.150238601;4.396882272;0.406132488;-0.9402579;-1.211692893;3.579784027;7.516286571
1.998905162;1.621359394;1.943696493;1.85380483;1.417821229;4.223351288;2.843559341;2.830176159;1.607168951;-0.760002273;3.877789036
1.536112836;1.077660924;1.200038546;1.668684788;1.734083385;3.966117028;1.553213133;1.747384996;1.936745499;4.519043107;-4.200754262
1.260826554;1.06100836;1.139583021;1.877072292;1.385199985;3.53389788;0.844977162;0.523948152;0.335294451;3.728812211;0.672607834
1.126763345;1.141592806;1.892871247;1.474753579;1.953979004;4.234838262;3.071714765;1.931255892;1.646485146;-0.452734587;2.465785961
1.117319993;1.189399605;1.648364045;1.206890757;1.174590234;4.410168466;0.128430763;-0.78744927;-1.045037302;-3.261509113;-3.197002432
1.385932305;1.184364279;1.232900642;1.907919332;1.939910703;4.022213948;3.495658544;2.472481044;4.78793829;1.422081809;5.82565815
1.048285508;1.818868254;1.771222958;1.212127774;1.442297639;3.877547585;0.949176979;1.640688852;-0.89913841;3.733375597;5.552023591
1.687792918;1.055324637;1.719465633;1.017332027;1.230353082;4.185856427;0.204160398;0.695259507;-1.381472576;-3.578470044;-5.702149975
1.918794438;1.865090989;1.768884726;1.524609857;1.599529725;3.256290861;11.02701066;11.30829539;11.2361426;12.67852515;11.25333896
1.915376978;1.378945725;1.017720556;1.021835449;1.523915919;3.229631507;0.981531385;0.297044333;-0.47813051;0.323299782;-3.144711425
1.02109761;1.729312792;1.717364119;1.263986954;1.14403457;4.922177239;0.113659076;0.769869835;-2.36569749;1.723557018;-2.550448234
1.175031432;1.979841884;1.470555311;1.22449779;1.865325916;3.375994998;6.101632592;6.190684604;6.810447296;2.813820246;8.977015876
1.465897881;1.574628494;1.069379531;1.84941911;1.572478569;3.762817085;1.693184668;2.579873761;1.01523147;0.834973225;1.916920475
1.173376725;1.901853016;1.373673505;1.391743278;1.930575809;3.691255572;4.84417027;5.877349248;5.383851489;8.053025891;3.759811588
1.109586688;1.990254517;1.757641627;1.507971686;1.193888562;4.765171928;0.291512013;-0.160868934;1.114084614;-1.793722496;2.762993923
1.275270448;1.688680478;1.046032666;1.495874344;1.762380376;4.665542179;0.611834482;1.776282387;1.217888493;1.202848648;3.171776812
1.100737833;1.959971504;1.050170064;1.23425831;1.246082421;4.335993369;0.123043122;-0.501111656;1.149198286;3.036193607;1.886457129
1.15140831;1.928492085;1.108904392;1.08526047;1.00488577;3.339663855;0.133499011;1.186122669;-0.485307013;0.664869177;2.472780761
1.329129408;1.102670326;1.484796752;1.767533456;1.14727968;3.530064957;0.589765707;0.035392543;-0.871141396;-2.118497749;7.317489846
1.821309114;1.750831132;1.194353145;1.213032402;1.737906764;3.166873545;5.206541789;4.217228977;6.919391708;0.838066103;6.69161357
1.517544549;1.189646946;1.508460492;1.809969692;1.471980778;4.377842709;0.915865538;0.948492749;1.269768759;3.450570175;-0.746310516
1.714896687;1.312985306;1.564909137;1.277524825;1.469232629;3.586303693;1.533417097;1.912919123;2.957420646;3.071005328;-1.998032395
1.927750428;1.057986221;1.192288302;1.421123386;1.991561249;4.507857989;1.442604967;2.844219148;0.274592446;1.04724914;8.35366334
1.209407962;1.489703206;1.038172029;1.091524456;1.477046116;3.408654616;0.517906135;0.982374405;1.055865118;2.352420634;5.201436403
1.374655259;1.156660015;1.8457906;1.036285096;1.624796722;3.855239441;1.136733432;0.664458717;-1.430720193;-0.300037979;-1.059349186
1.951290698;1.526791727;1.654099652;1.065251018;1.10304795;3.950003048;0.277157482;0.080783894;-1.764834283;-2.440979196;-6.427206223
1.088036599;1.287941455;1.346779073;1.056957768;1.31378417;4.404253518;0.113472184;0.516373797;-0.031561204;-0.338289211;-3.464431374
1.991901302;1.867136017;1.484454838;1.408938779;1.840848993;4.889932218;1.858034433;0.750735298;2.593095838;-2.365415299;-0.0337939
1.911396095;1.140377554;1.537741089;1.181278657;1.866535692;3.748928785;3.272746014;2.406023597;3.973611439;1.112898998;6.092865287
1.141956708;1.484261602;1.712840457;1.610315305;1.802384289;4.839112016;1.401362074;2.258870066;4.168213786;2.665995594;8.165552939
1.492378361;1.525580917;1.854702369;1.204218271;1.23648772;4.345329303;0.369294239;1.25227667;-0.008511683;0.78657797;5.863289267
1.916115146;1.743319436;1.559670507;1.865955791;1.891032915;3.179846321;35.48177458;34.94996992;32.78857652;34.98142574;39.69784743
1.538049801;1.889588021;1.301242671;1.693636115;1.578059306;4.369593656;1.330145133;1.227008363;-1.026638796;-0.478028374;-1.923773366
1.090918747;1.361085658;1.119198119;1.754437169;1.087456232;3.036245139;0.519277122;-0.09606331;-1.354451327;4.125426985;7.248927162
1.051758284;1.726038453;1.667128493;1.782660168;1.47330199;3.42686129;3.453210785;3.676607086;3.791116134;1.377241902;5.475178962
1.825032239;1.336142632;1.069126252;1.435278501;1.284611397;3.064292182;1.093416491;2.053044612;-0.512052035;-0.695818892;4.155057906
1.718285307;1.335473428;1.679600807;1.311701967;1.026966044;4.636221426;0.124213518;-0.095399229;-0.923479005;0.38036044;-2.452189287
1.574593305;1.537803653;1.677209844;1.595286481;1.050023832;4.567620515;0.226050843;0.254115841;-0.011983407;2.91467563;2.826961637
1.61881454;1.863700199;1.250217608;1.700290782;1.153356737;4.789351436;0.216430627;-0.359616874;-1.952772459;2.045872736;0.345479766
1.904888581;1.877560127;1.762448484;1.685538513;1.552302736;3.43852037;8.662435235;9.270754355;11.10200938;7.612874025;14.82639534
1.361832862;1.725316357;1.734967553;1.739248705;1.696330951;4.158301682;3.57161408;2.558919302;4.26148393;5.466833649;5.721594017
1.045672121;1.362887847;1.991278064;1.001604247;1.797238313;3.768490026;2.058234659;2.223380698;0.933184957;0.710605815;5.718668508
1.750388172;1.352990956;1.812237501;1.506402049;1.970599608;4.595825823;3.751733349;3.751733349;3.751733349;3.751733349;3.751733349
1.067738591;1.51603178;1.448912647;1.832359903;1.407105917;4.993584782;0.355536951;0.355536951;0.355536951;0.355536951;0.355536951
1.269575563;1.311867842;1.972361954;1.575522098;1.809252303;3.892255922;5.117954947;5.117954947;5.117954947;5.117954947;5.117954947
1.778950547;1.136287475;1.15148415;1.853077257;1.7390992;4.999310458;0.730692755;0.730692755;0.730692755;0.730692755;0.730692755
1.800662993;1.581614736;1.624255916;1.280663565;1.54991729;3.151708982;5.252022552;5.252022552;5.252022552;5.252022552;5.252022552
1.404348735;1.773108586;1.697421056;1.246007132;1.144175055;4.020458734;0.362365246;0.362365246;0.362365246;0.362365246;0.362365246
1.210573493;1.243508614;1.184808706;1.026418126;1.695565368;3.718626149;0.642460936;0.642460936;0.642460936;0.642460936;0.642460936
1.72022642;1.005514609;1.206072152;1.774583051;1.640191808;4.871942668;0.542322887;0.542322887;0.542322887;0.542322887;0.542322887
1.708651378;1.689895108;1.820472852;1.303037237;1.080476237;4.290144643;0.312158697;0.312158697;0.312158697;0.312158697;0.312158697
1.787682921;1.150102079;1.191877378;1.629207037;1.458302812;4.663539085;0.381450101;0.381450101;0.381450101;0.381450101;0.381450101
1.738749786;1.672203374;1.386693628;1.740117753;1.265229837;3.625769777;1.363304434;1.363304434;1.363304434;1.363304434;1.363304434
1.01491787;1.898573418;1.371743378;1.137523043;1.985770966;3.759584465;2.942252683;2.942252683;2.942252683;2.942252683;2.942252683
1.903173856;1.693279668;1.850404488;1.940389287;1.221633876;4.742515558;0.878964275;0.878964275;0.878964275;0.878964275;0.878964275
1.010787796;1.999527131;1.122760292;1.797373012;1.842443727;3.980846608;2.562048828;2.562048828;2.562048828;2.562048828;2.562048828
1.289812247;1.999466685;1.561881835;1.703064606;1.644248058;4.787304461;1.367165948;1.367165948;1.367165948;1.367165948;1.367165948
1.766306919;1.368014917;1.517118624;1.210455153;1.513472561;3.670387362;1.432543469;1.432543469;1.432543469;1.432543469;1.432543469
1.564334301;1.223119966;1.990032421;1.185895191;1.362945597;4.747576792;0.360109726;0.360109726;0.360109726;0.360109726;0.360109726
1.52060764;1.805116409;1.546238052;1.900004644;1.847261426;4.509270089;4.03577679;4.03577679;4.03577679;4.03577679;4.03577679
1.275906844;1.850419579;1.749300246;1.70945742;1.090862269;3.17267965;1.589558181;1.589558181;1.589558181;1.589558181;1.589558181
1.904928086;1.213397607;1.203834416;1.513015842;1.014233083;3.453019021;0.286360816;0.286360816;0.286360816;0.286360816;0.286360816
1.711715995;1.986018909;1.371734122;1.104567696;1.059680951;3.772043796;0.240009715;0.240009715;0.240009715;0.240009715;0.240009715
1.029573021;1.822362626;1.401492451;1.788376444;1.905134181;4.72935645;1.852547405;1.852547405;1.852547405;1.852547405;1.852547405
1.311981239;1.638757432;1.281562321;1.515678253;1.894677718;3.198550032;9.929090723;9.929090723;9.929090723;9.929090723;9.929090723
1.883630888;1.61264291;1.060754707;1.685326449;1.752761517;4.535056214;1.254023879;1.254023879;1.254023879;1.254023879;1.254023879
1.797111402;1.242151727;1.121241341;1.57078079;1.9600723;3.413837542;7.014337761;7.014337761;7.014337761;7.014337761;7.014337761
1.358605081;1.864267256;1.2198848;1.76493973;1.644005708;3.420191099;4.440204383;4.440204383;4.440204383;4.440204383;4.440204383
1.893207678;1.32252553;1.824380235;1.361879044;1.053578859;3.971436942;0.371076727;0.371076727;0.371076727;0.371076727;0.371076727
1.670925336;1.49697668;1.687787704;1.49841999;1.416752532;3.732534287;1.898672283;1.898672283;1.898672283;1.898672283;1.898672283
1.111451044;1.684236417;1.8834281;1.095299651;1.647865284;4.35002641;0.936727104;0.936727104;0.936727104;0.936727104;0.936727104
1.168536063;1.461919204;1.535140427;1.263021079;1.926661423;4.749191069;1.044005132;1.044005132;1.044005132;1.044005132;1.044005132
1.520323922;1.672979481;1.061918405;1.247469481;1.355365074;3.776269414;0.408804795;0.408804795;0.408804795;0.408804795;0.408804795
1.126186058;1.113901824;1.161056843;1.515151148;1.699151922;3.278566032;2.193010954;2.193010954;2.193010954;2.193010954;2.193010954
1.487924661;1.88300068;1.536924861;1.7178931;1.768208727;4.773162422;2.069848403;2.069848403;2.069848403;2.069848403;2.069848403
1.494633298;1.588058316;1.962006889;1.369882513;1.893652116;3.172549603;21.99995412;21.99995412;21.99995412;21.99995412;21.99995412
1.391105758;1.473589256;1.212105971;1.688524743;1.464978187;4.152873238;0.726575522;0.726575522;0.726575522;0.726575522;0.726575522
1.163243754;1.129180264;1.779983554;1.205919033;1.099291485;4.876570595;0.072657938;0.072657938;0.072657938;0.072657938;0.072657938
1.062751303;1.62970169;1.818513941;1.739340669;1.593043717;4.292580643;1.851731845;1.851731845;1.851731845;1.851731845;1.851731845
1.42385427;1.377267953;1.092288175;1.405657378;1.25324608;3.024059269;0.832655633;0.832655633;0.832655633;0.832655633;0.832655633
1.953252984;1.937751538;1.27007883;1.806422964;1.443707962;3.205597169;5.402932707;5.402932707;5.402932707;5.402932707;5.402932707
1.55866849;1.367289505;1.914630159;1.260409253;1.194951202;3.888219592;0.565545839;0.565545839;0.565545839;0.565545839;0.565545839
1.110443894;1.368051762;1.414656909;1.828272684;1.170286131;3.615228935;0.583237447;0.583237447;0.583237447;0.583237447;0.583237447
1.488581461;1.607026754;1.484464076;1.477381039;1.805772998;4.87464501;1.219260596;1.219260596;1.219260596;1.219260596;1.219260596
1.791831128;1.909749337;1.150071141;1.226158408;1.038394833;3.977766113;0.152441384;0.152441384;0.152441384;0.152441384;0.152441384
1.383648803;1.51541824;1.894780183;1.164766639;1.479924094;4.039101136;1.028667094;1.028667094;1.028667094;1.028667094;1.028667094
1.305490131;1.094953486;1.7219159;1.702441333;1.934195049;3.418834183;11.40213257;11.40213257;11.40213257;11.40213257;11.40213257
1.682172931;1.700511399;1.914727561;1.390989339;1.095856928;3.943970447;0.594935514;0.594935514;0.594935514;0.594935514;0.594935514
1.812404445;1.44474268;1.579118486;1.444397823;1.687581925;3.485864142;5.347135943;5.347135943;5.347135943;5.347135943;5.347135943
1.10714123;1.38137235;1.95199409;1.166423843;1.156984538;4.387648774;0.185461206;0.185461206;0.185461206;0.185461206;0.185461206
1.943308518;1.060436886;1.189182659;1.003602082;1.986386836;3.797219041;1.745166813;1.745166813;1.745166813;1.745166813;1.745166813
1.283005266;1.099654707;1.524866635;1.856023504;1.706587551;4.486082145;1.35528567;1.35528567;1.35528567;1.35528567;1.35528567
1.290746857;1.741161888;1.10301767;1.542050376;1.181868433;3.053767543;0.845289161;0.845289161;0.845289161;0.845289161;0.845289161
1.24084818;1.814490501;1.275967758;1.463435963;1.527525397;3.538609647;1.724759354;1.724759354;1.724759354;1.724759354;1.724759354
1.162455925;1.09921306;1.01848512;1.088508615;1.397009235;3.945021244;0.135238874;0.135238874;0.135238874;0.135238874;0.135238874
1.974460822;1.090558755;1.436684267;1.936233299;1.776314715;3.9474087;4.49976017;4.49976017;4.49976017;4.49976017;4.49976017
1.750852505;1.298847456;1.560924589;1.482339125;1.62115882;3.886594138;2.26258718;2.26258718;2.26258718;2.26258718;2.26258718
1.735046921;1.559946785;1.905278868;1.06384898;1.280941514;4.469207414;0.373109778;0.373109778;0.373109778;0.373109778;0.373109778
1.127314494;1.648933092;1.219280393;1.260306099;1.191690614;3.934262991;0.187622331;0.187622331;0.187622331;0.187622331;0.187622331
1.420776025;1.780045815;1.013701406;1.790612282;1.077906285;3.336305369;0.474116378;0.474116378;0.474116378;0.474116378;0.474116378
1.08220929;1.505195279;1.290393877;1.395224863;1.680991804;4.04335746;0.965698621;0.965698621;0.965698621;0.965698621;0.965698621
1.7880308;1.793575271;1.686200743;1.714463299;1.718333683;3.614295889;9.575158633;9.575158633;9.575158633;9.575158633;9.575158633
1.331056877;1.431504323;1.506624444;1.93458141;1.075267278;4.176643053;0.34165223;0.34165223;0.34165223;0.34165223;0.34165223
1.50173293;1.12939464;1.551829726;1.036315172;1.552721183;4.732056758;0.267497778;0.267497778;0.267497778;0.267497778;0.267497778
1.782872751;1.013739185;1.491788314;1.030503563;1.535086651;3.478428778;1.046639029;1.046639029;1.046639029;1.046639029;1.046639029
1.88639886;1.959608844;1.517192903;1.535869749;1.102407005;3.954103203;0.597229803;0.597229803;0.597229803;0.597229803;0.597229803
1.716233028;1.138686518;1.58144413;1.388023391;1.175750967;3.102594547;1.10914179;1.10914179;1.10914179;1.10914179;1.10914179
1.733087485;1.010002058;1.236355866;1.210257976;1.347169324;3.879921504;0.308501657;0.308501657;0.308501657;0.308501657;0.308501657
1.131142789;1.134301759;1.435569036;1.292082124;1.046060326;4.284781818;0.074276447;0.074276447;0.074276447;0.074276447;0.074276447
1.607576722;1.562948658;1.86471138;1.707036358;1.670389757;4.736570873;2.151222681;2.151222681;2.151222681;2.151222681;2.151222681
1.956539656;1.703445267;1.523236781;1.478890707;1.46734421;4.733829104;0.800444835;0.800444835;0.800444835;0.800444835;0.800444835
1.07586162;1.801141209;1.717932887;1.829564355;1.186254706;4.305214685;0.541272059;0.541272059;0.541272059;0.541272059;0.541272059
1.651780121;1.888981001;1.826926778;1.694721273;1.440849801;4.238374025;2.139224882;2.139224882;2.139224882;2.139224882;2.139224882
1.424631821;1.596862647;1.88697217;1.026416219;1.18099923;3.99632272;0.327316817;0.327316817;0.327316817;0.327316817;0.327316817
1.398965995;1.543539933;1.938270956;1.719772613;1.278952714;4.641634036;0.678424779;0.678424779;0.678424779;0.678424779;0.678424779
1.157493192;1.980401988;1.080143518;1.619527068;1.107433765;4.993642801;0.078615021;0.078615021;0.078615021;0.078615021;0.078615021
1.338071802;1.7313917;1.299379023;1.895462506;1.717612113;3.948987408;3.204612725;3.204612725;3.204612725;3.204612725;3.204612725
1.623670361;1.487743492;1.168186028;1.977869637;1.214233406;3.458787758;1.067300796;1.067300796;1.067300796;1.067300796;1.067300796
1.925479103;1.860094254;1.310252679;1.353792071;1.227326986;4.755904649;0.240296008;0.240296008;0.240296008;0.240296008;0.240296008
1.311837508;1.97677539;1.474959154;1.057689961;1.154612711;3.766205801;0.284486951;0.284486951;0.284486951;0.284486951;0.284486951
1.27993855;1.634964483;1.084148984;1.014827776;1.231787518;4.691761673;0.058154345;0.058154345;0.058154345;0.058154345;0.058154345
1.618064111;1.2217473;1.309395964;1.330468653;1.802638235;3.364800037;4.072383814;4.072383814;4.072383814;4.072383814;4.072383814
1.077367327;1.61460721;1.397265806;1.61794862;1.403058459;4.541195589;0.414735603;0.414735603;0.414735603;0.414735603;0.414735603
1.97010006;1.03251729;1.670068903;1.714757743;1.897196448;3.499399059;12.10941483;12.10941483;12.10941483;12.10941483;12.10941483
1.935695104;1.759139772;1.906451777;1.919589441;1.426192705;4.459419623;2.479784811;2.479784811;2.479784811;2.479784811;2.479784811
1.728481887;1.851500229;1.012778588;1.452458053;1.429625051;3.210786486;1.773709401;1.773709401;1.773709401;1.773709401;1.773709401
1.855718753;1.951785811;1.998957257;1.386705825;1.486114702;4.878712063;1.219495285;1.219495285;1.219495285;1.219495285;1.219495285
1.877464832;1.38683796;1.100604113;1.025528209;1.922249567;4.357418084;0.81124373;0.81124373;0.81124373;0.81124373;0.81124373
1.258742605;1.08977974;1.595767392;1.737984025;1.335941603;3.793956983;0.88543799;0.88543799;0.88543799;0.88543799;0.88543799
1.087323139;1.063912776;1.688487795;1.428630302;1.890798567;4.312021589;1.597798169;1.597798169;1.597798169;1.597798169;1.597798169
1.304694474;1.63537511;1.57258112;1.964463463;1.033443974;4.208399391;0.351263683;0.351263683;0.351263683;0.351263683;0.351263683
1.632889052;1.998010807;1.510776593;1.718789723;1.128397761;4.5644543;0.390442941;0.390442941;0.390442941;0.390442941;0.390442941
1.028211404;1.215794592;1.231672934;1.375456317;1.455756832;4.363584327;0.235714374;0.235714374;0.235714374;0.235714374;0.235714374
1.780691656;1.762294287;1.55603617;1.846289103;1.792578653;4.092120106;6.117535224;6.117535224;6.117535224;6.117535224;6.117535224
1.540018383;1.369457406;1.724886159;1.086206821;1.735736333;3.931525285;1.817675158;1.817675158;1.817675158;1.817675158;1.817675158
1.002243967;1.300476143;1.16322936;1.728216638;1.410973383;4.499844741;0.262344505;0.262344505;0.262344505;0.262344505;0.262344505
1.756051362;1.537414876;1.396930807;1.210014286;1.493544628;3.741265631;1.161271607;1.161271607;1.161271607;1.161271607;1.161271607
1.863513623;1.405762264;1.158676667;1.869965573;1.528276213;4.01023952;1.487149812;1.487149812;1.487149812;1.487149812;1.487149812
1.634382896;1.623442532;1.000869361;1.269761551;1.947924159;3.180876805;6.463119139;6.463119139;6.463119139;6.463119139;6.463119139
1.226824171;1.700442432;1.385295866;1.611400264;1.215611876;3.999767994;0.450967744;0.450967744;0.450967744;0.450967744;0.450967744
1.623298696;1.604587391;1.928702358;1.697534913;1.555997811;3.368148727;8.610007733;8.610007733;8.610007733;8.610007733;8.610007733
1.234129554;1.988414172;1.241044024;1.862475832;1.882417591;4.645236134;2.120102356;2.120102356;2.120102356;2.120102356;2.120102356
