sigma;theta;theta1;f;f_noise_0.05;f_noise_0.1;f_noise_0.3;f_noise_1
2.935865176;1.138553023;2.669411348;0.118613242;0.092450213;0.106649443;0.101811545;0.119466421
1.099082652;1.883751641;1.901622446;0.362929528;0.330266687;0.360449499;0.352128033;0.44072542
1.622257222;1.624629714;2.144577405;0.233605847;0.231415439;0.22128459;0.218548006;0.368411583
2.13727951;1.881885144;2.419400441;0.180848216;0.193731355;0.161453799;0.208524292;0.212217637
1.418343712;2.011569474;1.207189369;0.239489794;0.240630655;0.209448041;0.213016456;0.153312129
1.599351031;1.053292701;1.337612417;0.245529567;0.248799638;0.26972158;0.227880392;0.283739765
1.402879709;2.680603481;2.415546008;0.279343129;0.282421929;0.267089851;0.269584068;0.479898764
1.38279102;2.339041027;1.930286659;0.276171719;0.266535009;0.290085677;0.275516867;0.273221629
1.808090649;2.895298219;1.537788928;0.166450368;0.176838183;0.169296414;0.172712252;0.119938983
2.183050011;1.800884589;2.690834169;0.16817398;0.17271077;0.184697776;0.130800663;0.183369507
1.314446182;1.512818058;2.824480359;0.184475561;0.152149253;0.221598122;0.166185331;0.234200639
2.768208845;2.561200177;1.026427132;0.123583983;0.107619904;0.11762729;0.170443395;0.164756032
2.947180723;2.972462444;2.917153415;0.135340202;0.124225811;0.132843235;0.10920746;0.085602593
1.248149668;2.01225936;1.560125692;0.29932936;0.309031689;0.294144535;0.322078746;0.307714086
2.570450038;2.753704325;2.82824665;0.155138033;0.166079515;0.13122101;0.125240008;0.228190268
2.111384392;2.097743193;2.803467855;0.178682816;0.177741441;0.165503398;0.168216485;0.124933741
2.240789103;2.484246104;1.446341867;0.159927021;0.164453944;0.184235561;0.159535858;0.145945778
2.217957729;2.389219516;2.873634797;0.175629967;0.17459556;0.174041397;0.187320666;0.158655538
1.921948705;2.207608883;1.209183027;0.18137091;0.182020738;0.166704289;0.186547193;0.139010048
2.921973862;1.001977916;1.47262372;0.134772128;0.133743717;0.139931712;0.140862673;-0.010159005
2.950855248;1.780676778;1.068237841;0.131312022;0.136617891;0.144736591;0.14095649;0.083778146
1.646230778;1.730868878;1.976690682;0.239650022;0.22745963;0.220127861;0.223165667;0.13674757
1.433677745;1.628854289;1.656223688;0.278214259;0.295885019;0.282590138;0.256562116;0.247499005
2.691545787;1.674042534;2.189031628;0.145532056;0.146778794;0.157602144;0.153118689;0.217420589
2.106319008;1.719600395;1.87711343;0.188873741;0.194318449;0.176662576;0.24639846;0.048899104
1.767765968;1.822501617;1.347893225;0.217687298;0.22148547;0.207922021;0.230555858;0.238043055
1.530323671;2.593599819;2.052985213;0.244921632;0.252737258;0.262365451;0.279031155;0.236550581
2.492586038;2.296103484;2.120678331;0.159655668;0.159544535;0.157848903;0.178037896;0.194413265
2.844921671;1.309160206;2.667253825;0.125128087;0.131714019;0.08702674;0.139918901;0.046454504
2.492639217;1.901260616;2.56160871;0.154529276;0.152423736;0.142626719;0.149530917;0.131968006
2.887041721;1.750663062;1.001361222;0.133607176;0.139189952;0.134484049;0.132008339;0.120295937
1.298141497;2.879984967;1.221532126;0.135884348;0.114843506;0.110955925;0.167165312;0.1302878
2.952801194;1.531130494;2.103162512;0.132594784;0.129500972;0.159077248;0.116687097;0.155113715
1.377712869;2.657463482;1.721605228;0.229907858;0.250192336;0.251558074;0.229364416;0.303437055
2.170819146;1.196745772;1.443481047;0.182591765;0.17902514;0.202253048;0.174609713;0.222261462
2.997068044;2.903342342;2.976945386;0.133070718;0.135468972;0.141627796;0.149404402;0.183197941
2.352714587;1.627562903;2.652109506;0.154227384;0.154226669;0.147572161;0.14740635;0.221316849
1.708124345;2.457197065;1.780730318;0.215940169;0.227751766;0.239686139;0.157049678;0.21666974
1.282914126;2.660044817;1.538555976;0.21221362;0.198888275;0.203516835;0.194025279;0.153565522
1.287542294;1.272850707;2.727714304;0.163642389;0.158301652;0.178537115;0.193072108;0.132854877
2.307969797;2.856726706;2.600221505;0.171789958;0.155975406;0.189921908;0.170593387;0.169650348
2.773445014;1.974917538;2.694641807;0.139080786;0.132948477;0.133163739;0.135983865;0.06708506
1.903174373;1.580356857;2.805095741;0.170414174;0.173003735;0.140220257;0.154022761;0.191649555
1.300661652;1.115656707;1.180913919;0.306336759;0.305835822;0.283728483;0.29498781;0.354500893
2.730579512;2.328262645;1.968012889;0.144835687;0.160352907;0.116223056;0.170030618;0.157612975
1.496864068;2.048185889;2.903674906;0.226359945;0.231575752;0.226978133;0.204295176;0.198261396
2.164734932;2.042541282;1.993605806;0.184244433;0.202273797;0.1476885;0.183430714;0.258411206
1.648716835;2.792312103;1.321765686;0.162559877;0.171038308;0.162436921;0.13618221;0.250623612
2.150485847;1.843437685;1.84595313;0.185512501;0.185969703;0.187338099;0.177137905;0.156418354
1.795025747;2.458342001;2.529073477;0.222076304;0.228235858;0.196601396;0.19244263;0.209188954
1.505556465;2.375992156;2.619835677;0.261527192;0.263684118;0.27294213;0.262699384;0.349673065
1.707913987;1.047896409;2.209875992;0.185324034;0.190740847;0.175983672;0.173526148;0.179103418
2.63777022;2.52494833;2.431191045;0.151146733;0.12566521;0.108798598;0.149412473;0.217764003
2.368324388;1.366596574;2.389673342;0.15344301;0.173864931;0.148211059;0.15483458;0.199940117
1.749861723;2.206494702;2.570167866;0.223114121;0.216126372;0.250302141;0.22484054;0.148673411
2.771396224;2.183693019;2.468212438;0.143193329;0.151543401;0.119041308;0.14799612;0.152045606
1.253894344;2.694942953;2.052949569;0.27907785;0.281329595;0.274843627;0.261850311;0.258794117
2.295676586;2.150489668;1.383541409;0.164347512;0.17173435;0.166230775;0.15362316;0.178675378
1.260971709;1.957905899;1.280637849;0.273881589;0.27650346;0.235204361;0.264144413;0.327111689
1.337541185;2.934316686;2.842582314;0.29756475;0.302604703;0.322323156;0.298413613;0.353891466
2.933332765;2.375107933;1.670210193;0.13213234;0.099834592;0.12996964;0.138019266;0.108108137
2.180423006;1.454978486;2.713031941;0.154910378;0.141574763;0.116730935;0.152436254;0.154442829
2.080328356;2.292707261;2.307263166;0.191764206;0.199141863;0.210064246;0.187535117;0.274671801
1.043656232;2.86846142;2.010196002;0.272583567;0.277579643;0.247461038;0.287678359;0.31893873
1.572037685;1.529697678;2.242601054;0.228976067;0.201241515;0.23838365;0.246870124;0.351209666
1.240041967;2.225069475;1.763579442;0.300191675;0.286982223;0.301520478;0.295004583;0.309500031
2.669033254;2.02214561;1.795867505;0.148934509;0.1466636;0.117472616;0.145719195;0.120098681
1.787046747;1.255296473;2.161724861;0.196294399;0.177985764;0.186703917;0.173043595;0.223763072
2.822000313;1.080902621;1.805808712;0.13678057;0.149201325;0.102849732;0.159691227;0.087784015
1.459545696;2.866593048;2.764491201;0.27266521;0.280931044;0.259971952;0.253753193;0.346433863
2.943345679;2.509766754;1.901921679;0.132680715;0.115401735;0.138703444;0.137433224;0.206286422
1.899301561;2.10794194;1.976484733;0.209544322;0.207029369;0.211614657;0.18803489;0.16227097
1.250350493;1.745953471;1.487801391;0.312335895;0.306413569;0.319214647;0.316025491;0.308526649
2.072915474;2.665715968;1.072923027;0.143259045;0.130379866;0.143166305;0.123675072;0.097747362
2.105677627;1.163969798;2.840785211;0.137979931;0.152021984;0.132465087;0.155934498;0.265450706
1.222936599;1.136612377;1.971983798;0.258335256;0.236847656;0.22697816;0.251201804;0.127906634
1.80543737;2.169729195;2.50441782;0.217202771;0.231113604;0.20929902;0.24493017;0.260654368
1.532851458;2.887498754;1.79070496;0.201481772;0.212960172;0.212032571;0.192701856;0.181430697
2.998304121;1.016747637;1.941224858;0.126879165;0.140647065;0.104275407;0.125892411;0.195329896
2.331337145;2.935069474;1.590587594;0.144905728;0.145159632;0.119110856;0.126636746;0.175137787
1.072285178;2.36854062;1.104149805;0.185642172;0.185642172;0.185642172;0.185642172;0.185642172
2.861425801;2.147980294;2.548010582;0.138064994;0.138064994;0.138064994;0.138064994;0.138064994
1.643329195;2.427591506;1.863459065;0.228873583;0.228873583;0.228873583;0.228873583;0.228873583
2.397303273;2.528453636;2.807934673;0.165285893;0.165285893;0.165285893;0.165285893;0.165285893
2.489935831;1.116815906;1.598962732;0.157246073;0.157246073;0.157246073;0.157246073;0.157246073
1.574955337;1.158123464;2.279781503;0.196563746;0.196563746;0.196563746;0.196563746;0.196563746
2.747725044;1.940620382;2.778039887;0.138601315;0.138601315;0.138601315;0.138601315;0.138601315
2.465835964;2.20166131;1.683194728;0.158250819;0.158250819;0.158250819;0.158250819;0.158250819
2.411274989;1.071444174;1.607376092;0.161412171;0.161412171;0.161412171;0.161412171;0.161412171
1.473741941;2.929484921;2.137925405;0.234339097;0.234339097;0.234339097;0.234339097;0.234339097
1.568381253;2.493519626;2.531990735;0.254289115;0.254289115;0.254289115;0.254289115;0.254289115
2.935725096;2.302223868;1.037498123;0.123849324;0.123849324;0.123849324;0.123849324;0.123849324
1.802422609;2.05476573;2.454683727;0.215955023;0.215955023;0.215955023;0.215955023;0.215955023
1.55215739;2.462002762;1.182868999;0.183020846;0.183020846;0.183020846;0.183020846;0.183020846
1.090726402;1.702093009;1.135617563;0.319611901;0.319611901;0.319611901;0.319611901;0.319611901
2.64234825;2.043015787;1.875916654;0.15067861;0.15067861;0.15067861;0.15067861;0.15067861
1.203153272;1.176314531;1.645138227;0.307339341;0.307339341;0.307339341;0.307339341;0.307339341
1.408104383;2.456040524;1.059936909;0.173305976;0.173305976;0.173305976;0.173305976;0.173305976
2.688875692;1.143107308;2.573653959;0.128788147;0.128788147;0.128788147;0.128788147;0.128788147
2.575978955;2.211351733;1.575948228;0.150229681;0.150229681;0.150229681;0.150229681;0.150229681
2.662517553;1.053048414;2.038918378;0.139908965;0.139908965;0.139908965;0.139908965;0.139908965
1.048769996;1.504709927;2.774695573;0.182732729;0.182732729;0.182732729;0.182732729;0.182732729
2.421954219;2.69467199;1.508537199;0.146103893;0.146103893;0.146103893;0.146103893;0.146103893
2.397054564;1.371327625;2.605368033;0.145774167;0.145774167;0.145774167;0.145774167;0.145774167
1.106454431;1.963247159;2.155305723;0.355168033;0.355168033;0.355168033;0.355168033;0.355168033
2.966175167;2.82757801;1.450473691;0.120755811;0.120755811;0.120755811;0.120755811;0.120755811
1.701649856;1.82513221;2.544798039;0.214387856;0.214387856;0.214387856;0.214387856;0.214387856
1.986392937;1.963121742;2.855202535;0.181572099;0.181572099;0.181572099;0.181572099;0.181572099
1.887159305;1.729388984;1.925639417;0.210258314;0.210258314;0.210258314;0.210258314;0.210258314
2.683798711;2.536860031;1.057455475;0.127696117;0.127696117;0.127696117;0.127696117;0.127696117
2.899452106;1.522263859;1.230070218;0.136895397;0.136895397;0.136895397;0.136895397;0.136895397
2.23391551;1.041496486;1.58118969;0.173447998;0.173447998;0.173447998;0.173447998;0.173447998
2.24222932;2.47146053;2.799875924;0.17602388;0.17602388;0.17602388;0.17602388;0.17602388
1.983382032;2.548577229;1.409716033;0.170572343;0.170572343;0.170572343;0.170572343;0.170572343
2.062427374;1.564166375;2.48484533;0.175088958;0.175088958;0.175088958;0.175088958;0.175088958
2.231297898;1.398807004;2.682676953;0.151516662;0.151516662;0.151516662;0.151516662;0.151516662
1.070101006;1.575272581;1.276241885;0.358532715;0.358532715;0.358532715;0.358532715;0.358532715
2.109955175;1.389400856;2.211276492;0.175262708;0.175262708;0.175262708;0.175262708;0.175262708
2.792592814;2.607699109;1.73859948;0.136103898;0.136103898;0.136103898;0.136103898;0.136103898
2.265362945;2.236640855;2.051562338;0.175518486;0.175518486;0.175518486;0.175518486;0.175518486
1.75978894;2.530889435;1.953889006;0.214834951;0.214834951;0.214834951;0.214834951;0.214834951
1.932222454;1.60705602;2.445696157;0.187908546;0.187908546;0.187908546;0.187908546;0.187908546
1.118526549;2.565083871;2.4133032;0.35339898;0.35339898;0.35339898;0.35339898;0.35339898
1.168334275;1.056023303;2.991858519;0.086534872;0.086534872;0.086534872;0.086534872;0.086534872
1.896020822;1.795158006;1.594539878;0.209235722;0.209235722;0.209235722;0.209235722;0.209235722
2.230770995;2.066710636;2.135564384;0.178750887;0.178750887;0.178750887;0.178750887;0.178750887
2.609013786;2.796171121;1.232575887;0.127773755;0.127773755;0.127773755;0.127773755;0.127773755
2.061657955;2.474304393;1.583173673;0.176247739;0.176247739;0.176247739;0.176247739;0.176247739
1.905150969;2.787596135;2.571788052;0.208062758;0.208062758;0.208062758;0.208062758;0.208062758
2.263548739;1.275705843;2.072559048;0.165656746;0.165656746;0.165656746;0.165656746;0.165656746
2.604865276;2.011577206;2.475784913;0.150740038;0.150740038;0.150740038;0.150740038;0.150740038
1.823722757;2.107817432;2.729265477;0.20641297;0.20641297;0.20641297;0.20641297;0.20641297
2.546790182;1.171925867;2.179130378;0.144861879;0.144861879;0.144861879;0.144861879;0.144861879
2.464864284;1.809448237;1.652675139;0.161524578;0.161524578;0.161524578;0.161524578;0.161524578
1.184009936;1.471621733;2.717212104;0.193745846;0.193745846;0.193745846;0.193745846;0.193745846
1.023832709;2.678033573;2.516523752;0.384837451;0.384837451;0.384837451;0.384837451;0.384837451
1.368104651;2.605668276;1.453121672;0.204493775;0.204493775;0.204493775;0.204493775;0.204493775
2.134835073;1.916828593;1.474099781;0.182897057;0.182897057;0.182897057;0.182897057;0.182897057
2.841207018;2.445514255;2.086312;0.139295283;0.139295283;0.139295283;0.139295283;0.139295283
2.120081327;1.259556955;2.270586124;0.167947924;0.167947924;0.167947924;0.167947924;0.167947924
1.632425028;2.687854699;1.786958692;0.209865446;0.209865446;0.209865446;0.209865446;0.209865446
2.64865111;1.94470215;1.26743229;0.145776418;0.145776418;0.145776418;0.145776418;0.145776418
1.730343534;2.918121157;2.593325785;0.226530607;0.226530607;0.226530607;0.226530607;0.226530607
1.287279444;1.227350715;1.979548103;0.2612726;0.2612726;0.2612726;0.2612726;0.2612726
2.863813161;2.198663741;2.50859851;0.138491155;0.138491155;0.138491155;0.138491155;0.138491155
1.082407722;2.01248825;1.4539851;0.322631235;0.322631235;0.322631235;0.322631235;0.322631235
2.065216763;1.650282669;1.761670156;0.192891347;0.192891347;0.192891347;0.192891347;0.192891347
2.00006089;2.002629508;1.1466075;0.182007517;0.182007517;0.182007517;0.182007517;0.182007517
2.793780052;1.932066678;1.233364939;0.138400026;0.138400026;0.138400026;0.138400026;0.138400026
2.107857213;1.493306805;2.549865507;0.166920925;0.166920925;0.166920925;0.166920925;0.166920925
2.609184311;2.118023357;1.662576933;0.150587507;0.150587507;0.150587507;0.150587507;0.150587507
1.519579012;2.485933645;1.800752953;0.237158161;0.237158161;0.237158161;0.237158161;0.237158161
1.902579589;2.30303608;2.097561064;0.208465655;0.208465655;0.208465655;0.208465655;0.208465655
2.098913017;2.473520844;1.54019526;0.17217838;0.17217838;0.17217838;0.17217838;0.17217838
2.119630543;2.818795026;1.838542324;0.169125069;0.169125069;0.169125069;0.169125069;0.169125069
2.508629818;2.611726369;2.915089492;0.157869424;0.157869424;0.157869424;0.157869424;0.157869424
2.11724365;1.308414633;2.236147998;0.171177479;0.171177479;0.171177479;0.171177479;0.171177479
1.578889543;1.946216655;2.902373596;0.21034024;0.21034024;0.21034024;0.21034024;0.21034024
1.540402931;2.777255471;1.396574664;0.173310641;0.173310641;0.173310641;0.173310641;0.173310641
1.64377586;1.546495804;2.579194763;0.199232602;0.199232602;0.199232602;0.199232602;0.199232602
2.651350485;2.401990336;2.0356495;0.149038096;0.149038096;0.149038096;0.149038096;0.149038096
1.63817481;1.312288864;1.876662427;0.229496831;0.229496831;0.229496831;0.229496831;0.229496831
1.593652856;1.346317052;1.667811851;0.245289602;0.245289602;0.245289602;0.245289602;0.245289602
1.250330286;2.921095899;2.061679027;0.251937917;0.251937917;0.251937917;0.251937917;0.251937917
1.069411895;2.795681374;2.017503399;0.2862761;0.2862761;0.2862761;0.2862761;0.2862761
1.287700578;1.081308924;1.507919544;0.293265971;0.293265971;0.293265971;0.293265971;0.293265971
2.070624205;2.049774639;2.516732029;0.187830144;0.187830144;0.187830144;0.187830144;0.187830144
2.999123896;1.505742826;1.856659348;0.132112164;0.132112164;0.132112164;0.132112164;0.132112164
2.788674768;1.768527582;1.028256339;0.138105341;0.138105341;0.138105341;0.138105341;0.138105341
1.706201684;1.334778987;1.740629524;0.227296771;0.227296771;0.227296771;0.227296771;0.227296771
2.015638414;1.663215574;2.486201317;0.182094577;0.182094577;0.182094577;0.182094577;0.182094577
1.807221014;2.918315543;2.842369111;0.220554191;0.220554191;0.220554191;0.220554191;0.220554191
1.199381326;1.872377977;1.059366859;0.264347532;0.264347532;0.264347532;0.264347532;0.264347532
1.789724104;2.170137299;1.492034621;0.207468122;0.207468122;0.207468122;0.207468122;0.207468122
2.781750391;2.755295434;1.737421483;0.134127499;0.134127499;0.134127499;0.134127499;0.134127499
1.215612835;1.620156276;1.279748987;0.31556358;0.31556358;0.31556358;0.31556358;0.31556358
1.317907354;1.877523211;2.86086399;0.229157751;0.229157751;0.229157751;0.229157751;0.229157751
2.750103343;2.728538628;1.061013733;0.120704831;0.120704831;0.120704831;0.120704831;0.120704831
2.057389225;1.635110032;1.558178262;0.193771537;0.193771537;0.193771537;0.193771537;0.193771537
1.66845054;1.158704117;1.143960082;0.239100108;0.239100108;0.239100108;0.239100108;0.239100108
