p0;A;T0;m_dot;m_dot_noise_0.05;m_dot_noise_0.1;m_dot_noise_0.3;m_dot_noise_1
564180.3092;1.252340561;256.2116454;1784.104423;1772.946841;1639.075258;1576.952863;713.7357363
501326.4512;1.131923879;253.1584403;1441.520978;1613.618409;1501.617316;1317.737454;1505.179534
424864.054;1.094498134;253.7209035;1179.957109;1183.631527;1271.307968;834.5708419;1517.309081
566241.4882;1.297506398;258.320412;1847.613657;1870.724346;1823.197054;1927.497418;1773.074353
439740.1829;1.279710611;254.3607567;1426.140131;1218.008679;1478.818064;1588.287362;1785.370339
429926.7328;0.784337539;259.0156282;846.8642476;601.2122433;866.3575831;684.7630279;361.1642907
527128.1215;0.847038452;257.005829;1125.711639;1101.325753;1103.063967;1169.014927;844.6080029
430376.2126;1.372818036;253.8962323;1498.692172;1487.733081;1464.053443;1404.759066;1504.45255
578505.5017;1.250485399;250.9900559;1845.598346;1851.348364;1854.347888;1695.447602;2419.282498
538494.2307;1.35177611;255.996858;1838.856484;1873.816835;1943.625876;1546.817036;2075.888548
569661.3854;0.742770704;258.8112329;1063.063772;1115.853407;1306.937619;763.8243195;1171.743119
589488.7009;0.910240841;254.3931923;1359.747884;1281.461524;1327.695469;1562.120722;1318.45602
590235.2601;0.84120246;256.6608716;1252.636849;1252.343785;1227.950513;1419.886239;1168.325944
484406.9888;1.383290158;251.0792318;1709.21865;1755.527259;1759.373914;1737.193867;1990.648353
575417.2878;1.429486003;254.376196;2084.50965;2162.750456;2259.579841;2090.594732;1918.42381
462446.044;1.159845461;257.244384;1351.660355;1269.67223;1241.153651;1407.006618;1222.335302
549066.7776;0.716663621;252.1481666;1001.594545;1041.89486;1028.963828;1063.034474;1162.329789
500881.5554;0.684057599;251.702877;872.8969029;902.1955043;947.0051701;759.6450452;1267.215969
428833.0925;0.831245527;253.9616024;904.0926012;845.2461154;954.1412213;767.9468679;1263.54893
420086.5126;1.132267453;254.7799197;1204.438128;1296.360775;1204.835779;1532.336402;1565.33745
567314.4506;0.671955332;257.4095232;960.3538383;916.6100626;925.36366;902.6131311;1490.142105
463669.6402;1.441281229;251.6162254;1702.81474;1732.502974;1674.20141;1245.602989;1794.575317
442026.632;1.250085108;251.0239609;1409.645016;1470.628509;1795.443932;1124.677453;1809.734054
502633.4598;1.014269185;255.5286488;1289.033366;1175.939391;1119.884308;1323.145875;1102.364005
419648.9945;1.02236356;252.8338335;1090.569343;1187.010786;1186.882766;956.7762411;1071.742852
539717.9808;1.294750434;253.7890843;1772.947249;1779.103625;1657.100266;1789.307975;2265.906522
572831.0421;0.652392055;258.0693613;940.256438;1010.559379;1182.094636;1043.808236;848.4026748
532346.7456;1.114121264;250.3024943;1515.213424;1444.260838;1458.073688;1437.784296;1467.732355
503724.9557;1.32894201;250.6786617;1708.913755;1759.290199;1666.842427;1935.69349;1781.556516
500279.0176;1.223414621;254.4182634;1550.926242;1639.893964;1636.295818;1633.171678;1139.335806
518169.4815;1.028801345;251.4528099;1358.796561;1320.312365;1424.362501;1287.19048;1322.86413
404471.9596;1.133384477;258.1669118;1153.173678;1090.068254;1120.31692;1031.379391;1203.443226
529207.6538;1.352321147;252.4137732;1820.659632;1850.355947;1768.379178;1573.362573;1588.23382
598483.4242;1.432348999;255.6351627;2167.055386;2125.400781;2327.061916;2169.442421;2368.120376
481162.1715;1.084865309;252.3747916;1328.078184;1335.28958;1420.813298;1593.408495;1391.977576
531581.0643;0.613105361;254.7265222;825.3665502;691.6721319;954.38893;886.6101232;332.8449304
421586.4574;0.793665599;250.7184393;854.103303;872.649644;731.5988916;986.1154777;595.2678529
522885.8054;1.337804613;255.8765063;1767.517273;1694.448432;1827.403398;2058.814951;1947.531673
577409.3129;1.055778085;259.4391129;1529.741446;1606.518231;1456.758397;1632.006947;2196.885692
431589.2923;0.694408227;254.5406849;759.2525264;819.416871;947.2434607;367.2058435;212.3640408
443958.0978;0.592133821;252.6760401;668.4349498;702.4714249;768.555958;997.9261497;692.4899394
596900.9305;0.574454723;253.1557057;871.0508956;829.0502278;679.9964648;927.6622036;780.8218395
541051.2027;1.149329006;255.0344575;1573.84745;1616.116207;1707.778535;1511.557451;1393.397953
579573.4772;1.195505035;251.0522007;1767.491065;1642.207436;1664.102556;1854.01275;1009.794971
596885.2883;0.584315507;253.2698881;885.7799357;885.7799357;885.7799357;885.7799357;885.7799357
452579.9562;0.989345523;252.9189714;1137.972945;1137.972945;1137.972945;1137.972945;1137.972945
533144.5463;0.532919487;257.6669548;715.4125288;715.4125288;715.4125288;715.4125288;715.4125288
520795.1842;1.36826345;256.3794409;1798.76496;1798.76496;1798.76496;1798.76496;1798.76496
497277.1303;0.902109013;253.606831;1138.561164;1138.561164;1138.561164;1138.561164;1138.561164
466276.8716;0.711331335;258.4476039;833.8902401;833.8902401;833.8902401;833.8902401;833.8902401
518767.5737;0.833455523;251.7891704;1101.326423;1101.326423;1101.326423;1101.326423;1101.326423
590343.7439;1.249664519;250.5009365;1883.965992;1883.965992;1883.965992;1883.965992;1883.965992
513610.0656;0.863627853;259.9079535;1112.063825;1112.063825;1112.063825;1112.063825;1112.063825
482475.5422;1.146677114;252.0537076;1408.475296;1408.475296;1408.475296;1408.475296;1408.475296
574376.8535;0.604808189;254.5729597;880.0103675;880.0103675;880.0103675;880.0103675;880.0103675
439676.3344;1.460162343;259.3028818;1611.424246;1611.424246;1611.424246;1611.424246;1611.424246
598896.5826;0.615408201;252.0808243;938.2628925;938.2628925;938.2628925;938.2628925;938.2628925
421330.6719;1.366368289;255.9410184;1454.454818;1454.454818;1454.454818;1454.454818;1454.454818
470539.2958;0.883004207;254.0313053;1053.645174;1053.645174;1053.645174;1053.645174;1053.645174
426446.1286;1.495205524;256.9991139;1607.602183;1607.602183;1607.602183;1607.602183;1607.602183
484739.1114;1.219399003;256.3044135;1492.296728;1492.296728;1492.296728;1492.296728;1492.296728
420602.8718;0.715091559;255.0446134;761.2111463;761.2111463;761.2111463;761.2111463;761.2111463
414519.288;0.693730697;254.788129;728.1576093;728.1576093;728.1576093;728.1576093;728.1576093
597909.9734;1.382283949;256.3383443;2086.43859;2086.43859;2086.43859;2086.43859;2086.43859
434025.4285;0.552124084;251.5415611;610.6977527;610.6977527;610.6977527;610.6977527;610.6977527
556250.1737;1.230753509;255.2330123;1732.017001;1732.017001;1732.017001;1732.017001;1732.017001
493247.6655;0.784543367;253.9206614;981.5497223;981.5497223;981.5497223;981.5497223;981.5497223
415194.3902;0.765177651;258.1787277;799.1583789;799.1583789;799.1583789;799.1583789;799.1583789
464944.5486;1.056638713;252.5276209;1249.546913;1249.546913;1249.546913;1249.546913;1249.546913
521575.9267;1.125130552;254.9198195;1485.586644;1485.586644;1485.586644;1485.586644;1485.586644
443176.2202;0.837973852;259.1665258;932.3882546;932.3882546;932.3882546;932.3882546;932.3882546
540319.4981;0.501047578;252.3426388;688.8324824;688.8324824;688.8324824;688.8324824;688.8324824
581924.8259;0.940255652;258.2624011;1376.1367;1376.1367;1376.1367;1376.1367;1376.1367
522497.3782;1.078766025;252.2907524;1434.300141;1434.300141;1434.300141;1434.300141;1434.300141
541010.7315;1.411876901;256.1464543;1929.025062;1929.025062;1929.025062;1929.025062;1929.025062
569274.9191;1.29752486;253.9016998;1873.631869;1873.631869;1873.631869;1873.631869;1873.631869
569887.9698;0.595873515;255.7549973;858.2441245;858.2441245;858.2441245;858.2441245;858.2441245
421077.5988;1.361114371;255.4903203;1449.268534;1449.268534;1449.268534;1449.268534;1449.268534
473387.1651;1.200983576;258.544104;1429.109674;1429.109674;1429.109674;1429.109674;1429.109674
579639.0111;0.669785279;256.5763691;979.6348095;979.6348095;979.6348095;979.6348095;979.6348095
521789.7582;0.917612433;256.4306091;1208.507191;1208.507191;1208.507191;1208.507191;1208.507191
465994.2221;0.72321528;252.5811062;857.0911805;857.0911805;857.0911805;857.0911805;857.0911805
491974.983;0.590817945;253.0361316;738.5582589;738.5582589;738.5582589;738.5582589;738.5582589
413124.9134;1.018457156;251.9823048;1071.318141;1071.318141;1071.318141;1071.318141;1071.318141
533668.7303;1.169205286;254.195068;1581.824501;1581.824501;1581.824501;1581.824501;1581.824501
443821.293;1.216770494;257.1054027;1361.258279;1361.258279;1361.258279;1361.258279;1361.258279
524939.2947;0.868808646;252.0460578;1161.107938;1161.107938;1161.107938;1161.107938;1161.107938
582404.8681;0.587009564;259.9916538;856.9782535;856.9782535;856.9782535;856.9782535;856.9782535
505087.6528;0.708872592;256.9727246;902.75677;902.75677;902.75677;902.75677;902.75677
403873.6266;0.939095148;251.5728633;966.5014856;966.5014856;966.5014856;966.5014856;966.5014856
596274.5331;0.999994443;250.7916446;1521.831774;1521.831774;1521.831774;1521.831774;1521.831774
550834.747;0.857608839;256.3017763;1192.652986;1192.652986;1192.652986;1192.652986;1192.652986
474972.4609;1.169436645;250.6627664;1418.010823;1418.010823;1418.010823;1418.010823;1418.010823
588940.3699;1.122768274;251.5562102;1685.090642;1685.090642;1685.090642;1685.090642;1685.090642
564964.1475;0.613385521;250.756684;884.5196414;884.5196414;884.5196414;884.5196414;884.5196414
523654.0183;0.643417351;251.5879034;858.5619983;858.5619983;858.5619983;858.5619983;858.5619983
492648.2311;1.05819236;255.1938699;1319.002935;1319.002935;1319.002935;1319.002935;1319.002935
444411.7177;0.986637513;250.8419646;1118.980091;1118.980091;1118.980091;1118.980091;1118.980091
562921.9352;0.840120412;259.9293015;1185.608816;1185.608816;1185.608816;1185.608816;1185.608816
495274.4805;1.268698495;258.9581011;1578.225137;1578.225137;1578.225137;1578.225137;1578.225137
544053.0417;0.902373676;258.3509703;1234.530839;1234.530839;1234.530839;1234.530839;1234.530839
455379.5932;1.224583943;256.8381758;1406.409102;1406.409102;1406.409102;1406.409102;1406.409102
553887.8917;0.998636075;258.2849318;1391.101817;1391.101817;1391.101817;1391.101817;1391.101817
426349.7331;1.439531948;256.8478126;1547.849385;1547.849385;1547.849385;1547.849385;1547.849385
502431.721;1.095166399;252.3947745;1399.897743;1399.897743;1399.897743;1399.897743;1399.897743
565555.7423;1.327207188;259.0528468;1884.947627;1884.947627;1884.947627;1884.947627;1884.947627
569349.5954;1.096788013;259.4840189;1566.843914;1566.843914;1566.843914;1566.843914;1566.843914
434140.6066;0.756966012;252.0261663;836.6875436;836.6875436;836.6875436;836.6875436;836.6875436
461200.6168;0.747855693;254.9208714;873.140871;873.140871;873.140871;873.140871;873.140871
568234.2592;1.448011438;256.2205525;2077.646975;2077.646975;2077.646975;2077.646975;2077.646975
434880.8531;0.820751409;252.4582714;907.9594499;907.9594499;907.9594499;907.9594499;907.9594499
523564.2466;0.843322601;259.7092494;1107.386804;1107.386804;1107.386804;1107.386804;1107.386804
475973.4731;1.452999558;253.0713;1757.138987;1757.138987;1757.138987;1757.138987;1757.138987
410945.3593;1.02428842;251.6361126;1072.504668;1072.504668;1072.504668;1072.504668;1072.504668
409929.3353;0.697300845;253.8865625;725.0845702;725.0845702;725.0845702;725.0845702;725.0845702
573475.4496;0.979534469;259.3444689;1409.858055;1409.858055;1409.858055;1409.858055;1409.858055
456453.1366;0.715875733;256.3006001;824.9703809;824.9703809;824.9703809;824.9703809;824.9703809
464651.0459;0.560255791;256.0936422;657.4961379;657.4961379;657.4961379;657.4961379;657.4961379
590615.6559;0.686424137;250.6192258;1035.069808;1035.069808;1035.069808;1035.069808;1035.069808
461103.711;0.762659941;253.7482301;892.2927687;892.2927687;892.2927687;892.2927687;892.2927687
414582.9127;0.911532103;256.3531759;953.9889562;953.9889562;953.9889562;953.9889562;953.9889562
455396.0961;0.504846338;257.6323921;578.9320751;578.9320751;578.9320751;578.9320751;578.9320751
464459.1819;1.396736352;251.1384133;1654.568484;1654.568484;1654.568484;1654.568484;1654.568484
537488.6595;0.794799355;258.7927448;1073.322157;1073.322157;1073.322157;1073.322157;1073.322157
582163.5691;1.452179319;253.8423201;2144.68043;2144.68043;2144.68043;2144.68043;2144.68043
586177.8873;0.620882601;257.3743041;916.928897;916.928897;916.928897;916.928897;916.928897
540194.5795;0.996474413;255.1734343;1362.002722;1362.002722;1362.002722;1362.002722;1362.002722
598848.2793;1.044311622;256.4171744;1578.529468;1578.529468;1578.529468;1578.529468;1578.529468
460754.2068;0.907366044;251.8231046;1064.837596;1064.837596;1064.837596;1064.837596;1064.837596
566590.7287;1.404185217;258.2599826;2000.988685;2000.988685;2000.988685;2000.988685;2000.988685
588891.4513;0.872244086;258.2798864;1291.835817;1291.835817;1291.835817;1291.835817;1291.835817
446381.9045;0.579429414;252.9652054;657.2885322;657.2885322;657.2885322;657.2885322;657.2885322
482268.7501;0.70748682;252.2700963;868.2682498;868.2682498;868.2682498;868.2682498;868.2682498
474897.7791;0.590607103;253.0431513;712.6574697;712.6574697;712.6574697;712.6574697;712.6574697
513513.3424;0.575779884;251.5225981;753.5273955;753.5273955;753.5273955;753.5273955;753.5273955
470103.407;1.173583954;251.6881694;1405.57975;1405.57975;1405.57975;1405.57975;1405.57975
473751.4459;0.966557844;259.8276372;1148.19343;1148.19343;1148.19343;1148.19343;1148.19343
591489.3547;1.44119506;255.4207102;2155.862086;2155.862086;2155.862086;2155.862086;2155.862086
403749.445;1.319557429;254.9693318;1348.576517;1348.576517;1348.576517;1348.576517;1348.576517
504753.7067;0.50990566;259.0681692;646.3111573;646.3111573;646.3111573;646.3111573;646.3111573
586640.6202;1.467306916;256.2796181;2173.278547;2173.278547;2173.278547;2173.278547;2173.278547
551596.2941;1.087716548;250.1539071;1533.249252;1533.249252;1533.249252;1533.249252;1533.249252
526826.0216;0.700195261;257.6603526;928.8421558;928.8421558;928.8421558;928.8421558;928.8421558
507736.1041;0.971039665;250.2253461;1259.762565;1259.762565;1259.762565;1259.762565;1259.762565
